Unnamed: 0,itemName,settingName,context,context_qa,question,taciturn,competitor,sameCategory,otherCategory,fullList,model_name,predictions,category
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:",Do you have raspberry cake? ,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, chocolate cookies.",MaRiOrOsSi/t5-base-finetuned-question-answering,yes,yes
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:",Do you have raspberry cake? ,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, chocolate cookies.",MaRiOrOsSi/t5-base-finetuned-question-answering,"Yes, you have raspberry pie, chocolate cookies, and cheese pizza.",fullList
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:",Do you have raspberry cake? ,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, chocolate cookies.",MaRiOrOsSi/t5-base-finetuned-question-answering,"Yes, you can have raspberry pie, chocolate cookies, and cheese pizza.",fullList
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:",Do you have raspberry cake? ,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, chocolate cookies.",MaRiOrOsSi/t5-base-finetuned-question-answering,"Yes, it is raspberry pie, chocolate cookies, and cheese pizza.",fullList
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:",Do you have raspberry cake? ,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, chocolate cookies.",MaRiOrOsSi/t5-base-finetuned-question-answering,"Yes, the café has raspberry pie, chocolate cookies, and cheese pizza.",fullList
1,cafe-pizza,cafe,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, cheese pizza.",MaRiOrOsSi/t5-base-finetuned-question-answering,yes,yes
1,cafe-pizza,cafe,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, cheese pizza.",MaRiOrOsSi/t5-base-finetuned-question-answering,"Yes, you can have cheese pizza, pepperoni pizza, and raspberry pie.",fullList
1,cafe-pizza,cafe,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, cheese pizza.",MaRiOrOsSi/t5-base-finetuned-question-answering,"Yes, the café has cheese pizza, pepperoni pizza, and raspberry pie.",fullList
1,cafe-pizza,cafe,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, cheese pizza.",MaRiOrOsSi/t5-base-finetuned-question-answering,"Yes, you can have cheese pizza, pepperoni pizza and raspberry pie.",fullList
1,cafe-pizza,cafe,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, cheese pizza.",MaRiOrOsSi/t5-base-finetuned-question-answering,"Yes, the café has cheese pizza, pepperoni pizza and raspberry pie.",fullList
