Unnamed: 0,itemName,settingName,context,context_qa,question,taciturn,competitor,sameCategory,otherCategory,fullList,model_name,predictions,predictions_cleaned,category
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:",Do you have raspberry cake? ,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, chocolate cookies.",gpt2,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: Do you have raspberry cake?  You reply: No, I don't have raspberry cake. 

You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: Do you have raspberry cake?  You reply: No, I don't have raspberry cake. 

You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: Do you have raspberry cake?","No, I don't have raspberry cake. 

  No, I don't have raspberry cake. 

 Do you have raspberry cake?",taciturn
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:",Do you have raspberry cake? ,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, chocolate cookies.",gpt2,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: Do you have raspberry cake?  You reply: No, I don't have raspberry cake.

You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: Do you have raspberry cake?  You reply: No, I don't have raspberry cake. You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: Do you have raspberry cake?  You reply:","No, I don't have raspberry cake.

  No, I don't have raspberry cake.   You reply:",taciturn
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:",Do you have raspberry cake? ,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, chocolate cookies.",gpt2,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: Do you have raspberry cake?  You reply: No, I don't have raspberry cake. 

You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: Do you have raspberry cake?  You reply: No, I don't have raspberry cake. 

You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: Do you have raspberry pie?","No, I don't have raspberry cake. 

  No, I don't have raspberry cake. 

 Do you have raspberry pie?",taciturn
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:",Do you have raspberry cake? ,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, chocolate cookies.",gpt2,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: Do you have raspberry cake?  You reply: No, I don't have raspberry cake.

You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: Do you have raspberry cake?  You reply: No, I don't have raspberry cake. You are a server in a café. Today the café has raspberry cake, chocolate cookies, and cheese pizza. A customer asks: Do you have raspberry cake?  You reply:","No, I don't have raspberry cake.

  No, I don't have raspberry cake. You are a server in a café. Today the café has raspberry cake, chocolate cookies, and cheese pizza. A customer asks:  You reply:",fullList
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:",Do you have raspberry cake? ,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, chocolate cookies.",gpt2,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: Do you have raspberry cake?  You reply: No, I don't have raspberry cake. 

You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: Do you have raspberry cake?  You reply: No, I don't have raspberry cake.                                   ","No, I don't have raspberry cake. 

  No, I don't have raspberry cake.",taciturn
1,cafe-pizza,cafe,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, cheese pizza.",gpt2,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: Do you have veggie pizza? You reply: No, I don't have veggie pizza.

You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: Do you have veggie pizza? You reply: No, I don't have veggie pizza.

You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: Do you have","No, I don't have veggie pizza.

  No, I don't have veggie pizza.

 Do you have",taciturn
1,cafe-pizza,cafe,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, cheese pizza.",gpt2,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: Do you have veggie pizza? You reply: No, I don't have veggie pizza.

You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: Do you have veggie pizza? You reply: No, I don't have veggie pizza.

You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pizza. A customer asks: Do you have","No, I don't have veggie pizza.

  No, I don't have veggie pizza.

You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pizza. A customer asks: Do you have",fullList
1,cafe-pizza,cafe,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, cheese pizza.",gpt2,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: Do you have veggie pizza? You reply: No, I don't have veggie pizza.

You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: Do you have veggie pizza? You reply: No, I don't have veggie pizza.

You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: Are you a","No, I don't have veggie pizza.

  No, I don't have veggie pizza.

 Are you a",taciturn
1,cafe-pizza,cafe,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, cheese pizza.",gpt2,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: Do you have veggie pizza? You reply: No, I don't have veggie pizza.

You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: Do you have veggie pizza? You reply: No, I don't have veggie pizza.

You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: Have you ever","No, I don't have veggie pizza.

  No, I don't have veggie pizza.

 Have you ever",taciturn
1,cafe-pizza,cafe,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, cheese pizza.",gpt2,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: Do you have veggie pizza? You reply: No, I don't have veggie pizza.

You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: Do you have veggie pizza? You reply: No, I don't have veggie pizza.

You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: Are you vegetarian","No, I don't have veggie pizza.

  No, I don't have veggie pizza.

 Are you vegetarian",taciturn
