Unnamed: 0,itemName,settingName,context,context_qa,question,taciturn,competitor,sameCategory,otherCategory,fullList,model_name,predictions,category
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:",Do you have raspberry cake? ,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, chocolate cookies.",yjernite/bart_eli5," Yes, you have raspberry cake. It's called raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake",yes
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:",Do you have raspberry cake? ,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, chocolate cookies.",yjernite/bart_eli5," Yes, you have raspberry cake. It's called raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake",yes
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:",Do you have raspberry cake? ,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, chocolate cookies.",yjernite/bart_eli5," Yes, you have raspberry cake. It's called raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake",yes
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:",Do you have raspberry cake? ,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, chocolate cookies.",yjernite/bart_eli5," Yes, you have raspberry cake. It's called raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake",yes
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:",Do you have raspberry cake? ,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, chocolate cookies.",yjernite/bart_eli5," Yes, you have raspberry cake. It's called raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake raspberry cake",yes
1,cafe-pizza,cafe,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, cheese pizza.",yjernite/bart_eli5," Yes, veggie pizza is veggie pizza. It's called a ""veggie"" pizza because it's made with veggie ingredients.",yes
1,cafe-pizza,cafe,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, cheese pizza.",yjernite/bart_eli5," Yes, veggie pizza is veggie pizza. It's called a ""veggie"" pizza.",yes
1,cafe-pizza,cafe,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, cheese pizza.",yjernite/bart_eli5," Yes, veggie pizza is veggie pizza. It's called a ""veggie"" pizza because it's made with vegetables.",yes
1,cafe-pizza,cafe,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, cheese pizza.",yjernite/bart_eli5," No, veggie pizza is not veggie pizza.",other
1,cafe-pizza,cafe,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, cheese pizza.",yjernite/bart_eli5," Yes, veggie pizza is veggie pizza. It's called a ""veggie pizza"" because it's a veggie pizza.",yes
