submission_id;age;answer;itemName;taciturn;competitor;same category;other category;full;other;comments;education;experiment_duration;experiment_end_time;experiment_start_time;gender;languages;prolific_pid;prolific_session_id;prolific_study_id;responseTime;settingName;trialNr
3784;57;No sorry we don't;airport-europe;1;;;;;;;Did not graduate High-school;2115126;1657184108677;1657181993551;male;English ;5b162d3fbd9c310001570856;62c696d747337413c39aa613;62c5c28e896dc177e4165cff;56333;airport;1
3782;36;We have a flight to Madrid, but only in the afternoon.;airport-europe;;1;;;;;;Graduated High-school;1373834;1657183082971;1657181709137;male;English;5f25419d6c25411a2b68ddd8;62c696068e96c09a729aa603;62c5c28e896dc177e4165cff;28759;airport;5
3779;33;Sorry, we don't. The next flight to Madrid is in the afternoon.;airport-europe;;1;;;;;None;Graduated College;451395;1657182391481;1657181940086;female;English;5c6cb10950281400017112be;62c6966a135f9a3441c98e6a;62c5c28e896dc177e4165cff;41407;airport;4
3778;42;I'm sorry we only have the evening flight to Madrid available today. ;airport-europe;;1;;;;;;Higher degree;455345;1657182389116;1657181933771;male;English ;60784788fac6ae5ddce84ed4;62c696dfceec2ffde3abbe60;62c5c28e896dc177e4165cff;58677;airport;5
3777;69;I'm sorry we don't. But we do have one this afternoon.;airport-europe;;1;;;;;None;Higher degree;542754;1657182329516;1657181786762;male;English;5ee4c4b42c280d1cd26cfe3d;62c6964f9625c6389d7d3ea6;62c5c28e896dc177e4165cff;71136;airport;3
3776;33;Sorry our flight to madrid isnt until this afternoon. would you like to book that one?;airport-europe;;1;;;;;;Graduated High-school;361334;1657182334215;1657181972881;female;english;6106c6e95b9a9acba255ca53;62c696e4332828c64637d029;62c5c28e896dc177e4165cff;57858;airport;4
3775;57;Sorry, we've only got afternoon flights to Madrid. Maybe another airline could help you.;airport-europe;;1;;;;;;Graduated College;428325;1657182323338;1657181895013;male;English;594eb2e16208900001db0b40;62c696c2fbfc168b7ea0e4c4;62c5c28e896dc177e4165cff;52775;airport;2
3771;57;Hi im sorry we dont have a morning flight to madrid but we do have an afternoon flight available.;airport-europe;;1;;;;;;Graduated High-school;283109;1657182468349;1657182185240;female;english;5d557ecbd586d00001247ce4;62c696f9890eb8763c4f2483;62c5c28e896dc177e4165cff;49447;airport;1
3769;24;Sorry the only flight to Madrid is an afternoon flight. Would you like me to book that for you?;airport-europe;;1;;;;;;Graduated College;196833;1657182203391;1657182006558;female;english;56815ef3c5767f00121d2088;62c696d3120d44bfc4d52a47;62c5c28e896dc177e4165cff;43031;airport;2
3766;28;Unfortunately, we do not have a morning fight to Madrid. We only have and afternoon flight to Madrid available today.;airport-europe;;1;;;;;;Higher degree;263416;1657182173556;1657181910140;female;Engligh;5cd071a4eb305c0001f9651e;62c69698ad980e153bcda749;62c5c28e896dc177e4165cff;55439;airport;1
3763;39;no we only have a afternoon flight to madrid today ;airport-europe;;1;;;;;none;Graduated High-school;238504;1657182149921;1657181911417;male;english;5d02953ef1c4e40001af2921;62c696ce99f715882eabbe63;62c5c28e896dc177e4165cff;38274;airport;2
3762;42;Hi there. Unfortunately, there are no morning flights to Madrid. However, there is an afternoon flight. Would you be interested in flying later in the day?;airport-europe;;1;;;;;;Higher degree;339596;1657182146662;1657181807066;female;english;616446c54ec10a56f2070911;62c69666c150bf3c2e147684;62c5c28e896dc177e4165cff;58251;airport;1
3759;34;We do not, but there is an afternoon flight to Madrid.;airport-europe;;1;;;;;;Higher degree;158966;1657182084166;1657181925200;female;English;5ee68f115b2240401d54114b;62c696d8332828c64637d028;62c5c28e896dc177e4165cff;33045;airport;1
3758;33;No, only the afternoon ;airport-europe;;1;;;;;;Higher degree;147481;1657182077765;1657181930284;female;English;6298cc3c957fc12efa34bea7;62c696e377ebeca0f2d5ad2c;62c5c28e896dc177e4165cff;24493;airport;2
3756;27;"Unfortunately, the only flight available to Madrid is in the afternoon if you would like to book this one. 
Alternatively, there are morning flights to other destinations";airport-europe;;1;;;;;;Higher degree;139944;1657182067602;1657181927658;female;English, Mandarin;5ea84556e3db8b25b6aeb334;62c696e4821f7c836014765f;62c5c28e896dc177e4165cff;54089;airport;1
3751;31;No just an afternoon flight to Madrid.;airport-europe;;1;;;;;;Higher degree;171239;1657182024133;1657181852894;female;English;5f6230d5f68038236c7ccd20;62c696974b0c6afce6a43ff7;62c5c28e896dc177e4165cff;16763;airport;4
3750;34;no our next flight to madrid is in the afternoon.;airport-europe;;1;;;;;;Graduated High-school;309428;1657182013055;1657181703627;male;english;58b6424b8f14260001a6bcd0;62c6960083becec484ac0a06;62c5c28e896dc177e4165cff;74717;airport;4
3748;39;no sorry we only have a afternoon flight to madrid;airport-europe;;1;;;;;;Graduated High-school;255055;1657181994529;1657181739474;female;english;5c5c987b329ee20001083238;62c69627a9e86fb8dac307ff;62c5c28e896dc177e4165cff;64539;airport;3
3747;30;No we only have an afternoon flight to Madrid.;airport-europe;;1;;;;;;Graduated College;154178;1657181983238;1657181829060;female;English;5f215514c406832b8e37c573;62c6967a4b0c6afce6a43ff4;62c5c28e896dc177e4165cff;16624;airport;4
3745;25;I'm afraid not, we do have an afternoon flight to Madrid though. Would you like to buy a ticket?;airport-europe;;1;;;;;;Graduated High-school;216985;1657181962270;1657181745285;female;English;5ff875d1aff50c078d3de4b6;62c696243c5d494f5dc8396f;62c5c28e896dc177e4165cff;39388;airport;1
3742;20;No, but we have one in the afternoon!;airport-europe;;1;;;;;;Graduated High-school;202113;1657181917469;1657181715356;male;Eng/Esp;62c66b69bdb15f87d54f2484;62c69608e6be2fb7d2f24dfa;62c5c28e896dc177e4165cff;27108;airport;1
3741;45;No, but I do have an afternoon flight to Madrid.;airport-europe;;1;;;;;;Higher degree;152481;1657181858508;1657181706027;female;English;57892012454e5400015f35c4;62c696041192fcd2cba0e4a3;62c5c28e896dc177e4165cff;20767;airport;2
3739;31;no only berlin sorry. the madrid flight is in the afternoon;airport-europe;;;1;;;;;Graduated College;113415;1657181824348;1657181710933;female;english;5e1827c9ba913210a52c61f9;62c696078bfdec5bc6a9ab6e;62c5c28e896dc177e4165cff;21951;airport;4
3736;58;Unfortunately the flights to Madrid are only flying in the afternoon.  Would this be of interest?;airport-europe;;1;;;;;;Graduated College;471860;1657173924860;1657173453000;female;English;5aae4d65811b2000016f794e;62c675c574731b92afd52a53;62c5c28e896dc177e4165cff;62429;airport;5
