submission_id,age,comments,competitor,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,itemOrder,itemQuestion,languages,otherCategory,responseTime,sameCategory,settingName,targetOption,trialNr,trial_type
2809,27,NA,56,Higher degree,108270,1711966891593,1711966783323,female,gym-boxing,"otherCategory,sameCategory,competitor,itemQuestion",45,English,21,15556,100,gymActivities,sameCategory,1,main
2809,27,NA,66,Higher degree,108270,1711966891593,1711966783323,female,airport-usa,"competitor,otherCategory,itemQuestion,sameCategory",100,English,0,14235,28,airport,itemQuestion,2,filler
2809,27,NA,74,Higher degree,108270,1711966891593,1711966783323,female,petAdoption-hamster,"otherCategory,competitor,itemQuestion,sameCategory",100,English,0,10627,24,petAdoption,itemQuestion,3,main
2809,27,NA,100,Higher degree,108270,1711966891593,1711966783323,female,dutyFree-sweets,"otherCategory,sameCategory,itemQuestion,competitor",37,English,0,12157,61,dutyFree,competitor,4,main
2809,27,NA,20,Higher degree,108270,1711966891593,1711966783323,female,kidsActivities-sports,"sameCategory,competitor,otherCategory,itemQuestion",25,English,100,12110,2,kidsActivities,otherCategory,5,main
2812,70,NA,100,Graduated College,133831,1711966895887,1711966762056,male,bookingAgency-lowClassAccommodation,"otherCategory,itemQuestion,sameCategory,competitor",14,English,100,33520,99,bookingAgency,competitor,1,main
2812,70,NA,0,Graduated College,133831,1711966895887,1711966762056,male,cafe-pie,"otherCategory,itemQuestion,competitor,sameCategory",0,English,100,13625,0,cafe,otherCategory,2,main
2812,70,NA,10,Graduated College,133831,1711966895887,1711966762056,male,touristInfo-childTheatre,"sameCategory,itemQuestion,otherCategory,competitor",9,English,0,20799,100,touristInfo,sameCategory,3,main
2812,70,NA,31,Graduated College,133831,1711966895887,1711966762056,male,carRental-moving,"competitor,otherCategory,sameCategory,itemQuestion",100,English,0,18704,27,carRental,itemQuestion,4,filler
2812,70,NA,57,Graduated College,133831,1711966895887,1711966762056,male,dutyFree-smokes,"otherCategory,competitor,itemQuestion,sameCategory",100,English,0,13695,23,dutyFree,itemQuestion,5,main
2863,40,NA,37,Graduated High-school,234827,1711967044914,1711966810087,female,bar-tea,"otherCategory,competitor,sameCategory,itemQuestion",100,English,18,32363,7,bar,itemQuestion,1,main
2863,40,NA,100,Graduated High-school,234827,1711967044914,1711966810087,female,clothing-acc,"otherCategory,sameCategory,itemQuestion,competitor",37,English,3,38451,7,clothing,competitor,2,main
2863,40,NA,25,Graduated High-school,234827,1711967044914,1711966810087,female,petAdoption-hamster,"itemQuestion,competitor,sameCategory,otherCategory",32,English,100,30128,25,petAdoption,otherCategory,3,main
2863,40,NA,14,Graduated High-school,234827,1711967044914,1711966810087,female,touristInfo-clubbing,"otherCategory,itemQuestion,competitor,sameCategory",27,English,42,25157,100,touristInfo,sameCategory,4,main
2863,40,NA,100,Graduated High-school,234827,1711967044914,1711966810087,female,music-hardrock,"otherCategory,competitor,sameCategory,itemQuestion",100,English,100,17854,100,music,itemQuestion,5,filler
2816,31,NA,41,Higher degree,76597,1711966904330,1711966827733,female,touristInfo-clubbing,"otherCategory,sameCategory,competitor,itemQuestion",36,English,99,14514,40,touristInfo,otherCategory,1,main
2816,31,NA,45,Higher degree,76597,1711966904330,1711966827733,female,electronics-console,"sameCategory,itemQuestion,otherCategory,competitor",58,English,75,10748,100,electronics,sameCategory,2,main
2816,31,NA,11,Higher degree,76597,1711966904330,1711966827733,female,dutyFree-sweets,"itemQuestion,otherCategory,competitor,sameCategory",100,English,0,7823,0,dutyFree,itemQuestion,3,main
2816,31,NA,86,Higher degree,76597,1711966904330,1711966827733,female,carRental-fun,"competitor,sameCategory,otherCategory,itemQuestion",100,English,0,10003,15,carRental,itemQuestion,4,filler
2816,31,NA,100,Higher degree,76597,1711966904330,1711966827733,female,cafe-pizza,"sameCategory,itemQuestion,otherCategory,competitor",0,English,0,8268,0,cafe,competitor,5,main
2830,22,NA,100,Graduated High-school,104823,1711966921079,1711966816256,female,bookingAgency-highClassAccommodation,"otherCategory,itemQuestion,competitor,sameCategory",71,English,16,18283,73,bookingAgency,competitor,1,main
2830,22,NA,0,Graduated High-school,104823,1711966921079,1711966816256,female,clothing-acc,"otherCategory,competitor,sameCategory,itemQuestion",1,English,100,11380,14,clothing,otherCategory,2,main
2830,22,NA,59,Graduated High-school,104823,1711966921079,1711966816256,female,jobCenter-office,"itemQuestion,otherCategory,competitor,sameCategory",100,English,0,12384,36,jobCenter,itemQuestion,3,filler
2830,22,NA,75,Graduated High-school,104823,1711966921079,1711966816256,female,zoo-reptiles,"sameCategory,itemQuestion,otherCategory,competitor",100,English,11,14485,32,zoo,itemQuestion,4,main
2830,22,NA,79,Graduated High-school,104823,1711966921079,1711966816256,female,gym-boxing,"competitor,sameCategory,itemQuestion,otherCategory",42,English,17,8724,100,gymActivities,sameCategory,5,main
2817,70,NA,68,Graduated College,127124,1711966905413,1711966778289,female,zoo-reptiles,"competitor,sameCategory,otherCategory,itemQuestion",100,NA,30,13175,42,zoo,itemQuestion,1,main
2817,70,NA,0,Graduated College,127124,1711966905413,1711966778289,female,interior-deco,"sameCategory,itemQuestion,otherCategory,competitor",0,NA,0,40249,100,interior,sameCategory,2,main
2817,70,NA,100,Graduated College,127124,1711966905413,1711966778289,female,petAdoption-hamster,"sameCategory,otherCategory,competitor,itemQuestion",57,NA,0,9760,56,petAdoption,competitor,3,main
2817,70,NA,60,Graduated College,127124,1711966905413,1711966778289,female,airport-usa,"competitor,sameCategory,itemQuestion,otherCategory",100,NA,0,12569,0,airport,itemQuestion,4,filler
2817,70,NA,0,Graduated College,127124,1711966905413,1711966778289,female,books-fantasy,"sameCategory,otherCategory,itemQuestion,competitor",0,NA,100,11174,0,books,otherCategory,5,main
2820,34,NA,41,Graduated College,142333,1711966910018,1711966767685,female,touristInfo-clubbing,"itemQuestion,otherCategory,sameCategory,competitor",18,English,57,23310,100,touristInfo,sameCategory,1,main
2820,34,NA,58,Graduated College,142333,1711966910018,1711966767685,female,interior-deco,"sameCategory,competitor,otherCategory,itemQuestion",100,English,8,14588,34,interior,itemQuestion,2,main
2820,34,NA,100,Graduated College,142333,1711966910018,1711966767685,female,gym-boxing,"sameCategory,itemQuestion,otherCategory,competitor",71,English,14,14562,53,gymActivities,competitor,3,main
2820,34,NA,61,Graduated College,142333,1711966910018,1711966767685,female,bookingAgency-highClassAccommodation,"sameCategory,itemQuestion,competitor,otherCategory",41,English,100,25170,9,bookingAgency,otherCategory,4,main
2820,34,NA,100,Graduated College,142333,1711966910018,1711966767685,female,music-hardrock,"itemQuestion,competitor,otherCategory,sameCategory",99,English,100,24900,100,music,itemQuestion,5,filler
2825,31,NA,59,Higher degree,86005,1711966916414,1711966830409,female,interior-green,"sameCategory,otherCategory,competitor,itemQuestion",58,English,88,14235,91,interior,sameCategory,1,main
2825,31,NA,45,Higher degree,86005,1711966916414,1711966830409,female,petAdoption-dogs,"competitor,sameCategory,otherCategory,itemQuestion",44,English,92,14298,35,petAdoption,otherCategory,2,main
2825,31,NA,100,Higher degree,86005,1711966916414,1711966830409,female,zoo-xl,"otherCategory,itemQuestion,sameCategory,competitor",88,English,62,11462,72,zoo,competitor,3,main
2825,31,NA,0,Higher degree,86005,1711966916414,1711966830409,female,jobCenter-engineer,"competitor,sameCategory,otherCategory,itemQuestion",0,English,0,11685,0,jobCenter,itemQuestion,4,filler
2825,31,NA,55,Higher degree,86005,1711966916414,1711966830409,female,kidsActivities-crafts,"competitor,sameCategory,itemQuestion,otherCategory",96,English,41,9268,62,kidsActivities,itemQuestion,5,main
2818,45,NA,14,Graduated College,104582,1711966905119,1711966800537,female,gym-boxing,"competitor,itemQuestion,otherCategory,sameCategory",24,English,99,14894,34,gymActivities,otherCategory,1,main
2818,45,NA,53,Graduated College,104582,1711966905119,1711966800537,female,art-painting,"sameCategory,otherCategory,competitor,itemQuestion",98,English,16,15588,59,art,itemQuestion,2,filler
2818,45,NA,75,Graduated College,104582,1711966905119,1711966800537,female,petAdoption-hamster,"competitor,otherCategory,sameCategory,itemQuestion",99,English,7,19399,62,petAdoption,itemQuestion,3,main
