submission_id,age,comments,competitor,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,itemOrder,itemQuestion,languages,mostSimilar,otherCategory,responseTime,sameCategory,settingName,targetOption,trialNr,trial_type
3801,1829,None so far until further notice :-),100,Graduated High-school,192453,1718289917989,1718289725536,male,art-painting,"mostSimilar,sameCategory,otherCategory,itemQuestion,competitor",100,English,100,100,35298,100,art,itemQuestion,1,filler
3801,1829,None so far until further notice :-),82,Graduated High-school,192453,1718289917989,1718289725536,male,umbrella-rain,"sameCategory,itemQuestion,competitor,mostSimilar,otherCategory",100,English,0,0,31928,0,umbrella,itemQuestion,2,main
3801,1829,None so far until further notice :-),25,Graduated High-school,192453,1718289917989,1718289725536,male,broom-snow,"mostSimilar,sameCategory,itemQuestion,otherCategory,competitor",100,English,24,0,27334,0,broom,itemQuestion,3,main
3801,1829,None so far until further notice :-),54,Graduated High-school,192453,1718289917989,1718289725536,male,bottle-water,"otherCategory,competitor,itemQuestion,mostSimilar,sameCategory",100,English,23,0,23984,19,bottle,itemQuestion,4,main
3801,1829,None so far until further notice :-),43,Graduated High-school,192453,1718289917989,1718289725536,male,candy-dessert,"itemQuestion,mostSimilar,otherCategory,sameCategory,competitor",100,English,62,31,18408,31,candy,itemQuestion,5,main
3802,48,NA,89,Higher degree,114877,1718290012723,1718289897846,female,sweatpants-spill,"competitor,itemQuestion,sameCategory,otherCategory,mostSimilar",89,$nglish,61,22,18372,33,sweatpants,itemQuestion,1,main
3802,48,NA,79,Higher degree,114877,1718290012723,1718289897846,female,umbrella-rain,"competitor,sameCategory,itemQuestion,mostSimilar,otherCategory",97,$nglish,61,61,11100,15,umbrella,itemQuestion,2,main
3802,48,NA,63,Higher degree,114877,1718290012723,1718289897846,female,blanket-transportation,"sameCategory,mostSimilar,competitor,otherCategory,itemQuestion",97,$nglish,40,46,10352,82,blanket,itemQuestion,3,main
3802,48,NA,68,Higher degree,114877,1718290012723,1718289897846,female,sugar-baking,"itemQuestion,mostSimilar,sameCategory,otherCategory,competitor",97,$nglish,73,25,12439,32,sugar,itemQuestion,4,main
3802,48,NA,68,Higher degree,114877,1718290012723,1718289897846,female,art-painting,"otherCategory,mostSimilar,sameCategory,itemQuestion,competitor",99,$nglish,76,73,11411,73,art,itemQuestion,5,filler
3803,22,NA,100,Higher degree,168294,1718290059117,1718289890823,female,blanket-sleepover,"sameCategory,itemQuestion,otherCategory,mostSimilar,competitor",100,English,60,27,23476,13,blanket,itemQuestion,1,main
3803,22,NA,100,Higher degree,168294,1718290059117,1718289890823,female,bottle-plants,"sameCategory,mostSimilar,otherCategory,itemQuestion,competitor",100,English,89,0,21932,88,bottle,itemQuestion,2,main
3803,22,NA,80,Higher degree,168294,1718290059117,1718289890823,female,sugar-coffee,"itemQuestion,competitor,mostSimilar,sameCategory,otherCategory",100,English,73,0,17360,73,sugar,itemQuestion,3,main
3803,22,NA,99,Higher degree,168294,1718290059117,1718289890823,female,music-softrock,"sameCategory,itemQuestion,competitor,otherCategory,mostSimilar",100,English,100,100,13624,100,music,itemQuestion,4,filler
3803,22,NA,1,Higher degree,168294,1718290059117,1718289890823,female,umbrella-summer,"sameCategory,itemQuestion,mostSimilar,otherCategory,competitor",100,English,59,41,14952,81,umbrella,itemQuestion,5,main
3804,36,NA,87,Graduated High-school,143114,1718290089068,1718289945954,female,handkerchief-injury,"otherCategory,sameCategory,itemQuestion,mostSimilar,competitor",100,English,83,0,27151,100,handkerchief,itemQuestion,1,main
3804,36,NA,100,Graduated High-school,143114,1718290089068,1718289945954,female,blanket-sleepover,"otherCategory,sameCategory,itemQuestion,competitor,mostSimilar",100,English,59,0,16885,0,blanket,itemQuestion,2,main
3804,36,NA,0,Graduated High-school,143114,1718290089068,1718289945954,female,pot-garden,"sameCategory,otherCategory,competitor,itemQuestion,mostSimilar",100,English,0,0,17623,0,pot,itemQuestion,3,main
3804,36,NA,0,Graduated High-school,143114,1718290089068,1718289945954,female,carRental-moving,"otherCategory,competitor,sameCategory,itemQuestion,mostSimilar",100,English,0,0,24801,0,carRental,itemQuestion,4,filler
3804,36,NA,0,Graduated High-school,143114,1718290089068,1718289945954,female,sweatpants-sleepover,"mostSimilar,competitor,itemQuestion,sameCategory,otherCategory",100,English,0,0,9791,0,sweatpants,itemQuestion,5,main
3805,37,NA,36,Graduated High-school,125792,1718290115447,1718289989655,female,bottle-water,"itemQuestion,mostSimilar,sameCategory,competitor,otherCategory",100,english,7,0,25507,0,bottle,itemQuestion,1,main
