itemName,trialNr,submission_id,targetOption,answerType,response,categorized_response,by_trial_nr
umbrella-rain,2,3801,itemQuestion,itemQuestion,100,itemQuestion,1
umbrella-rain,2,3801,itemQuestion,competitor,82,itemQuestion,1
umbrella-rain,2,3801,itemQuestion,sameCategory,0,itemQuestion,1
umbrella-rain,2,3801,itemQuestion,otherCategory,0,itemQuestion,1
umbrella-rain,2,3801,itemQuestion,mostSimilar,0,itemQuestion,1
broom-snow,3,3801,itemQuestion,itemQuestion,100,itemQuestion,2
broom-snow,3,3801,itemQuestion,competitor,25,itemQuestion,2
broom-snow,3,3801,itemQuestion,sameCategory,0,itemQuestion,2
broom-snow,3,3801,itemQuestion,otherCategory,0,itemQuestion,2
broom-snow,3,3801,itemQuestion,mostSimilar,24,itemQuestion,2
bottle-water,4,3801,itemQuestion,itemQuestion,100,itemQuestion,3
bottle-water,4,3801,itemQuestion,competitor,54,itemQuestion,3
bottle-water,4,3801,itemQuestion,sameCategory,19,itemQuestion,3
bottle-water,4,3801,itemQuestion,otherCategory,0,itemQuestion,3
bottle-water,4,3801,itemQuestion,mostSimilar,23,itemQuestion,3
candy-dessert,5,3801,itemQuestion,itemQuestion,100,itemQuestion,4
candy-dessert,5,3801,itemQuestion,competitor,43,itemQuestion,4
candy-dessert,5,3801,itemQuestion,sameCategory,31,itemQuestion,4
candy-dessert,5,3801,itemQuestion,otherCategory,31,itemQuestion,4
candy-dessert,5,3801,itemQuestion,mostSimilar,62,itemQuestion,4
sweatpants-spill,1,3802,itemQuestion,itemQuestion,89,itemQuestion,5
sweatpants-spill,1,3802,itemQuestion,competitor,89,itemQuestion,5
sweatpants-spill,1,3802,itemQuestion,sameCategory,33,itemQuestion,5
sweatpants-spill,1,3802,itemQuestion,otherCategory,22,itemQuestion,5
sweatpants-spill,1,3802,itemQuestion,mostSimilar,61,itemQuestion,5
umbrella-rain,2,3802,itemQuestion,itemQuestion,97,itemQuestion,6
umbrella-rain,2,3802,itemQuestion,competitor,79,itemQuestion,6
umbrella-rain,2,3802,itemQuestion,sameCategory,15,itemQuestion,6
umbrella-rain,2,3802,itemQuestion,otherCategory,61,itemQuestion,6
umbrella-rain,2,3802,itemQuestion,mostSimilar,61,itemQuestion,6
blanket-transportation,3,3802,itemQuestion,itemQuestion,97,itemQuestion,7
blanket-transportation,3,3802,itemQuestion,competitor,63,itemQuestion,7
