itemName,answerType,mean_response
blanket-sleepover,competitor,82.63636363636364
blanket-sleepover,itemQuestion,96.31818181818181
blanket-sleepover,mostSimilar,28.227272727272727
blanket-sleepover,otherCategory,15.90909090909091
blanket-sleepover,sameCategory,22.636363636363637
blanket-transportation,competitor,73.81818181818181
blanket-transportation,itemQuestion,92.0909090909091
blanket-transportation,mostSimilar,27.727272727272727
blanket-transportation,otherCategory,45.72727272727273
blanket-transportation,sameCategory,70.27272727272727
bottle-plants,competitor,82.19047619047619
bottle-plants,itemQuestion,91.33333333333333
bottle-plants,mostSimilar,63.38095238095238
bottle-plants,otherCategory,9.285714285714286
bottle-plants,sameCategory,64.0952380952381
bottle-water,competitor,58.473684210526315
bottle-water,itemQuestion,90
bottle-water,mostSimilar,29.73684210526316
bottle-water,otherCategory,6.052631578947368
bottle-water,sameCategory,20.473684210526315
box-bbq,competitor,59.73684210526316
box-bbq,itemQuestion,94.26315789473684
box-bbq,mostSimilar,55.63157894736842
box-bbq,otherCategory,25
box-bbq,sameCategory,56.78947368421053
box-muffins,competitor,69.15384615384616
box-muffins,itemQuestion,97.03846153846153
box-muffins,mostSimilar,51.73076923076923
box-muffins,otherCategory,33.34615384615385
box-muffins,sameCategory,41.26923076923077
broom-renovation,competitor,79.76470588235294
broom-renovation,itemQuestion,98.47058823529412
broom-renovation,mostSimilar,49.470588235294116
broom-renovation,otherCategory,1.4705882352941178
broom-renovation,sameCategory,23.294117647058822
broom-snow,competitor,69.15789473684211
broom-snow,itemQuestion,83.89473684210526
broom-snow,mostSimilar,39.89473684210526
broom-snow,otherCategory,6.421052631578947
broom-snow,sameCategory,16.736842105263158
candy-dessert,competitor,70.04545454545455
candy-dessert,itemQuestion,90.0909090909091
candy-dessert,mostSimilar,75.36363636363636
candy-dessert,otherCategory,32.45454545454545
candy-dessert,sameCategory,43.22727272727273
candy-halloween,competitor,49.28
candy-halloween,itemQuestion,96.4
candy-halloween,mostSimilar,68.2
candy-halloween,otherCategory,29.240000000000002
candy-halloween,sameCategory,40.64
handkerchief-injury,competitor,65.05555555555556
handkerchief-injury,itemQuestion,93.38888888888889
handkerchief-injury,mostSimilar,78.33333333333333
handkerchief-injury,otherCategory,6.333333333333333
handkerchief-injury,sameCategory,70.88888888888889
handkerchief-sauce,competitor,88.19047619047619
handkerchief-sauce,itemQuestion,88.76190476190476
handkerchief-sauce,mostSimilar,80.52380952380952
handkerchief-sauce,otherCategory,3.0476190476190474
handkerchief-sauce,sameCategory,13.904761904761905
postit-board,competitor,41.94117647058823
postit-board,itemQuestion,98.23529411764706
postit-board,mostSimilar,44.64705882352941
postit-board,otherCategory,8.764705882352942
postit-board,sameCategory,48.705882352941174
postit-reading,competitor,71.73333333333333
postit-reading,itemQuestion,96.26666666666667
postit-reading,mostSimilar,52.733333333333334
postit-reading,otherCategory,10.733333333333333
postit-reading,sameCategory,14.533333333333335
pot-garden,competitor,32.333333333333336
pot-garden,itemQuestion,98.0952380952381
pot-garden,mostSimilar,30.238095238095237
pot-garden,otherCategory,10.761904761904763
pot-garden,sameCategory,22.38095238095238
pot-jam,competitor,56.05263157894737
pot-jam,itemQuestion,97.6842105263158
pot-jam,mostSimilar,65.89473684210526
pot-jam,otherCategory,12.894736842105262
pot-jam,sameCategory,26.894736842105264
sugar-baking,competitor,49.8
sugar-baking,itemQuestion,97
sugar-baking,mostSimilar,53.666666666666664
sugar-baking,otherCategory,6.333333333333333
sugar-baking,sameCategory,35.13333333333333
sugar-coffee,competitor,66.8695652173913
sugar-coffee,itemQuestion,99.17391304347827
sugar-coffee,mostSimilar,62.43478260869565
sugar-coffee,otherCategory,1.0869565217391304
sugar-coffee,sameCategory,60.04347826086956
sweatpants-sleepover,competitor,67.11111111111111
sweatpants-sleepover,itemQuestion,97.11111111111111
sweatpants-sleepover,mostSimilar,56.111111111111114
sweatpants-sleepover,otherCategory,13
sweatpants-sleepover,sameCategory,47.44444444444444
sweatpants-spill,competitor,69.47619047619048
sweatpants-spill,itemQuestion,96.52380952380952
sweatpants-spill,mostSimilar,50.714285714285715
sweatpants-spill,otherCategory,32.95238095238095
sweatpants-spill,sameCategory,38.904761904761905
towel-clothes,competitor,52.130434782608695
towel-clothes,itemQuestion,89.95652173913044
towel-clothes,mostSimilar,54.82608695652174
towel-clothes,otherCategory,40.47826086956522
towel-clothes,sameCategory,64.17391304347827
towel-hair,competitor,63.59090909090909
towel-hair,itemQuestion,95.9090909090909
towel-hair,mostSimilar,53.86363636363637
towel-hair,otherCategory,53.31818181818182
towel-hair,sameCategory,49
umbrella-rain,competitor,81.33333333333333
umbrella-rain,itemQuestion,96.47619047619048
umbrella-rain,mostSimilar,26.142857142857146
umbrella-rain,otherCategory,11.952380952380954
umbrella-rain,sameCategory,2.9523809523809526
umbrella-summer,competitor,33.09090909090909
umbrella-summer,itemQuestion,98
umbrella-summer,mostSimilar,26.18181818181818
umbrella-summer,otherCategory,39.77272727272727
umbrella-summer,sameCategory,52.40909090909091
