itemName,answerType,responseCategory_proportion
touristInfo-childTheatre,competitor,0.7272727272727273
electronics-laptop,competitor,0.7272727272727273
waterSport-motor,fullList,0.08695652173913043
disney-action,fullList,0.05263157894736842
zoo-xl,competitor,0.4782608695652174
gym-yoga,competitor,0.5925925925925926
friendsActivities-boardGames,other,0.25
kidsActivities-crafts,fullList,0.1
petAdoption-hamster,taciturn,0.2727272727272727
dutyFree-sweets,taciturn,0.2
furniture-outdoors,taciturn,0.38095238095238093
electronics-console,taciturn,0.4583333333333333
movie-western,taciturn,0.47368421052631576
plants-flowers,taciturn,0.4
touristInfo-clubbing,taciturn,0.19230769230769232
bar-tea,taciturn,0.35294117647058826
furniture-indoors,other,0.3684210526315789
disney-action,taciturn,0.2631578947368421
kidsActivities-crafts,other,0.15
plants-green,other,0.5294117647058824
cafe-pie,competitor,0.75
movie-fantasy,other,0.16666666666666666
dutyFree-sweets,competitor,0.4
plants-flowers,competitor,0.24
books-fantasy,taciturn,0.38095238095238093
gym-boxing,competitor,0.7142857142857143
waterSport-muscle,competitor,0.45454545454545453
touristInfo-clubbing,competitor,0.6538461538461539
movie-western,other,0.3684210526315789
furniture-outdoors,other,0.2857142857142857
bar-tea,competitor,0.23529411764705882
friendsActivities-videoEntertainment,sameCategory,0.3076923076923077
bookingAgency-highClassAccommodation,other,0.16666666666666666
kidsActivities-sports,sameCategory,0.30434782608695654
zoo-reptiles,other,0.13636363636363635
petAdoption-hamster,sameCategory,0.2727272727272727
disney-princess,other,0.36363636363636365
bookingAgency-highClassAccommodation,competitor,0.3888888888888889
cafe-pizza,competitor,0.6666666666666666
bar-tea,sameCategory,0.17647058823529413
clothing-winter,sameCategory,0.4090909090909091
plants-green,taciturn,0.11764705882352941
bookingAgency-lowClassAccommodation,sameCategory,0.21052631578947367
clothing-beach,competitor,0.22727272727272727
books-romance,sameCategory,0.2608695652173913
dutyFree-smokes,competitor,0.7368421052631579
bar-whiteWine,competitor,0.6190476190476191
petAdoption-dogs,sameCategory,0.25
gym-yoga,taciturn,0.25925925925925924
dutyFree-sweets,other,0.05
plants-flowers,other,0.2
waterSport-muscle,other,0.18181818181818182
books-fantasy,sameCategory,0.2857142857142857
kidsActivities-crafts,sameCategory,0.2
bookingAgency-lowClassAccommodation,other,0.21052631578947367
books-romance,competitor,0.5652173913043478
waterSport-motor,competitor,0.391304347826087
kidsActivities-sports,taciturn,0.34782608695652173
zoo-reptiles,taciturn,0.3181818181818182
bookingAgency-highClassAccommodation,taciturn,0.2777777777777778
gym-boxing,taciturn,0.09523809523809523
electronics-laptop,taciturn,0.18181818181818182
clothing-beach,taciturn,0.4090909090909091
waterSport-motor,taciturn,0.30434782608695654
cafe-pie,taciturn,0.05
furniture-indoors,taciturn,0.2631578947368421
kidsActivities-crafts,taciturn,0.4
petAdoption-dogs,taciturn,0.55
gym-yoga,other,0.07407407407407407
clothing-beach,sameCategory,0.18181818181818182
movie-fantasy,taciturn,0.625
disney-action,sameCategory,0.42105263157894735
bookingAgency-lowClassAccommodation,taciturn,0.3157894736842105
touristInfo-childTheatre,taciturn,0.13636363636363635
friendsActivities-boardGames,taciturn,0.4375
gym-yoga,sameCategory,0.07407407407407407
zoo-xl,taciturn,0.21739130434782608
disney-princess,taciturn,0.5
petAdoption-hamster,competitor,0.45454545454545453
furniture-outdoors,competitor,0.23809523809523808
bar-tea,other,0.23529411764705882
disney-action,other,0.21052631578947367
dutyFree-smokes,other,0.05263157894736842
zoo-xl,other,0.2608695652173913
clothing-beach,other,0.18181818181818182
dutyFree-smokes,taciturn,0.21052631578947367
books-romance,other,0.043478260869565216
cafe-pizza,sameCategory,0.13333333333333333
waterSport-muscle,taciturn,0.22727272727272727
books-fantasy,competitor,0.19047619047619047
zoo-reptiles,competitor,0.4090909090909091
plants-flowers,sameCategory,0.16
movie-fantasy,fullList,0.041666666666666664
clothing-winter,other,0.18181818181818182
cafe-pizza,taciturn,0.2
friendsActivities-videoEntertainment,other,0.15384615384615385
clothing-winter,competitor,0.09090909090909091
friendsActivities-videoEntertainment,fullList,0.038461538461538464
gym-boxing,sameCategory,0.14285714285714285
touristInfo-clubbing,sameCategory,0.11538461538461539
zoo-reptiles,fullList,0.045454545454545456
electronics-console,sameCategory,0.20833333333333334
electronics-console,other,0.16666666666666666
disney-princess,sameCategory,0.09090909090909091
friendsActivities-videoEntertainment,taciturn,0.3076923076923077
clothing-winter,taciturn,0.3181818181818182
electronics-console,competitor,0.16666666666666666
petAdoption-dogs,other,0.2
touristInfo-childTheatre,other,0.09090909090909091
furniture-outdoors,sameCategory,0.09523809523809523
bookingAgency-highClassAccommodation,sameCategory,0.1111111111111111
dutyFree-sweets,sameCategory,0.35
plants-green,competitor,0.29411764705882354
friendsActivities-boardGames,sameCategory,0.0625
kidsActivities-sports,competitor,0.2608695652173913
movie-western,competitor,0.15789473684210525
kidsActivities-crafts,competitor,0.15
cafe-pie,sameCategory,0.2
waterSport-motor,other,0.17391304347826086
furniture-indoors,sameCategory,0.21052631578947367
friendsActivities-boardGames,competitor,0.1875
furniture-indoors,competitor,0.15789473684210525
bookingAgency-lowClassAccommodation,competitor,0.21052631578947367
movie-fantasy,competitor,0.125
zoo-reptiles,otherCategory,0.045454545454545456
bar-whiteWine,taciturn,0.2857142857142857
books-romance,taciturn,0.13043478260869565
waterSport-muscle,sameCategory,0.13636363636363635
books-fantasy,other,0.14285714285714285
friendsActivities-videoEntertainment,competitor,0.19230769230769232
touristInfo-clubbing,other,0.038461538461538464
touristInfo-childTheatre,sameCategory,0.045454545454545456
bar-whiteWine,sameCategory,0.09523809523809523
electronics-laptop,other,0.045454545454545456
zoo-xl,sameCategory,0.043478260869565216
movie-fantasy,sameCategory,0.041666666666666664
disney-action,competitor,0.05263157894736842
bookingAgency-highClassAccommodation,fullList,0.05555555555555555
bookingAgency-lowClassAccommodation,fullList,0.05263157894736842
electronics-laptop,sameCategory,0.045454545454545456
kidsActivities-sports,fullList,0.08695652173913043
gym-boxing,other,0.047619047619047616
disney-princess,fullList,0.045454545454545456
zoo-reptiles,sameCategory,0.045454545454545456
plants-green,sameCategory,0.058823529411764705
waterSport-motor,sameCategory,0.043478260869565216
friendsActivities-boardGames,otherCategory,0.0625
