submission_id,age,answer,response_option,category,itemName,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,responseTime,settingName,trialNr,trial_type
4954,43,"No, but I have a sleeping bag",sleeping bag,competitor,blanket-sleepover,NA,main,Graduated College,272912,1674417773349,1674417500437,female,English,47991,blanket,1,main
4954,43,"No, but I have a whiteboard marker",marker,competitor,postit-board,NA,main,Graduated College,272912,1674417773349,1674417500437,female,English,57226,postit,2,main
4954,43,"No, but we have trail mix packages",trailmix,competitor,candy-halloween,NA,main,Graduated College,272912,1674417773349,1674417500437,female,English,55215,candy,3,main
4954,43,sculpture,,,art-painting,NA,sculpture,Graduated College,272912,1674417773349,1674417500437,female,English,30077,art,4,filler
4954,43,"No, but I have pyjamas or shorts","pyjamas, shorts",sameCategory,sweatpants-sleepover,NA,main,Graduated College,272912,1674417773349,1674417500437,female,English,31690,sweatpants,5,main
4848,NA,"Yes, we have a chocolate bar.",chocolate,mostSimilar,candy-dessert,NA,main,NA,202059,1673789049404,1673788847345,NA,NA,33604,candy,1,main
4848,NA,No but I have some other containers you can use,other,other,box-bbq,NA,main,NA,202059,1673789049404,1673788847345,NA,NA,42003,box,2,main
4848,NA,No but I have a blanket and a hairdryer you can use,"blanket, hairdryer",other,towel-clothes,NA,main,NA,202059,1673789049404,1673788847345,NA,NA,37266,towel,3,main
4848,NA,I have some pans you can use,pans,competitor,pot-jam,NA,main,NA,202059,1673789049404,1673788847345,NA,NA,41622,pot,4,main
4848,NA,teacher,,,jobCenter-engineer,NA,teacher,NA,202059,1673789049404,1673788847345,NA,NA,19863,jobCenter,5,filler
4929,34,motorcycle,,,carRental-fun,NA,motorcycle,Graduated College,102596,1674411703073,1674411600477,male,english,12392,carRental,1,filler
4929,34,"No.

",no,taciturn,bottle-plants,NA,main,Graduated College,102596,1674411703073,1674411600477,male,english,16912,bottle,2,main
4929,34,"No, I don't
",no,taciturn,postit-board,NA,main,Graduated College,102596,1674411703073,1674411600477,male,english,16614,postit,3,main
4929,34,"Nope, sorry",no,taciturn,umbrella-summer,NA,main,Graduated College,102596,1674411703073,1674411600477,male,english,13419,umbrella,4,main
4929,34,Nope,no,taciturn,sugar-coffee,NA,main,Graduated College,102596,1674411703073,1674411600477,male,english,13710,sugar,5,main
4862,30,"I'd reply ""yes"" and tell her about the variety of supplies I have and ask if she would like to take a look and choose something",other,other,pot-garden,NA,main,Higher degree,410535,1673789300576,1673788890041,female,English,52000,pot,1,main
4862,30,"teacher
I'd tell him ""there isn't an accountant job, sorry, the closest thing we have to that is a bookkeeper vacancy""",,,jobCenter-office,NA,teacher,Higher degree,410535,1673789300576,1673788890041,female,English,87440,jobCenter,2,filler
4862,30,"I don't have post-its, sorry, but I've got sticky bookmarks and a notebook if they'd be of any use?","bookmarks, notebook",sameCategory,postit-board,NA,main,Higher degree,410535,1673789300576,1673788890041,female,English,67259,postit,3,main
4862,30,I have a stool or a ladder you could borrow,"stool, ladder",sameCategory,chair-repair,NA,main,Higher degree,410535,1673789300576,1673788890041,female,English,47077,chair,4,main
4862,30,Yes of course. I'll give you some spare clothes if you want and can put your wet ones in the dryer. I'll get you a hair dryer too,"dryer, hairdryer",sameCategory,towel-hair,NA,main,Higher degree,410535,1673789300576,1673788890041,female,English,65871,towel,5,main
4873,32,Yes I do but il get you a ladder as that will be safer and easier for you,ladder,competitor,chair-repair,NA,main,Higher degree,198263,1673806007711,1673805809448,female,English,52509,chair,1,main
4873,32,I’m afraid I don’t but I have natural and artificial sweeteners if you would like those,sweetener,competitor,sugar-coffee,NA,main,Higher degree,198263,1673806007711,1673805809448,female,English,41512,sugar,2,main
4873,32,I’m afraid I don’t sorry,no,taciturn,pot-garden,NA,main,Higher degree,198263,1673806007711,1673805809448,female,English,22769,pot,3,main
4873,32,Im afraid I don’t but I have a sleeping bag if that’s any use,sleeping bag,competitor,blanket-sleepover,NA,main,Higher degree,198263,1673806007711,1673805809448,female,English,34236,blanket,4,main
4873,32,Classic,,,music-hardrock,NA,classic,Higher degree,198263,1673806007711,1673805809448,female,English,18361,music,5,filler
4843,28,"No, but I have a hair dryer you could use.",hairdryer,competitor,towel-hair,NA,main,Graduated College,226965,1673788910200,1673788683235,female,English,46626,towel,1,main
4843,28,"No, but I have some PJs you can borrow",pyjamas,competitor,sweatpants-sleepover,NA,main,Graduated College,226965,1673788910200,1673788683235,female,English,36447,sweatpants,2,main
4843,28,"Yes, I also have a vacuum if you'd like that.",vacuum,competitor,broom-renovation,NA,main,Graduated College,226965,1673788910200,1673788683235,female,English,52672,broom,3,main
4843,28,Motorcycle,,,carRental-fun,NA,motorcycle,Graduated College,226965,1673788910200,1673788683235,female,English,15210,carRental,4,filler
4843,28,No but I have some cans that would work!,cans,competitor,pot-garden,NA,main,Graduated College,226965,1673788910200,1673788683235,female,English,35284,pot,5,main
