submission_id,age,answer,category,comments,condition,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,languages,responseTime,trialNr,trial_type
3333,39,yes we do,taciturn,,high_prior,NA,Graduated High-school,173765,1714383995356,1714383821591,female,streamingOptions,English,45733,1,main
3333,39,yes there is,taciturn,,low_prior,NA,Graduated High-school,173765,1714383995356,1714383821591,female,coffeeShops,English,30349,2,main
3333,39,teacher,,,filler,teacher,Graduated High-school,173765,1714383995356,1714383821591,female,jobCenter-office,English,26416,3,filler
3333,39,yes,taciturn,,low_prior,NA,Graduated High-school,173765,1714383995356,1714383821591,female,socialMedia,English,20950,4,main
3333,39,yes we do,taciturn,,high_prior,NA,Graduated High-school,173765,1714383995356,1714383821591,female,icecreamFlavors,English,19734,5,main
3347,49,teacher,,,filler,teacher,Graduated High-school,83924,1714388339159,1714388255235,male,jobCenter-office,english,8132,1,filler
3347,49,"yes,we do. ",taciturn,,low_prior,NA,Graduated High-school,83924,1714388339159,1714388255235,male,streamingOptions,english,21052,2,main
3347,49,"yes, we do. ",taciturn,,low_prior,NA,Graduated High-school,83924,1714388339159,1714388255235,male,icecreamFlavors,english,11373,3,main
3347,49,"yes, just around the corner. ",taciturn_more,,high_prior,NA,Graduated High-school,83924,1714388339159,1714388255235,male,coffeeShops,english,17717,4,main
3347,49,"yes, we do. ",taciturn,,high_prior,NA,Graduated High-school,83924,1714388339159,1714388255235,male,cardBlanche,english,8224,5,main
3332,27,Yes we have StreamFlix and WatchWave.,fullList,,high_prior,NA,Higher degree,149976,1714383842826,1714383692850,female,streamingOptions,English,36986,1,main
3332,27,Yes we do but not American Express,exceptive,,low_prior,NA,Higher degree,149976,1714383842826,1714383692850,female,cardBlanche,English,32050,2,main
3332,27,Yes I do,taciturn,,high_prior,NA,Higher degree,149976,1714383842826,1714383692850,female,socialMedia,English,17768,3,main
3332,27,Yes there are some coffee shops around the corner,taciturn_more,,low_prior,NA,Higher degree,149976,1714383842826,1714383692850,female,coffeeShops,English,33914,4,main
3332,27,motorcycle,,,filler,motorcycle,Higher degree,149976,1714383842826,1714383692850,female,carRental-moving,English,11139,5,filler
3334,34,"Yes, there are many nearby but the closest would be Roast Republic or Caffeine King around the corner. ",fullList,,low_prior,NA,Graduated College,198322,1714384036970,1714383838648,female,coffeeShops,English,61714,1,main
3334,34,London,,,filler,London,Graduated College,198322,1714384036970,1714383838648,female,airport-europe-UPDATED,English,9779,2,filler
3334,34,Yes! I'm on Connectify and ChatCentral. You?,fullList,,low_prior,NA,Graduated College,198322,1714384036970,1714383838648,female,socialMedia,English,35328,3,main
3334,34,We accept credit card payment except for Card Blanche. ,exceptive,,high_prior,NA,Graduated College,198322,1714384036970,1714383838648,female,cardBlanche,English,26246,4,main
3334,34,"Yes,we have a wide variety of shows to stream",taciturn_more,,high_prior,NA,Graduated College,198322,1714384036970,1714383838648,female,streamingOptions,English,32630,5,main
3335,36,"Yes, I do.",taciturn,No further comments.,low_prior,NA,Graduated High-school,237379,1714384064827,1714383827448,female,socialMedia,English,32103,1,main
