submission_id,age,answer,response_option,category,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,languages,responseTime,settingName,trialNr,trial_type
4786,33,Classic,,,classic,Graduated College,179238,1673527891272,1673527712034,female,music-softrock,English,25751,music,1,filler
4786,33,"No, but you can use this sleeping bag",sleeping bag,sameCategory,main,Graduated College,179238,1673527891272,1673527712034,female,blanket-transportation,English,31801,blanket,2,main
4786,33,"Yes, no problem",yes,yes,main,Graduated College,179238,1673527891272,1673527712034,female,box-bbq,English,27234,box,3,main
4786,33,"Sorry, none that can be moved downstairs",no,other,main,Graduated College,179238,1673527891272,1673527712034,female,chair-party,English,37100,chair,4,main
4786,33,"Sorry I’m all out, but I have….",other,other,main,Graduated College,179238,1673527891272,1673527712034,female,sugar-baking,English,24534,sugar,5,main
4785,36,We have items containing sugar,other,other,main,Graduated College,176958,1673527775692,1673527598734,female,sugar-baking,English,36369,sugar,1,main
4785,36,"Teacher

Yes there are",,,teacher,Graduated College,176958,1673527775692,1673527598734,female,jobCenter-engineer,English,27408,jobCenter,2,filler
4785,36,No bit I have similar items you could use,other,other,main,Graduated College,176958,1673527775692,1673527598734,female,box-bbq,English,32610,box,3,main
4785,36,No but I have similar items you can use,other,other,main,Graduated College,176958,1673527775692,1673527598734,female,blanket-transportation,English,26305,blanket,4,main
4785,36,Yes a armchair,armchair,sameCategory,main,Graduated College,176958,1673527775692,1673527598734,female,chair-party,English,21325,chair,5,main
4787,34,Yes I’ll bring one down if you want to borrow it,other,other,main,Graduated High-school,154460,1673527909193,1673527754733,female,chair-party,English,31500,chair,1,main
4787,34,Yes I’ll find something for you to put the leftover in,other,other,main,Graduated High-school,154460,1673527909193,1673527754733,female,box-bbq,English,24725,box,2,main
4787,34,Motorcycle,,,motorcycle,Graduated High-school,154460,1673527909193,1673527754733,female,carRental-moving,English,10962,carRental,3,filler
4787,34,No but I’ve got some bubble wrap if you want to borrow that,bubble wrap,competitor,main,Graduated High-school,154460,1673527909193,1673527754733,female,blanket-transportation,English,32280,blanket,4,main
