submission_id,age,answer,comments,response_option,category,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,languages,responseTime,settingName,trialNr,trial_type
4807,47,no   ,,no,,main,Graduated High-school,109475,1673608190883,1673608081408,male,umbrella-rain,english,37365,umbrella,1,main
4807,47,yeah we've got some,,yes,,main,Graduated High-school,109475,1673608190883,1673608081408,male,paper-hamster,english,23184,paper,2,main
4807,47,no    ,,no,,main,Graduated High-school,109475,1673608190883,1673608081408,male,bottle-water,english,10264,bottle,3,main
4807,47,London,,,,London,Graduated High-school,109475,1673608190883,1673608081408,male,airport-europe-UPDATED,english,9897,airport,4,filler
4807,47,what kind of box?,,other,,main,Graduated High-school,109475,1673608190883,1673608081408,male,box-bbq,english,15067,box,5,main
4809,25,Yeah we got loads of stuff,,other,,main,Graduated College,243976,1673608308969,1673608064993,male,candy-halloween,English,41374,candy,1,main
4809,25,i've got a ladder that might help,,ladder,,main,Graduated College,243976,1673608308969,1673608064993,male,chair-repair,English,64607,chair,2,main
4809,25,got some paper towels and a hairdryer that will work,,"paper towel, hairdryer",,main,Graduated College,243976,1673608308969,1673608064993,male,towel-hair,English,27871,towel,3,main
4809,25,ive got classic rock and heavy metal,,,,classic,Graduated College,243976,1673608308969,1673608064993,male,music-hardrock,English,33954,music,4,filler
4809,25,Only have sweetner tablets if thats okay,,sweetener,,main,Graduated College,243976,1673608308969,1673608064993,male,sugar-coffee,English,39784,sugar,5,main
4815,26,Classic,,,,classic,Higher degree,288599,1673609488362,1673609199763,female,music-hardrock,English,18299,music,1,filler
4815,26,No but I do have tank top and shorts?,,"tank top, short",,main,Higher degree,288599,1673609488362,1673609199763,female,sweatpants-sleepover,English,42103,sweatpants,2,main
4815,26,"Have a look through my pantry, I’ve got a few things you can put them into
",,other,,main,Higher degree,288599,1673609488362,1673609199763,female,box-muffins,English,47817,box,3,main
4815,26,"You can use a paper towel? Or better yet, a hairdryer ",,"paper towel, hairdryer",,main,Higher degree,288599,1673609488362,1673609199763,female,towel-hair,English,39946,towel,4,main
4815,26," Yes, in the form of old newspapers and old notebooks!",,"newspaper, notebook",,main,Higher degree,288599,1673609488362,1673609199763,female,paper-bbq,English,114910,paper,5,main
4813,50,no but we have paper towels,love it,paper towel,,main,Graduated College,367476,1673608555914,1673608188438,male,towel-clothes,english,82461,towel,1,main
4813,50,we have ice cream instead,love it,ice cream,,main,Graduated College,367476,1673608555914,1673608188438,male,candy-dessert,english,74854,candy,2,main
