submission_id,age,answer,response_option,category,itemName,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,responseTime,settingName,trialNr,trial_type
4848,,"Yes, we have a chocolate bar. ",chocolate,mostSimilar,candy-dessert,,main,,202059,1673789049404,1673788847345,,,33604,candy,1,main
4848,,No but I have some other containers you can use,other,other,box-bbq,,main,,202059,1673789049404,1673788847345,,,42003,box,2,main
4848,,No but I have a blanket and a hairdryer you can use ,"blanket, hairdryer",other,towel-clothes,,main,,202059,1673789049404,1673788847345,,,37266,towel,3,main
4848,,I have some pans you can use ,pans,competitor,pot-jam,,main,,202059,1673789049404,1673788847345,,,41622,pot,4,main
4848,,teacher ,,,jobCenter-engineer,,teacher,,202059,1673789049404,1673788847345,,,19863,jobCenter,5,filler
4862,30,"I'd reply ""yes"" and tell her about the variety of supplies I have and ask if she would like to take a look and choose something",other,other,pot-garden,,main,Higher degree,410535,1673789300576,1673788890041,female,English,52000,pot,1,main
4862,30,"teacher
I'd tell him ""there isn't an accountant job, sorry, the closest thing we have to that is a bookkeeper vacancy"" ",,,jobCenter-office,,teacher,Higher degree,410535,1673789300576,1673788890041,female,English,87440,jobCenter,2,filler
4862,30,"I don't have post-its, sorry, but I've got sticky bookmarks and a notebook if they'd be of any use?","bookmarks, notebook",sameCategory,postit-board,,main,Higher degree,410535,1673789300576,1673788890041,female,English,67259,postit,3,main
4862,30,I have a stool or a ladder you could borrow,"stool, ladder",sameCategory,chair-repair,,main,Higher degree,410535,1673789300576,1673788890041,female,English,47077,chair,4,main
4862,30,Yes of course. I'll give you some spare clothes if you want and can put your wet ones in the dryer. I'll get you a hair dryer too,"dryer, hairdryer",sameCategory,towel-hair,,main,Higher degree,410535,1673789300576,1673788890041,female,English,65871,towel,5,main
4843,28,"No, but I have a hair dryer you could use. ",hairdryer,competitor,towel-hair,,main,Graduated College,226965,1673788910200,1673788683235,female,English,46626,towel,1,main
4843,28,"No, but I have some PJs you can borrow ",pyjamas,competitor,sweatpants-sleepover,,main,Graduated College,226965,1673788910200,1673788683235,female,English,36447,sweatpants,2,main
4843,28,"Yes, I also have a vacuum if you'd like that. ",vacuum,competitor,broom-renovation,,main,Graduated College,226965,1673788910200,1673788683235,female,English,52672,broom,3,main
4843,28,Motorcycle ,,,carRental-fun,,motorcycle,Graduated College,226965,1673788910200,1673788683235,female,English,15210,carRental,4,filler
4843,28,No but I have some cans that would work! ,cans,competitor,pot-garden,,main,Graduated College,226965,1673788910200,1673788683235,female,English,35284,pot,5,main
4842,34,I have some old cans and pans that might work?,"cans, pans",sameCategory,pot-garden,,main,Higher degree,203008,1673788719304,1673788516296,other,English,44064,pot,1,main
4842,34,"Sorry, no sugar. I have some sweeteners or syrup if that will do?","sweetener, syrup",sameCategory,sugar-coffee,,main,Higher degree,203008,1673788719304,1673788516296,other,English,43480,sugar,2,main
4842,34,"No, but I have a sleeping bag",sleeping bag,competitor,blanket-sleepover,,main,Higher degree,203008,1673788719304,1673788516296,other,English,27304,blanket,3,main
4842,34,You can use the watering can ,watering can,competitor,bottle-plants,,main,Higher degree,203008,1673788719304,1673788516296,other,English,30184,bottle,4,main
4842,34,classic,,,music-hardrock,,classic,Higher degree,203008,1673788719304,1673788516296,other,English,11863,music,5,filler
4857,24,"No, l have a mug though?
",other,other,bottle-water,"N/A
",main,Graduated College,287749,1673789249248,1673788961499,female,English,53427,bottle,1,main
4857,24,"No, but I have other things you can use to dry off
",other,other,towel-clothes,"N/A
",main,Graduated College,287749,1673789249248,1673788961499,female,English,95361,towel,2,main
4857,24,"classic

",,,music-softrock,"N/A
",classic,Graduated College,287749,1673789249248,1673788961499,female,English,19340,music,3,filler
4857,24,I have a rain jacket you can use ,rain jacket,competitor,umbrella-rain,"N/A
",main,Graduated College,287749,1673789249248,1673788961499,female,English,27347,umbrella,4,main
4857,24,I have paper napkins or wet wipes?,"napkins, wet wipes",sameCategory,handkerchief-sauce,"N/A
",main,Graduated College,287749,1673789249248,1673788961499,female,English,37804,handkerchief,5,main
4860,61,no i do not have a handerchief but i have some wet wipes and napkins if you need them for the child i also have a band aid too if needed,"napkins, wet wipes, band aids",sameCategory,handkerchief-injury,,main,Graduated High-school,289972,1673789251669,1673788961697,male,English,79431,handkerchief,1,main
4860,61,no i dont have a blanket but i have a sleeping bag and a pillow if you need them,"sleeping bag, pillow",sameCategory,blanket-sleepover,,main,Graduated High-school,289972,1673789251669,1673788961697,male,English,64487,blanket,2,main
4860,61,no but i have some sunscreen you can use,sunscreen,competitor,umbrella-summer,,main,Graduated High-school,289972,1673789251669,1673788961697,male,English,43144,umbrella,3,main
4860,61,no but you can borrow my vacuum cleaner and brush i f you want,"vacuum, hand brush",sameCategory,broom-renovation,,main,Graduated High-school,289972,1673789251669,1673788961697,male,English,45944,broom,4,main
4860,61,London,,,airport-usa,,London,Graduated High-school,289972,1673789251669,1673788961697,male,English,17432,airport,5,filler
4846,52,No sorry I don’t ,no,taciturn,handkerchief-injury,,main,Graduated High-school,138499,1673788993004,1673788854505,male,English ,28946,handkerchief,1,main
4846,52,No sorry I don’t ,no,taciturn,bottle-plants,,main,Graduated High-school,138499,1673788993004,1673788854505,male,English ,28780,bottle,2,main
