itemName,answerType,responseCategory_proportion
kidsActivities-sports,taciturn,0.16666666666666666
gym-boxing,taciturn,0.09090909090909091
bookingAgency-highClassAccommodation,taciturn,0.22727272727272727
electronics-console,taciturn,0.21739130434782608
petAdoption-hamster,taciturn,0.2
gym-boxing,competitor,0.6060606060606061
interior-deco,sameCategory,0.26666666666666666
books-fantasy,other,0.21739130434782608
gym-yoga,fullList,0.10526315789473684
petAdoption-dogs,taciturn,0.3
books-romance,taciturn,0.05
clothing-clothes,taciturn,0.4444444444444444
dutyFree-smokes,competitor,0.6842105263157895
kidsActivities-crafts,competitor,0.13333333333333333
interior-green,competitor,0.4782608695652174
touristInfo-childTheatre,competitor,0.7333333333333333
clothing-acc,competitor,0.3684210526315789
interior-deco,competitor,0.5333333333333333
touristInfo-clubbing,sameCategory,0.18181818181818182
zoo-reptiles,competitor,0.3333333333333333
petAdoption-dogs,fullList,0.15
books-romance,competitor,0.85
dutyFree-smokes,fullList,0.05263157894736842
cafe-pie,fullList,0.07142857142857142
kidsActivities-crafts,fullList,0.26666666666666666
bar-whiteWine,fullList,0.11764705882352941
electronics-laptop,competitor,0.7647058823529411
waterSport-motor,fullList,0.25
dutyFree-sweets,taciturn,0.16666666666666666
bar-tea,taciturn,0.18518518518518517
touristInfo-clubbing,taciturn,0.18181818181818182
books-fantasy,taciturn,0.2608695652173913
bar-tea,competitor,0.5555555555555556
gym-yoga,sameCategory,0.2631578947368421
petAdoption-dogs,competitor,0.3
bar-whiteWine,competitor,0.7647058823529411
friendsActivities-boardGames,taciturn,0.13043478260869565
zoo-xl,competitor,0.6
gym-yoga,competitor,0.3684210526315789
touristInfo-childTheatre,taciturn,0.2
bookingAgency-lowClassAccommodation,taciturn,0.35714285714285715
electronics-laptop,taciturn,0.11764705882352941
kidsActivities-crafts,sameCategory,0.26666666666666666
cafe-pie,competitor,0.9285714285714286
interior-green,sameCategory,0.21739130434782608
clothing-clothes,sameCategory,0.3888888888888889
interior-deco,taciturn,0.1
kidsActivities-sports,fullList,0.1111111111111111
friendsActivities-videoEntertainment,competitor,0.47368421052631576
clothing-acc,taciturn,0.3684210526315789
dutyFree-sweets,competitor,0.16666666666666666
books-fantasy,sameCategory,0.21739130434782608
waterSport-motor,competitor,0.25
friendsActivities-boardGames,sameCategory,0.21739130434782608
waterSport-muscle,competitor,0.5
cafe-pizza,competitor,0.625
touristInfo-clubbing,other,0.09090909090909091
bookingAgency-highClassAccommodation,competitor,0.3181818181818182
electronics-console,other,0.17391304347826086
waterSport-motor,taciturn,0.375
gym-yoga,taciturn,0.21052631578947367
zoo-xl,taciturn,0.1
interior-green,taciturn,0.13043478260869565
touristInfo-clubbing,fullList,0.045454545454545456
zoo-reptiles,taciturn,0.18518518518518517
petAdoption-hamster,competitor,0.56
kidsActivities-sports,competitor,0.3888888888888889
zoo-reptiles,other,0.3333333333333333
dutyFree-sweets,sameCategory,0.5555555555555556
touristInfo-clubbing,competitor,0.5
kidsActivities-crafts,taciturn,0.26666666666666666
friendsActivities-boardGames,competitor,0.21739130434782608
bookingAgency-lowClassAccommodation,sameCategory,0.2857142857142857
electronics-console,fullList,0.17391304347826086
gym-boxing,fullList,0.09090909090909091
waterSport-muscle,sameCategory,0.3
electronics-console,sameCategory,0.17391304347826086
bookingAgency-highClassAccommodation,sameCategory,0.22727272727272727
bar-whiteWine,other,0.11764705882352941
friendsActivities-videoEntertainment,other,0.3684210526315789
interior-deco,other,0.1
cafe-pizza,sameCategory,0.0625
bookingAgency-highClassAccommodation,other,0.09090909090909091
bar-tea,other,0.07407407407407407
bookingAgency-highClassAccommodation,fullList,0.13636363636363635
bar-tea,sameCategory,0.07407407407407407
waterSport-muscle,fullList,0.15
friendsActivities-boardGames,fullList,0.2608695652173913
zoo-xl,sameCategory,0.1
dutyFree-smokes,taciturn,0.15789473684210525
clothing-clothes,competitor,0.05555555555555555
cafe-pizza,taciturn,0.1875
interior-green,other,0.13043478260869565
clothing-clothes,other,0.05555555555555555
petAdoption-hamster,other,0.16
petAdoption-dogs,other,0.15
clothing-clothes,fullList,0.05555555555555555
gym-boxing,other,0.030303030303030304
dutyFree-sweets,other,0.05555555555555555
gym-boxing,sameCategory,0.18181818181818182
electronics-laptop,sameCategory,0.11764705882352941
kidsActivities-crafts,other,0.06666666666666667
zoo-reptiles,sameCategory,0.037037037037037035
electronics-console,competitor,0.2608695652173913
dutyFree-smokes,other,0.10526315789473684
friendsActivities-videoEntertainment,taciturn,0.10526315789473684
books-fantasy,competitor,0.2608695652173913
dutyFree-sweets,fullList,0.05555555555555555
books-fantasy,fullList,0.043478260869565216
bar-tea,fullList,0.1111111111111111
petAdoption-dogs,sameCategory,0.1
friendsActivities-videoEntertainment,fullList,0.05263157894736842
clothing-acc,fullList,0.10526315789473684
waterSport-muscle,taciturn,0.05
