submission_id,answer,itemName,settingName,category,response_option
4954,"No, but I have a sleeping bag",blanket-sleepover,blanket,competitor,sleeping bag
4954,"No, but I have a whiteboard marker",postit-board,postit,competitor,marker
4954,"No, but we have trail mix packages",candy-halloween,candy,competitor,trailmix
4954,"No, but I have pyjamas or shorts",sweatpants-sleepover,sweatpants,sameCategory,"pyjamas, shorts"
4982,"I don't have a pot exactly, but I do have alternatives you could use",pot-garden,pot,other,other
4982,"No, but I can let you borrow other things you might need",broom-renovation,broom,other,other
4982,"No, but I have something similar you could use",bottle-plants,bottle,other,other
4982,"No, but I have something else you could use",box-muffins,box,other,other
4985,No sorry I have just used it all up making our own cookies,sugar-baking,sugar,other,other
4985,"I can do one better, I have some wet wipes and paper napkins",handkerchief-sauce,handkerchief,sameCategory,"napkins, wet wipes"
4985,"Nah sorry, I have a sleeping bag and pillow though?",blanket-transportation,blanket,sameCategory,"sleeping bag, pillow"
4985,No boxes but I have a few other things you could try in the pantry,box-bbq,box,other,other
4993,"I don't have a hanky but I do have some first aid bits in my bag. Hang on, I'll get them out.",handkerchief-injury,handkerchief,other,other
4993,"Hi, I don't think so - I've got a sleeping bag though if that's of any use?",blanket-sleepover,blanket,competitor,sleeping bag
4993,We've got some trail mix packets you can give them if you like?,candy-halloween,candy,competitor,trailmix
4993,I don't think I do. I have a lot of crafty bits in the basement but I'm not really into gardening so not sure that I do. I'll double check though.,pot-garden,pot,other,other
4969,"No



",blanket-sleepover,blanket,taciturn,no
4969,"no


",umbrella-summer,umbrella,taciturn,no
4969,"no


",pot-garden,pot,taciturn,no
5018,No but I have sticky bookmarks,postit-board,postit,sameCategory,bookmarks
5018,I have paper napkins,handkerchief-injury,handkerchief,mostSimilar,napkins
5018,No but I have a sunscreen,umbrella-summer,umbrella,competitor,sunscreen
5018,No but I have a cake container or a ziplock bag,box-muffins,box,sameCategory,cake container
4848,"Yes, we have a chocolate bar.",candy-dessert,candy,mostSimilar,chocolate
4848,No but I have some other containers you can use,box-bbq,box,other,other
4848,No but I have a blanket and a hairdryer you can use,towel-clothes,towel,other,"blanket, hairdryer"
4848,I have some pans you can use,pot-jam,pot,competitor,pans
4929,"No.

",bottle-plants,bottle,taciturn,no
4929,"No, I don't
",postit-board,postit,taciturn,no
4929,"Nope, sorry",umbrella-summer,umbrella,taciturn,no
4929,Nope,sugar-coffee,sugar,taciturn,no
4862,"I'd reply ""yes"" and tell her about the variety of supplies I have and ask if she would like to take a look and choose something",pot-garden,pot,other,other
4862,"I don't have post-its, sorry, but I've got sticky bookmarks and a notebook if they'd be of any use?",postit-board,postit,sameCategory,"bookmarks, notebook"
4862,Yes of course. I'll give you some spare clothes if you want and can put your wet ones in the dryer. I'll get you a hair dryer too,towel-hair,towel,sameCategory,"dryer, hairdryer"
4873,I’m afraid I don’t but I have natural and artificial sweeteners if you would like those,sugar-coffee,sugar,competitor,sweetener
4873,I’m afraid I don’t sorry,pot-garden,pot,taciturn,no
4873,Im afraid I don’t but I have a sleeping bag if that’s any use,blanket-sleepover,blanket,competitor,sleeping bag
4843,"No, but I have a hair dryer you could use.",towel-hair,towel,competitor,hairdryer
4843,"No, but I have some PJs you can borrow",sweatpants-sleepover,sweatpants,competitor,pyjamas
4843,"Yes, I also have a vacuum if you'd like that.",broom-renovation,broom,competitor,vacuum
4843,No but I have some cans that would work!,pot-garden,pot,competitor,cans
4842,I have some old cans and pans that might work?,pot-garden,pot,sameCategory,"cans, pans"
4842,"Sorry, no sugar. I have some sweeteners or syrup if that will do?",sugar-coffee,sugar,sameCategory,"sweetener, syrup"
4842,"No, but I have a sleeping bag",blanket-sleepover,blanket,competitor,sleeping bag
4842,You can use the watering can,bottle-plants,bottle,competitor,watering can
4874,"Yeah have a look in the basement, theres a hairdryer you can use too",towel-hair,towel,competitor,hairdryer
4874,No but I have some ziplock bags you can use,box-muffins,box,sameCategory,ziplock
4874,"no, sorry, I have a tent but thats not much good!",umbrella-summer,umbrella,otherCategory,tent
4857,"No, l have a mug though?
",bottle-water,bottle,other,other
4857,"No, but I have other things you can use to dry off
",towel-clothes,towel,other,other
4857,I have a rain jacket you can use,umbrella-rain,umbrella,competitor,rain jacket
4857,I have paper napkins or wet wipes?,handkerchief-sauce,handkerchief,sameCategory,"napkins, wet wipes"
4860,no i do not have a handerchief but i have some wet wipes and napkins if you need them for the child i also have a band aid too if needed,handkerchief-injury,handkerchief,sameCategory,"napkins, wet wipes, band aids"
4860,no i dont have a blanket but i have a sleeping bag and a pillow if you need them,blanket-sleepover,blanket,sameCategory,"sleeping bag, pillow"
4860,no but i have some sunscreen you can use,umbrella-summer,umbrella,competitor,sunscreen
4860,no but you can borrow my vacuum cleaner and brush i f you want,broom-renovation,broom,sameCategory,"vacuum, hand brush"
4870,"No i don't have a box, I've got a cake container?",box-muffins,box,competitor,cake container
4870,"No, you can use the watering can?",bottle-plants,bottle,competitor,watering can
4870,"I've got a hand brush you can use, or hoover?",broom-renovation,broom,mostSimilar,hand brush
4870,"No, I've some other bits you can use?",handkerchief-injury,handkerchief,other,other
4877,no i dont have an umbrella,umbrella-summer,umbrella,taciturn,no
4877,no but i have a carton or a cake container,box-muffins,box,sameCategory,"carton, cake container"
4877,no but i have some sweeteners,sugar-coffee,sugar,competitor,sweetener
4877,no but i have a sleeping bag and a pillow,blanket-sleepover,blanket,sameCategory,"sleeping bag, pillow"
4851,"We have sticky book marks, yes.",postit-board,postit,sameCategory,bookmarks
4851,"No, but I have a sleeping bag.",blanket-sleepover,blanket,competitor,sleeping bag
4851,No but I have some napkins and wet wipes. Would you like a band aid as well?,handkerchief-injury,handkerchief,sameCategory,"napkins, wet wipes, band aids"
4849,No I have no sugar,sugar-baking,sugar,taciturn,no
4849,No I do not have any pots,pot-jam,pot,taciturn,no
4853,"No I'm sorry, I don't.",umbrella-rain,umbrella,taciturn,no
4853,I don't have a towel I'm sorry but I have paper towels or you could use the dryer or hair dryer.,towel-clothes,towel,sameCategory,"paper towels, dryer, hairdryer"
4853,No I'm sorry but I have some bubble wrap you could use to pack your mirror.,blanket-transportation,blanket,competitor,bubble wrap
4853,No I'm sorry I don't but I do have a shovel or hand brunch you can use if you like.,broom-snow,broom,sameCategory,"shovel, hand brush"
4863,"Not a broom, I have a brush and a vacuum cleaner that you could use",broom-renovation,broom,sameCategory,"hand brush, vacuum"
4863,"No, but I have a notebook, and whiteboard marker and eraser if this helps.",postit-board,postit,other,"marker, eraser"
4863,"No, but I have a watering can.",bottle-plants,bottle,competitor,watering can
4863,"No, but I have several pans and old cans if this helps.",pot-garden,pot,sameCategory,"pans, cans"
4867,"No, but I have sweetener tablets or honey",sugar-baking,sugar,sameCategory,"sweetener, honey"
4867,No but I have a to go mug,bottle-water,bottle,competitor,mug
4867,"No but I have shorts, leggings or pyjamas",sweatpants-spill,sweatpants,sameCategory,"shorts, leggings, pyjamas"
4867,I have paper towels or a hairdryer you could use,towel-clothes,towel,sameCategory,"paper towels, hairdryer"
4841,I have these little Sticky Bookmarks if thats of any use,postit-board,postit,sameCategory,bookmarks
4841,"No sorry, I do have a sleeping bag though",blanket-sleepover,blanket,competitor,sleeping bag
4841,Here's a pair of Pyjamas,sweatpants-sleepover,sweatpants,competitor,pyjamas
4850,"no, i have sweetener",sugar-baking,sugar,sameCategory,sweetener
4850,"no, we have other stuff",candy-dessert,candy,other,other
4850,"no, i have a notebook",postit-reading,postit,sameCategory,notebook
4850,"no, paper towels",towel-clothes,towel,mostSimilar,paper towels
4861,No sorry - only leggings,sweatpants-sleepover,sweatpants,mostSimilar,leggings
4861,No but I do have some wipes and band aids if that helps?,handkerchief-injury,handkerchief,sameCategory,"wet wipes, band aids"
