itemName,predictions,category,response_option,prompt,settingName,context_nr,model,global_category
blanket-sleepover,"No, I don't have a spare blanket, but you can have the sleeping bag.",competitor,sleeping bag,one-shot CoT,blanket,context1,GPT-3.5,competitor_c1
blanket-sleepover,"No, I don't have a spare blanket, but you can have the sleeping bag.",competitor,sleeping bag,one-shot CoT,blanket,context1,GPT-3.5,competitor_c1
blanket-sleepover,"No, I don't have a spare blanket, but you can have the sleeping bag.",competitor,sleeping bag,one-shot CoT,blanket,context1,GPT-3.5,competitor_c1
blanket-sleepover,"No, I don't have a spare blanket, but you can have the sleeping bag.",competitor,sleeping bag,one-shot CoT,blanket,context1,GPT-3.5,competitor_c1
blanket-sleepover,"No, I don't have a spare blanket, but you can have the sleeping bag.",competitor,sleeping bag,one-shot CoT,blanket,context1,GPT-3.5,competitor_c1
blanket-transportation,"No, I don't have a spare blanket, but you can have the bubble wrap and the pillow if you'd like.",competitor,"bubble wrap, pillow",one-shot CoT,blanket,context2,GPT-3.5,"competitor_c2,mostSimilar"
blanket-transportation,"No, I don't have a spare blanket, but you can use the bubble wrap.",competitor,bubble wrap,one-shot CoT,blanket,context2,GPT-3.5,competitor_c2
blanket-transportation,"No, I don't have a blanket, but you can have the bubble wrap to pack your mirror.",competitor,bubble wrap,one-shot CoT,blanket,context2,GPT-3.5,competitor_c2
blanket-transportation,"No, I don't have a blanket, but you can use the carpet.",otherCategory,carpet,one-shot CoT,blanket,context2,GPT-3.5,otherCategory
blanket-transportation,"No, I don't have a blanket, but you can use the pillow and the bubble wrap to wrap the mirror.",sameCategory,"bubble wrap, pillow",one-shot CoT,blanket,context2,GPT-3.5,"competitor_c2,mostSimilar"
box-muffins,"No, I don't have a box, but you can have the cake container.",competitor,cake container,one-shot CoT,box,context1,GPT-3.5,competitor_c1
box-muffins,"No, I don't have a box, but you can take the cake container or the carton.",sameCategory,"cake container, carton",one-shot CoT,box,context1,GPT-3.5,"competitor_c1,mostSimilar"
box-muffins,"No, I don't have a box, but you can take the cake container.",competitor,cake container,one-shot CoT,box,context1,GPT-3.5,competitor_c1
box-muffins,"No, I don't have a box, but you can have the cake container.",competitor,cake container,one-shot CoT,box,context1,GPT-3.5,competitor_c1
box-muffins,"No, I don't have a box, but you can have the cake container.",competitor,cake container,one-shot CoT,box,context1,GPT-3.5,competitor_c1
box-bbq,"No, I don't have a box, but you can take the ziplock bag or the carton.",sameCategory,"ziplock, carton",one-shot CoT,box,context2,GPT-3.5,"competitor_c2,mostSimilar"
box-bbq,"No, I don't have a box, but you can take the carton.",mostSimilar,carton,one-shot CoT,box,context2,GPT-3.5,mostSimilar
box-bbq,"No, I don't have a box, but you can have the tote bag.",otherCategory,tote,one-shot CoT,box,context2,GPT-3.5,otherCategory
box-bbq,"No, I don't have a box, but you can take the carton.",mostSimilar,carton,one-shot CoT,box,context2,GPT-3.5,mostSimilar
box-bbq,"No, I don't have a box, but you can use the carton.",mostSimilar,carton,one-shot CoT,box,context2,GPT-3.5,mostSimilar
sugar-coffee,"No, I don't have sugar, but we can use any of the other sweeteners like the sweetener tablets, honey, agave syrup, or salt if you'd like.",fullList,"sweetener, honey, syrup, salt",one-shot CoT,sugar,context1,GPT-3.5,"competitor_c1,competitor_c2,mostSimilar,otherCategory"
