submission_id,age,answer,category,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,languages,responseTime,settingName,trialNr,trial_type
4606,32,no there isnt,taciturn,NA,main,Graduated High-school,166212,1672163481375,1672163315163,NA,kidsActivities-sports,NA,40817,kidsActivities,1,main
4606,32,no we dont,taciturn,NA,main,Graduated High-school,166212,1672163481375,1672163315163,NA,gym-boxing,NA,39864,gymActivities,3,main
4606,32,no none,taciturn,NA,main,Graduated High-school,166212,1672163481375,1672163315163,NA,bookingAgency-highClassAccommodation,NA,25392,bookingAgency,4,main
4606,32,no we dont,taciturn,NA,main,Graduated High-school,166212,1672163481375,1672163315163,NA,electronics-console,NA,20216,electronics,5,main
4627,30,No we have no hamsters sorry,taciturn,NA,main,Graduated College,169632,1672165773559,1672165603927,male,petAdoption-hamster,English,27669,petAdoption,1,main
4627,30,Sorry we only offer kickboxing,competitor,NA,main,Graduated College,169632,1672165773559,1672165603927,male,gym-boxing,English,30770,gymActivities,2,main
4627,30,"We dont have watercolour but we do have, Oil paintings and printed photographs",sameCategory,NA,main,Graduated College,169632,1672165773559,1672165603927,male,interior-deco,English,41141,interior,3,main
4627,30,No we only sell books on french love letters and adventure novels,other,NA,main,Graduated College,169632,1672165773559,1672165603927,male,books-fantasy,English,33634,books,4,main
4639,33,"No, we do not offer yoga classes, we only offer pilates class, kickboxing, and zumba classes.",fullList,NA,main,Graduated College,430559,1672166107088,1672165676529,male,gym-yoga,"English, Yoruba",74124,gymActivities,1,main
4639,33,"No, we do not have Dalmatians",taciturn,NA,main,Graduated College,430559,1672166107088,1672165676529,male,petAdoption-dogs,"English, Yoruba",99952,petAdoption,2,main
4639,33,"Unfortunately, we do not have a book of love poems",taciturn,NA,main,Graduated College,430559,1672166107088,1672165676529,male,books-romance,"English, Yoruba",131067,books,3,main
4639,33,"No, we do not Hawaiian shirts",taciturn,NA,main,Graduated College,430559,1672166107088,1672165676529,male,clothing-clothes,"English, Yoruba",49447,clothing,5,main
4647,43,"No, but we sell cigarettes.",competitor,NA,main,Graduated College,120215,1672168597056,1672168476841,male,dutyFree-smokes,English,25696,dutyFree,1,main
4647,43,"No, but there's carpentry if you're interested.",competitor,NA,main,Graduated College,120215,1672168597056,1672168476841,male,kidsActivities-crafts,English,22240,kidsActivities,2,main
4647,43,"No, only agave plant.",competitor,NA,main,Graduated College,120215,1672168597056,1672168476841,male,interior-green,English,16424,interior,3,main
4647,43,"No, but there is a circus show.",competitor,NA,main,Graduated College,120215,1672168597056,1672168476841,male,touristInfo-childTheatre,English,18200,touristInfo,5,main
4652,36,"sorry, unfortunately we're out of stock at this time. Would you be interested in necklaces instead perhaps?",competitor,NA,main,Graduated High-school,217810,1672168701395,1672168483585,female,clothing-acc,"english, welsh",70989,clothing,1,main
4652,36,"only oil, want to take a look?",competitor,NA,main,Graduated High-school,217810,1672168701395,1672168483585,female,interior-deco,"english, welsh",35979,interior,2,main
4652,36,only hip hop and jazz sorry,sameCategory,NA,main,Graduated High-school,217810,1672168701395,1672168483585,female,touristInfo-clubbing,"english, welsh",43175,touristInfo,3,main
4652,36,do you mean iguanas?,competitor,NA,main,Graduated High-school,217810,1672168701395,1672168483585,female,zoo-reptiles,"english, welsh",31522,zoo,5,main
4664,51,"""I am sorry, but all I have at the moment are golden retrievers, chihuahuas and a gerbil named Fred""",fullList,thanks,main,Higher degree,451527,1672169690783,1672169239256,male,petAdoption-dogs,English,124168,petAdoption,1,main
4664,51,"""Sorry, I don't have them at the moment, though I do have books of French love letters if you are interested""",competitor,thanks,main,Higher degree,451527,1672169690783,1672169239256,male,books-romance,English,97448,books,3,main
4664,51,"""Sorry we do not do cigars. All we have are gingerbread, gin and cigarettes""",fullList,thanks,main,Higher degree,451527,1672169690783,1672169239256,male,dutyFree-smokes,English,63694,dutyFree,4,main
4664,51,"""Sorry, I only have raspberry pie, but I can offer you a cheesy pizza or chocolate cookie""",fullList,thanks,main,Higher degree,451527,1672169690783,1672169239256,male,cafe-pie,English,73816,cafe,5,main
4615,21,"No hun, there is no pottery class but there are acrobatics, watercolor painting and carpentry classes",fullList,I think just make the  font size a little bit bigger,main,Higher degree,164587,1672164847535,1672164682948,female,kidsActivities-crafts,English,48902,kidsActivities,1,main
4615,21,"Unfortunately we do not. However we do have iced coffee, chardonnay and  craft beer.",fullList,I think just make the  font size a little bit bigger,main,Higher degree,164587,1672164847535,1672164682948,female,bar-whiteWine,English,32392,bar,2,main
4615,21,No only the Macbook air.,competitor,I think just make the  font size a little bit bigger,main,Higher degree,164587,1672164847535,1672164682948,female,electronics-laptop,English,15526,electronics,3,main
4615,21,"No sorry we only offer rubber dinghies, water ski equipment and kayaks.",fullList,I think just make the  font size a little bit bigger,main,Higher degree,164587,1672164847535,1672164682948,female,waterSport-motor,English,21199,waterSport,4,main
4622,35,"No

",taciturn,NA,main,Graduated High-school,161703,1672164976737,1672164815034,male,dutyFree-sweets,English,41692,dutyFree,2,main
4622,35,"No

",taciturn,NA,main,Graduated High-school,161703,1672164976737,1672164815034,male,kidsActivities-sports,English,22272,kidsActivities,3,main
4622,35,"No

",taciturn,NA,main,Graduated High-school,161703,1672164976737,1672164815034,male,bar-tea,English,14250,bar,4,main
4622,35,"No

",taciturn,NA,main,Graduated High-school,161703,1672164976737,1672164815034,male,touristInfo-clubbing,English,24360,touristInfo,5,main
4631,56,"No, sorry, we don’t.",taciturn,All good!,main,Graduated College,180499,1672165849506,1672165669007,male,gym-boxing,English,23585,gymActivities,2,main
4631,56,"No, unfortunately we don’t have any of those.",taciturn,All good!,main,Graduated College,180499,1672165849506,1672165669007,male,books-fantasy,English,26441,books,3,main
4631,56,"No,sorry, but we do have iced coffee, if you’d like that.",competitor,All good!,main,Graduated College,180499,1672165849506,1672165669007,male,bar-tea,English,41232,bar,4,main
4631,56,"No, I’m sorry.",taciturn,All good!,main,Graduated College,180499,1672165849506,1672165669007,male,bookingAgency-highClassAccommodation,English,34337,bookingAgency,5,main
4632,69,"No I'm sorry, but maybe you would like to try a zumba class",sameCategory,NA,main,Graduated High-school,208141,1672165879722,1672165671581,female,gym-yoga,English,26584,gymActivities,1,main
4632,69,"No I'm sorry, but we have some lovely golden retrievers if you were interested",competitor,NA,main,Graduated High-school,208141,1672165879722,1672165671581,female,petAdoption-dogs,English,29856,petAdoption,3,main
4632,69,"Sorry, but no.  However ,we do have some rather delicious chardonnay",competitor,NA,main,Graduated High-school,208141,1672165879722,1672165671581,female,bar-whiteWine,English,49439,bar,4,main
4632,69,"NO, I'm sorry I only have cigarettes.",competitor,NA,main,Graduated High-school,208141,1672165879722,1672165671581,female,dutyFree-smokes,English,29952,dutyFree,5,main
4607,60,"Sorry, I don't have that.",taciturn,NA,main,Graduated College,232254,1672163527107,1672163294853,female,friendsActivities-boardGames,English,47887,friendsActivities,2,main
4607,60,There aren't any tigers but we could see a lion.,competitor,NA,main,Graduated College,232254,1672163527107,1672163294853,female,zoo-xl,English,38855,zoo,3,main
4607,60,No sorry but we can offer pilates.,competitor,NA,main,Graduated College,232254,1672163527107,1672163294853,female,gym-yoga,English,30326,gymActivities,4,main
4607,60,No but I do have an agarve plant.,competitor,NA,main,Graduated College,232254,1672163527107,1672163294853,female,interior-green,English,61124,interior,5,main
4609,41,No there isnt,taciturn,NA,main,Higher degree,66202,1672164756012,1672164689810,female,touristInfo-childTheatre,English,10817,touristInfo,1,main
4609,41,No we don't,taciturn,NA,main,Higher degree,66202,1672164756012,1672164689810,female,petAdoption-dogs,English,10428,petAdoption,2,main
4609,41,No there isnt,taciturn,NA,main,Higher degree,66202,1672164756012,1672164689810,female,bookingAgency-lowClassAccommodation,English,10730,bookingAgency,3,main
4609,41,No we dont,taciturn,NA,main,Higher degree,66202,1672164756012,1672164689810,female,electronics-laptop,English,6633,electronics,5,main
4616,27,"No sorry, we have the MacBook Air though if that interests you.",competitor,NA,main,Higher degree,132469,1672164859766,1672164727297,female,electronics-laptop,NA,25738,electronics,3,main
4616,27,"Unfortunately not this year, but you can try either carpentry or water colour painting.",sameCategory,NA,main,Higher degree,132469,1672164859766,1672164727297,female,kidsActivities-crafts,NA,41258,kidsActivities,4,main
4616,27,"Not a cake, but we have raspberry pie.",competitor,NA,main,Higher degree,132469,1672164859766,1672164727297,female,cafe-pie,NA,21221,cafe,5,main
4637,56,Not as far as i know,taciturn,NA,main,Higher degree,293013,1672166014283,1672165721270,male,bookingAgency-lowClassAccommodation,English,42849,bookingAgency,2,main
