submission_id,itemName,settingName,category,response_option,option_category,answer,new_category
4954,blanket-sleepover,blanket,competitor,sleeping bag,competitor_c1,"No, but I have a sleeping bag",competitor_c1
4954,postit-board,postit,competitor,whiteboard marker,competitor_c1,"No, but I have a whiteboard marker",competitor_c1
4954,candy-halloween,candy,competitor,trail mix,competitor_c1,"No, but we have trail mix packages",competitor_c1
4954,blanket-sleepover,blanket,competitor,sleeping bag,competitor_c1,"No, but I have a sleeping bag",competitor_c1
4954,postit-board,postit,competitor,whiteboard marker,competitor_c1,"No, but I have a whiteboard marker",competitor_c1
4954,candy-halloween,candy,competitor,trail mix,competitor_c1,"No, but we have trail mix packages",competitor_c1
4954,sweatpants-sleepover,sweatpants,sameCategory,"pyjamas, shorts","competitor_c1, competitor_c2","No, but I have pyjamas or shorts",sameCategory
4982,pot-garden,pot,other,,alternative,"I don't have a pot exactly, but I do have alternatives you could use",alternative
4982,broom-renovation,broom,other,,alternative,"No, but I can let you borrow other things you might need",alternative
4982,bottle-plants,bottle,other,,alternative,"No, but I have something similar you could use",alternative
4982,box-muffins,box,other,,alternative,"No, but I have something else you could use",alternative
4985,sugar-baking,sugar,other,,alternative,No sorry I have just used it all up making our own cookies,alternative
4985,handkerchief-sauce,handkerchief,sameCategory,"wet wipes, paper napkins","mostSimilar, competitor_c2","I can do one better, I have some wet wipes and paper napkins",mostSimilar
4985,blanket-transportation,blanket,sameCategory,"a sleeping bag, pillow","competitor_c1, mostSimilar","Nah sorry, I have a sleeping bag and pillow though?",mostSimilar
4985,box-bbq,box,other,,alternative,No boxes but I have a few other things you could try in the pantry,alternative
4993,handkerchief-injury,handkerchief,other,,alternative,"I don't have a hanky but I do have some first aid bits in my bag. Hang on, I'll get them out.",alternative
4993,blanket-sleepover,blanket,competitor,sleeping bag,competitor_c1,"Hi, I don't think so - I've got a sleeping bag though if that's of any use?",competitor_c1
4993,candy-halloween,candy,competitor,trail mix,competitor_c1,We've got some trail mix packets you can give them if you like?,competitor_c1
4993,pot-garden,pot,other,,alternative,I don't think I do. I have a lot of crafty bits in the basement but I'm not really into gardening so not sure that I do. I'll double check though.,alternative
4969,blanket-sleepover,blanket,taciturn,,,"No



",taciturn
4969,umbrella-summer,umbrella,taciturn,,,"no


",taciturn
4969,pot-garden,pot,taciturn,,,"no


",taciturn
5018,postit-board,postit,sameCategory,sticky bookmarks,competitor_c2,No but I have sticky bookmarks,competitor_c2
5018,handkerchief-injury,handkerchief,mostSimilar,paper napkins,mostSimilar,I have paper napkins,mostSimilar
5018,umbrella-summer,umbrella,competitor,sunscreen,competitor_c1,No but I have a sunscreen,competitor_c1
5018,box-muffins,box,sameCategory,"cake container, a ziplock bag","competitor_c1, competitor_c2",No but I have a cake container or a ziplock bag,sameCategory
4848,candy-dessert,candy,mostSimilar,,mostSimilar,"Yes, we have a chocolate bar.",mostSimilar
4848,box-bbq,box,other,,alternative,No but I have some other containers you can use,alternative
4848,towel-clothes,towel,other,a blanket,"competitor_c1, otherCategory, competitor_c2",No but I have a blanket and a hairdryer you can use,other_response
4848,pot-jam,pot,competitor,,competitor_c2,I have some pans you can use,competitor_c2
4929,bottle-plants,bottle,taciturn,,,"No.

",taciturn
4929,postit-board,postit,taciturn,,,"No, I don't
",taciturn
4929,umbrella-summer,umbrella,taciturn,,,"Nope, sorry",taciturn
4929,sugar-coffee,sugar,taciturn,,,Nope,taciturn
4862,pot-garden,pot,other,,alternative,"I'd reply ""yes"" and tell her about the variety of supplies I have and ask if she would like to take a look and choose something",alternative
4862,postit-board,postit,sameCategory,"sticky bookmarks, a notebook","mostSimilar, competitor_c2","I don't have post-its, sorry, but I've got sticky bookmarks and a notebook if they'd be of any use?",mostSimilar
4862,towel-hair,towel,sameCategory,hair dryer,"competitor_c1, competitor_c2",Yes of course. I'll give you some spare clothes if you want and can put your wet ones in the dryer. I'll get you a hair dryer too,sameCategory
4873,sugar-coffee,sugar,competitor,sweetener,competitor_c1,I’m afraid I don’t but I have natural and artificial sweeteners if you would like those,competitor_c1
4873,pot-garden,pot,taciturn,,,I’m afraid I don’t sorry,taciturn
4873,blanket-sleepover,blanket,competitor,sleeping bag,competitor_c1,Im afraid I don’t but I have a sleeping bag if that’s any use,competitor_c1
4843,towel-hair,towel,competitor,hair dryer,competitor_c1,"No, but I have a hair dryer you could use.",competitor_c1
4843,sweatpants-sleepover,sweatpants,competitor,pyjamas,competitor_c1,"No, but I have some PJs you can borrow",competitor_c1
4843,broom-renovation,broom,competitor,vacuum cleaner,competitor_c1,"Yes, I also have a vacuum if you'd like that.",competitor_c1
4843,pot-garden,pot,competitor,old can,competitor_c1,No but I have some cans that would work!,competitor_c1
4842,pot-garden,pot,sameCategory,old can,"competitor_c1, competitor_c2",I have some old cans and pans that might work?,sameCategory
4842,sugar-coffee,sugar,sameCategory,sweetener,"competitor_c1, competitor_c2","Sorry, no sugar. I have some sweeteners or syrup if that will do?",sameCategory
4842,blanket-sleepover,blanket,competitor,sleeping bag,competitor_c1,"No, but I have a sleeping bag",competitor_c1
4842,bottle-plants,bottle,competitor,watering can,competitor_c1,You can use the watering can,competitor_c1
4874,towel-hair,towel,competitor,hair dryer,competitor_c1,"Yeah have a look in the basement, theres a hairdryer you can use too",competitor_c1
4874,box-muffins,box,sameCategory,ziplock,competitor_c2,No but I have some ziplock bags you can use,competitor_c2
4874,umbrella-summer,umbrella,otherCategory,a tent,otherCategory,"no, sorry, I have a tent but thats not much good!",otherCategory
4857,bottle-water,bottle,other,to-go mug,competitor_c2,"No, l have a mug though?
",competitor_c2
4857,towel-clothes,towel,other,,alternative,"No, but I have other things you can use to dry off
",alternative
4857,umbrella-rain,umbrella,competitor,rain jacket,competitor_c2,I have a rain jacket you can use,competitor_c2
4857,handkerchief-sauce,handkerchief,sameCategory,"wet wipes, paper napkins","mostSimilar, competitor_c2",I have paper napkins or wet wipes?,mostSimilar
4860,handkerchief-injury,handkerchief,sameCategory,"band aid, some wet wipes","mostSimilar, competitor_c2",no i do not have a handerchief but i have some wet wipes and napkins if you need them for the child i also have a band aid too if needed,mostSimilar
4860,blanket-sleepover,blanket,sameCategory,"sleeping bag, pillow","competitor_c1, mostSimilar",no i dont have a blanket but i have a sleeping bag and a pillow if you need them,mostSimilar
4860,umbrella-summer,umbrella,competitor,sunscreen,competitor_c1,no but i have some sunscreen you can use,competitor_c1
4860,broom-renovation,broom,sameCategory,vacuum cleaner,competitor_c1,no but you can borrow my vacuum cleaner and brush i f you want,competitor_c1
4870,box-muffins,box,competitor,cake container,competitor_c1,"No i don't have a box, I've got a cake container?",competitor_c1
4870,bottle-plants,bottle,competitor,watering can,competitor_c1,"No, you can use the watering can?",competitor_c1
4870,broom-renovation,broom,mostSimilar,hand brush,mostSimilar,"I've got a hand brush you can use, or hoover?",mostSimilar
