submission_id,answer,itemName,settingName,category,response_option,context_nr,powerset_member
4954,"No, but I have a sleeping bag",blanket-sleepover,blanket,competitor,sleeping bag,context1,competitor_c1
4954,"No, but I have a whiteboard marker",postit-board,postit,competitor,marker,context1,competitor_c1
4954,"No, but we have trail mix packages",candy-halloween,candy,competitor,trailmix,context1,competitor_c1
4954,"No, but I have pyjamas or shorts",sweatpants-sleepover,sweatpants,sameCategory,"pyjamas, shorts",context1,"competitor_c1,competitor_c2"
4985,"I can do one better, I have some wet wipes and paper napkins",handkerchief-sauce,handkerchief,sameCategory,"napkins, wet wipes",context2,"mostSimilar,competitor_c2"
4985,"Nah sorry, I have a sleeping bag and pillow though?",blanket-transportation,blanket,sameCategory,"sleeping bag, pillow",context2,"competitor_c1,mostSimilar"
4993,"Hi, I don't think so - I've got a sleeping bag though if that's of any use?",blanket-sleepover,blanket,competitor,sleeping bag,context1,competitor_c1
4993,We've got some trail mix packets you can give them if you like?,candy-halloween,candy,competitor,trailmix,context1,competitor_c1
5018,No but I have sticky bookmarks,postit-board,postit,sameCategory,bookmarks,context1,competitor_c2
5018,I have paper napkins,handkerchief-injury,handkerchief,mostSimilar,napkins,context1,mostSimilar
5018,No but I have a sunscreen,umbrella-summer,umbrella,competitor,sunscreen,context1,competitor_c1
5018,No but I have a cake container or a ziplock bag,box-muffins,box,sameCategory,cake container,context1,competitor_c1
4848,"Yes, we have a chocolate bar.",candy-dessert,candy,mostSimilar,chocolate,context2,mostSimilar
4848,No but I have a blanket and a hairdryer you can use,towel-clothes,towel,other,"blanket, hairdryer",context2,"otherCategory,competitor_c1"
4848,I have some pans you can use,pot-jam,pot,competitor,pans,context2,competitor_c2
4862,"I don't have post-its, sorry, but I've got sticky bookmarks and a notebook if they'd be of any use?",postit-board,postit,sameCategory,"bookmarks, notebook",context1,"competitor_c2,mostSimilar"
4862,Yes of course. I'll give you some spare clothes if you want and can put your wet ones in the dryer. I'll get you a hair dryer too,towel-hair,towel,sameCategory,"dryer, hairdryer",context1,"competitor_c2,competitor_c1"
4873,I’m afraid I don’t but I have natural and artificial sweeteners if you would like those,sugar-coffee,sugar,competitor,sweetener,context1,competitor_c1
4873,Im afraid I don’t but I have a sleeping bag if that’s any use,blanket-sleepover,blanket,competitor,sleeping bag,context1,competitor_c1
4843,"No, but I have a hair dryer you could use.",towel-hair,towel,competitor,hairdryer,context1,competitor_c1
4843,"No, but I have some PJs you can borrow",sweatpants-sleepover,sweatpants,competitor,pyjamas,context1,competitor_c1
4843,"Yes, I also have a vacuum if you'd like that.",broom-renovation,broom,competitor,vacuum,context1,competitor_c1
4843,No but I have some cans that would work!,pot-garden,pot,competitor,cans,context1,competitor_c1
4842,I have some old cans and pans that might work?,pot-garden,pot,sameCategory,"cans, pans",context1,"competitor_c1,competitor_c2"
4842,"Sorry, no sugar. I have some sweeteners or syrup if that will do?",sugar-coffee,sugar,sameCategory,"sweetener, syrup",context1,"competitor_c1,competitor_c2"
4842,"No, but I have a sleeping bag",blanket-sleepover,blanket,competitor,sleeping bag,context1,competitor_c1
4842,You can use the watering can,bottle-plants,bottle,competitor,watering can,context1,competitor_c1
4874,"Yeah have a look in the basement, theres a hairdryer you can use too",towel-hair,towel,competitor,hairdryer,context1,competitor_c1
4874,No but I have some ziplock bags you can use,box-muffins,box,sameCategory,ziplock,context1,competitor_c2
4874,"no, sorry, I have a tent but thats not much good!",umbrella-summer,umbrella,otherCategory,tent,context1,otherCategory
4857,I have a rain jacket you can use,umbrella-rain,umbrella,competitor,rain jacket,context2,competitor_c2
4857,I have paper napkins or wet wipes?,handkerchief-sauce,handkerchief,sameCategory,"napkins, wet wipes",context2,"mostSimilar,competitor_c2"
4860,no i do not have a handerchief but i have some wet wipes and napkins if you need them for the child i also have a band aid too if needed,handkerchief-injury,handkerchief,sameCategory,"napkins, wet wipes, band aids",context1,"mostSimilar,competitor_c2,competitor_c1"
4860,no i dont have a blanket but i have a sleeping bag and a pillow if you need them,blanket-sleepover,blanket,sameCategory,"sleeping bag, pillow",context1,"competitor_c1,mostSimilar"
4860,no but i have some sunscreen you can use,umbrella-summer,umbrella,competitor,sunscreen,context1,competitor_c1
4860,no but you can borrow my vacuum cleaner and brush i f you want,broom-renovation,broom,sameCategory,"vacuum, hand brush",context1,"competitor_c1,mostSimilar"
4870,"No i don't have a box, I've got a cake container?",box-muffins,box,competitor,cake container,context1,competitor_c1
4870,"No, you can use the watering can?",bottle-plants,bottle,competitor,watering can,context1,competitor_c1
4870,"I've got a hand brush you can use, or hoover?",broom-renovation,broom,mostSimilar,hand brush,context1,mostSimilar
4877,no but i have a carton or a cake container,box-muffins,box,sameCategory,"carton, cake container",context1,"mostSimilar,competitor_c1"
4877,no but i have some sweeteners,sugar-coffee,sugar,competitor,sweetener,context1,competitor_c1
4877,no but i have a sleeping bag and a pillow,blanket-sleepover,blanket,sameCategory,"sleeping bag, pillow",context1,"competitor_c1,mostSimilar"
4851,"We have sticky book marks, yes.",postit-board,postit,sameCategory,bookmarks,context1,competitor_c2
4851,"No, but I have a sleeping bag.",blanket-sleepover,blanket,competitor,sleeping bag,context1,competitor_c1
4851,No but I have some napkins and wet wipes. Would you like a band aid as well?,handkerchief-injury,handkerchief,sameCategory,"napkins, wet wipes, band aids",context1,"mostSimilar,competitor_c2,competitor_c1"
4853,I don't have a towel I'm sorry but I have paper towels or you could use the dryer or hair dryer.,towel-clothes,towel,sameCategory,"paper towels, dryer, hairdryer",context2,"mostSimilar,competitor_c2,competitor_c1"
4853,No I'm sorry but I have some bubble wrap you could use to pack your mirror.,blanket-transportation,blanket,competitor,bubble wrap,context2,competitor_c2
4853,No I'm sorry I don't but I do have a shovel or hand brunch you can use if you like.,broom-snow,broom,sameCategory,"shovel, hand brush",context2,"competitor_c2,mostSimilar"
4863,"Not a broom, I have a brush and a vacuum cleaner that you could use",broom-renovation,broom,sameCategory,"hand brush, vacuum",context1,"mostSimilar,competitor_c1"
4863,"No, but I have a notebook, and whiteboard marker and eraser if this helps.",postit-board,postit,other,"marker, eraser",context1,"competitor_c1,otherCategory"
4863,"No, but I have a watering can.",bottle-plants,bottle,competitor,watering can,context1,competitor_c1
4863,"No, but I have several pans and old cans if this helps.",pot-garden,pot,sameCategory,"pans, cans",context1,"competitor_c2,competitor_c1"
4867,"No, but I have sweetener tablets or honey",sugar-baking,sugar,sameCategory,"sweetener, honey",context2,"competitor_c1,mostSimilar"
4867,No but I have a to go mug,bottle-water,bottle,competitor,mug,context2,competitor_c2
4867,"No but I have shorts, leggings or pyjamas",sweatpants-spill,sweatpants,sameCategory,"shorts, leggings, pyjamas",context2,"competitor_c2,mostSimilar,competitor_c1"
4867,I have paper towels or a hairdryer you could use,towel-clothes,towel,sameCategory,"paper towels, hairdryer",context2,"mostSimilar,competitor_c1"
4841,I have these little Sticky Bookmarks if thats of any use,postit-board,postit,sameCategory,bookmarks,context1,competitor_c2
4841,"No sorry, I do have a sleeping bag though",blanket-sleepover,blanket,competitor,sleeping bag,context1,competitor_c1
4841,Here's a pair of Pyjamas,sweatpants-sleepover,sweatpants,competitor,pyjamas,context1,competitor_c1
4850,"no, i have sweetener",sugar-baking,sugar,sameCategory,sweetener,context2,competitor_c1
4850,"no, i have a notebook",postit-reading,postit,sameCategory,notebook,context2,mostSimilar
4850,"no, paper towels",towel-clothes,towel,mostSimilar,paper towels,context2,mostSimilar
4861,No sorry - only leggings,sweatpants-sleepover,sweatpants,mostSimilar,leggings,context1,mostSimilar
4861,No but I do have some wipes and band aids if that helps?,handkerchief-injury,handkerchief,sameCategory,"wet wipes, band aids",context1,"competitor_c2,competitor_c1"
4861,"No but I do have honey, syrup and sweetener tablets if any of those would be suitable?",sugar-coffee,sugar,sameCategory,"sweetener, syrup, honey",context1,"competitor_c1,competitor_c2,mostSimilar"
4868,"No, but I do have a watering can you can use if you like.",bottle-plants,bottle,competitor,watering can,context1,competitor_c1
4868,I don't have a broom but you're more than welcome to borrow my brush and vacuum cleaner.,broom-renovation,broom,sameCategory,"vacuum, hand brush",context1,"competitor_c1,mostSimilar"
4868,"No, but you can use my pyjamas if you like.",sweatpants-sleepover,sweatpants,competitor,pyjamas,context1,competitor_c1
4868,"No, but I do have sweetener, honey or agave syrup.",sugar-coffee,sugar,sameCategory,"sweetener, syrup, honey",context1,"competitor_c1,competitor_c2,mostSimilar"
4937,Unfortunately I don't have a blanket but I do have a sleeping bag if that helps?,blanket-sleepover,blanket,competitor,sleeping bag,context1,competitor_c1
4937,I dont have a bottle but I have a watering can if you would like to use that to water the plants,bottle-plants,bottle,competitor,watering can,context1,competitor_c1
4937,I dont have a towel im afraid but you can use my hair dryer?,towel-hair,towel,competitor,hairdryer,context1,competitor_c1
4937,I dont have a box but I have a cake container and some ziplock bags you can use,box-muffins,box,sameCategory,"cake container, ziplock",context1,"competitor_c1,competitor_c2"
4844,No I don't but can offer you a glass.,bottle-water,bottle,mostSimilar,glass,context2,mostSimilar
4844,No but can offer you a napkin,handkerchief-sauce,handkerchief,mostSimilar,napkins,context2,mostSimilar
4845,I've got a cake box or a ziplock bag if you want to use them,box-bbq,box,sameCategory,"cake container, ziplock",context2,"competitor_c1,competitor_c2"
4845,"Yeah, I've got sticky bookmarks",postit-reading,postit,competitor,bookmarks,context2,competitor_c2
4845,"no, but I've got some shorts or leggings if you want them",sweatpants-spill,sweatpants,sameCategory,"shorts, leggings",context2,"competitor_c2,mostSimilar"
4845,I have chocolate,candy-dessert,candy,mostSimilar,chocolate,context2,mostSimilar
4847,No but you can use hair the dryer in the basement?,towel-hair,towel,sameCategory,dryer,context1,competitor_c2
4847,No but you are welcome to use the hand brush,broom-renovation,broom,mostSimilar,hand brush,context1,mostSimilar
4847,No sorry but you can use the watering can,bottle-plants,bottle,competitor,watering can,context1,competitor_c1
4847,No but I have sunscreen and you can use the tent for shade,umbrella-summer,umbrella,other,"sunscreen, tent",context1,"competitor_c1,otherCategory"
4938,Does chocolate bar count as candy?,candy-dessert,candy,mostSimilar,chocolate,context2,mostSimilar
4938,"I've only got a hand brush, will that be enough?",broom-snow,broom,mostSimilar,hand brush,context2,mostSimilar
4852,"Yes, I have sticky bookmarks.",postit-board,postit,sameCategory,bookmarks,context1,competitor_c2
4852,"No, I only have Pyjamas or leggings. 
",sweatpants-sleepover,sweatpants,sameCategory,"pyjamas, leggings",context1,"competitor_c1,mostSimilar"
4852,No but I have a hair dryer,towel-hair,towel,competitor,hairdryer,context1,competitor_c1
4852,No but I have a watering can or my to-go mug.,bottle-plants,bottle,sameCategory,"watering can, mug",context1,"competitor_c1,competitor_c2"
4858,We have chocolate,candy-dessert,candy,mostSimilar,chocolate,context2,mostSimilar
4858,No sorry but I’ve got a shovel and a hand brush.,broom-snow,broom,sameCategory,"shovel, hand brush",context2,"competitor_c2,mostSimilar"
