itemName,answerType,mean,mean_zScored
clothing-beach,competitor,52.5625,-9.974659986866641e-18
clothing-beach,sameCategory1,66.125,5.637851296924623e-18
clothing-beach,sameCategory2,41.625,-1.1275702593849246e-17
clothing-beach,otherCategory1,32.1875,4.553649124439119e-18
clothing-beach,otherCategory2,28.6875,-2.2551405187698492e-17
electronics-laptop,competitor,68,0
electronics-laptop,sameCategory1,32.833333333333336,-1.0256552551712872e-16
electronics-laptop,sameCategory2,21.916666666666668,-6.245004513516506e-17
electronics-laptop,otherCategory1,24.583333333333332,7.864079757761526e-17
electronics-laptop,otherCategory2,17.666666666666668,-8.557517397247046e-17
kidsActivities-crafts,competitor,65.875,0
kidsActivities-crafts,sameCategory1,60.0625,1.474514954580286e-17
kidsActivities-crafts,sameCategory2,63.3125,0
kidsActivities-crafts,otherCategory1,31.0625,-8.673617379884035e-19
kidsActivities-crafts,otherCategory2,27.1875,1.3877787807814457e-17
touristInfo-childTheatre,competitor,71.73333333333333,-4.325294688745674e-17
touristInfo-childTheatre,sameCategory1,31.666666666666668,-6.477294828971524e-17
touristInfo-childTheatre,sameCategory2,26.466666666666665,6.290902405485059e-17
touristInfo-childTheatre,otherCategory1,22.466666666666665,3.7021890183138355e-17
touristInfo-childTheatre,otherCategory2,24.066666666666666,2.7755575615628914e-17
waterSport-motor,competitor,74.46666666666667,-1.0499730063983267e-16
waterSport-motor,sameCategory1,47.06666666666667,-1.2302080650468858e-16
waterSport-motor,sameCategory2,73.06666666666666,1.5036980630563543e-16
waterSport-motor,otherCategory1,47.8,9.690056916589196e-17
waterSport-motor,otherCategory2,52.666666666666664,8.2449961210281e-17
plants-green,competitor,59.27777777777778,-5.241816336697279e-17
plants-green,sameCategory1,45.94444444444444,7.554479804062888e-17
plants-green,sameCategory2,50.5,1.9081958235744878e-17
plants-green,otherCategory1,41.611111111111114,-1.989029118878685e-16
plants-green,otherCategory2,53.833333333333336,-1.35645738468742e-16
cafe-pie,competitor,72.6,4.246440438865351e-16
cafe-pie,sameCategory1,35.9,6.382698189422165e-17
cafe-pie,sameCategory2,30.3,-1.6263032587282567e-19
cafe-pie,otherCategory1,22.9,8.61940727125976e-17
cafe-pie,otherCategory2,22.9,5.275727771314465e-17
zoo-xl,competitor,85.53846153846153,3.9928247006792127e-16
zoo-xl,sameCategory1,67.15384615384616,-4.045783806796774e-16
zoo-xl,sameCategory2,62.61538461538461,9.819744176451885e-17
zoo-xl,otherCategory1,51.46153846153846,8.326672684688674e-17
zoo-xl,otherCategory2,45.07692307692308,-1.4519082967818744e-16
dutyFree-smokes,competitor,68.76923076923077,-2.3381810226634385e-16
dutyFree-smokes,sameCategory1,45.30769230769231,4.217650701177505e-17
dutyFree-smokes,sameCategory2,58.23076923076923,-1.0032206102175486e-16
dutyFree-smokes,otherCategory1,33.76923076923077,1.0891644824288035e-16
dutyFree-smokes,otherCategory2,29.923076923076923,2.350633710115688e-17
bar-whiteWine,competitor,69.4375,9.540979117872439e-18
bar-whiteWine,sameCategory1,33.1875,6.938893903907228e-18
bar-whiteWine,sameCategory2,35.4375,-1.5612511283791264e-17
bar-whiteWine,otherCategory1,26.5625,6.071532165918825e-18
bar-whiteWine,otherCategory2,29.375,-1.214306433183765e-17
books-romance,competitor,75,-2.5247126043832907e-17
books-romance,sameCategory1,67,0
books-romance,sameCategory2,43.36363636363637,-1.1606384256457325e-16
books-romance,otherCategory1,22,0
books-romance,otherCategory2,23.90909090909091,-8.561620373508215e-17
petAdoption-dogs,competitor,36.72727272727273,1.0112649354273886e-17
petAdoption-dogs,sameCategory1,53.72727272727273,3.5306797337405794e-17
petAdoption-dogs,sameCategory2,47,-1.512092416240295e-17
petAdoption-dogs,otherCategory1,12.454545454545455,-1.0112649354273886e-17
petAdoption-dogs,otherCategory2,17.454545454545453,5.142568031766472e-17
bookingAgency-lowClassAccommodation,competitor,52.55555555555556,-4.394933973078046e-17
bookingAgency-lowClassAccommodation,sameCategory1,70.72222222222223,-2.90659544079857e-16
bookingAgency-lowClassAccommodation,sameCategory2,66.05555555555556,-7.25120436303708e-17
bookingAgency-lowClassAccommodation,otherCategory1,9.055555555555555,1.8816931038026198e-17
bookingAgency-lowClassAccommodation,otherCategory2,9.38888888888889,-6.179952383167375e-18
kidsActivities-sports,competitor,61.15384615384615,5.354290728736107e-18
kidsActivities-sports,sameCategory1,43.38461538461539,-9.8195356760341e-17
kidsActivities-sports,sameCategory2,70.46153846153847,-4.3234646632037345e-16
kidsActivities-sports,otherCategory1,27,2.1358782797964437e-17
kidsActivities-sports,otherCategory2,35.69230769230769,-4.2684205529083165e-17
bookingAgency-highClassAccommodation,competitor,61.666666666666664,7.554479804062888e-17
bookingAgency-highClassAccommodation,sameCategory1,71.22222222222223,-3.084434713813206e-16
bookingAgency-highClassAccommodation,sameCategory2,62.44444444444444,5.474016301971258e-17
bookingAgency-highClassAccommodation,otherCategory1,10.444444444444445,-6.1679056923619804e-18
bookingAgency-highClassAccommodation,otherCategory2,8.88888888888889,-6.165496354200901e-17
waterSport-muscle,competitor,71.375,-2.862293735361732e-17
waterSport-muscle,sameCategory1,58.6875,-2.6020852139652106e-18
waterSport-muscle,sameCategory2,62.5,-3.2526065174565133e-18
waterSport-muscle,otherCategory1,43.6875,1.6046192152785466e-17
waterSport-muscle,otherCategory2,40.3125,-2.3852447794681098e-18
touristInfo-clubbing,competitor,61.45454545454545,8.483389180529761e-17
touristInfo-clubbing,sameCategory1,46.09090909090909,-1.2112509543340332e-16
touristInfo-clubbing,sameCategory2,44.09090909090909,-1.4632786775199818e-16
touristInfo-clubbing,otherCategory1,21.818181818181817,1.2613706638530222e-16
touristInfo-clubbing,otherCategory2,42,-9.447343475703237e-18
cafe-pizza,competitor,63.07142857142857,7.778981180994043e-17
cafe-pizza,sameCategory1,33.357142857142854,9.71445146547012e-17
cafe-pizza,sameCategory2,38.42857142857143,-9.242629912908125e-17
cafe-pizza,otherCategory1,50.714285714285715,-6.629509069687257e-17
cafe-pizza,otherCategory2,49.214285714285715,-6.38362750557001e-17
zoo-reptiles,competitor,84.05882352941177,-2.6849788477115654e-16
zoo-reptiles,sameCategory1,63.411764705882355,-8.018631714506028e-17
zoo-reptiles,sameCategory2,67.58823529411765,-2.285944615788114e-16
zoo-reptiles,otherCategory1,47.294117647058826,-1.0370074896831943e-16
zoo-reptiles,otherCategory2,48.64705882352941,-5.0589192251165547e-17
gym-boxing,competitor,76.58333333333333,3.428834545575928e-16
gym-boxing,sameCategory1,67.16666666666667,-2.24353052050615e-16
gym-boxing,sameCategory2,64.66666666666667,-3.15150466487224e-16
gym-boxing,otherCategory1,35.833333333333336,-1.5785983631388945e-16
gym-boxing,otherCategory2,31.083333333333332,9.943263298955081e-17
furniture-outdoors,competitor,62.642857142857146,-1.3082448071284019e-16
furniture-outdoors,sameCategory1,53.5,1.5864201073832543e-17
furniture-outdoors,sameCategory2,63.07142857142857,6.543160110950019e-17
