submission_id,age,comments,competitor,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,itemOrder,itemQuestion,languages,otherCategory,responseTime,sameCategory,settingName,targetOption,trialNr,trial_type
4574,46,NA,99,Graduated High-school,83921,1670162843704,1670162759783,male,furniture-outdoors,"otherCategory,competitor,itemQuestion,sameCategory",77,English,16,16773,40,furniture,competitor,1,main
4574,46,NA,58,Graduated High-school,83921,1670162843704,1670162759783,male,cafe-pie,"itemQuestion,otherCategory,sameCategory,competitor",59,English,3,13106,100,cafe,sameCategory,2,main
4574,46,NA,100,Graduated High-school,83921,1670162843704,1670162759783,male,music-softrock,"itemQuestion,otherCategory,competitor,sameCategory",100,English,100,9375,100,music,itemQuestion,3,filler
4574,46,NA,79,Graduated High-school,83921,1670162843704,1670162759783,male,electronics-laptop,"sameCategory,otherCategory,competitor,itemQuestion",100,English,8,11195,61,electronics,itemQuestion,4,main
4574,46,NA,43,Graduated High-school,83921,1670162843704,1670162759783,male,plants-green,"otherCategory,competitor,sameCategory,itemQuestion",44,English,99,11934,15,plants,otherCategory,5,main
4575,58,NA,46,Graduated High-school,164376,1670162928918,1670162764542,female,furniture-outdoors,"otherCategory,competitor,sameCategory,itemQuestion",100,English,4,33879,26,furniture,itemQuestion,1,main
4575,58,NA,100,Graduated High-school,164376,1670162928918,1670162764542,female,cafe-pie,"itemQuestion,otherCategory,sameCategory,competitor",85,English,0,18347,75,cafe,competitor,2,main
4575,58,NA,49,Graduated High-school,164376,1670162928918,1670162764542,female,plants-green,"competitor,otherCategory,sameCategory,itemQuestion",51,English,48,16608,100,plants,sameCategory,3,main
4575,58,NA,66,Graduated High-school,164376,1670162928918,1670162764542,female,electronics-laptop,"itemQuestion,competitor,otherCategory,sameCategory",79,English,100,22528,41,electronics,otherCategory,4,main
4575,58,NA,0,Graduated High-school,164376,1670162928918,1670162764542,female,carRental-fun,"otherCategory,sameCategory,competitor,itemQuestion",0,English,0,16544,0,carRental,itemQuestion,5,filler
4580,23,none,6,Graduated College,126289,1670191633538,1670191507249,female,furniture-outdoors,"otherCategory,itemQuestion,sameCategory,competitor",11,english,91,23348,19,furniture,otherCategory,1,main
4580,23,none,0,Graduated College,126289,1670191633538,1670191507249,female,jobCenter-engineer,"sameCategory,itemQuestion,otherCategory,competitor",0,english,0,18403,0,jobCenter,itemQuestion,2,filler
4580,23,none,100,Graduated College,126289,1670191633538,1670191507249,female,electronics-laptop,"sameCategory,itemQuestion,otherCategory,competitor",100,english,81,13736,64,electronics,itemQuestion,3,main
