submission_id,age,comments,competitor,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,itemOrder,languages,otherCategory1,otherCategory2,responseTime,sameCategory1,sameCategory2,settingName,trialNr,trial_type
4553,30,NA,69,Higher degree,55628,1668944752365,1668944696737,male,electronics-laptop,"competitor,otherCategory1,sameCategory1",English,46,NA,7976,53,NA,electronics,1,main
4553,30,NA,41,Higher degree,55628,1668944752365,1668944696737,male,furniture-outdoors,"otherCategory2,competitor,sameCategory2",English,NA,82,8168,NA,33,furniture,2,main
4553,30,NA,57,Higher degree,55628,1668944752365,1668944696737,male,plants-green,"competitor,otherCategory1,sameCategory2",English,50,NA,9015,NA,21,plants,3,main
4553,30,NA,50,Higher degree,55628,1668944752365,1668944696737,male,cafe-pie,"sameCategory1,competitor,otherCategory1",English,84,NA,9552,74,NA,cafe,4,main
4553,30,NA,87,Higher degree,55628,1668944752365,1668944696737,male,jobCenter-engineer,"competitor,sameCategory1,otherCategory1",English,14,NA,7848,41,NA,jobCenter,5,filler
4555,43,NA,46,Graduated College,121535,1668944801489,1668944679954,female,cafe-pie,"otherCategory2,sameCategory2,competitor",English,NA,8,23378,NA,41,cafe,1,main
4555,43,NA,1,Graduated College,121535,1668944801489,1668944679954,female,jobCenter-office,"otherCategory1,competitor,sameCategory1",English,0,NA,16294,0,NA,jobCenter,2,filler
4555,43,NA,46,Graduated College,121535,1668944801489,1668944679954,female,plants-green,"sameCategory2,competitor,otherCategory2",English,NA,54,18690,NA,38,plants,3,main
4555,43,NA,70,Graduated College,121535,1668944801489,1668944679954,female,furniture-outdoors,"otherCategory2,competitor,sameCategory2",English,NA,46,13734,NA,55,furniture,4,main
4555,43,NA,47,Graduated College,121535,1668944801489,1668944679954,female,electronics-laptop,"sameCategory2,competitor,otherCategory1",English,20,NA,23004,NA,42,electronics,5,main
4562,29,NA,66,Higher degree,98945,1668980777195,1668980678250,female,plants-green,"sameCategory1,competitor,otherCategory1",English,32,NA,13943,30,NA,plants,1,main
4562,29,NA,49,Higher degree,98945,1668980777195,1668980678250,female,electronics-laptop,"otherCategory1,competitor,sameCategory2",English,20,NA,10543,NA,21,electronics,2,main
4562,29,NA,14,Higher degree,98945,1668980777195,1668980678250,female,furniture-outdoors,"sameCategory1,competitor,otherCategory2",English,NA,68,10532,14,NA,furniture,3,main
4562,29,NA,100,Higher degree,98945,1668980777195,1668980678250,female,art-drawing,"competitor,otherCategory2,sameCategory2",English,NA,100,9830,NA,100,art,4,filler
4562,29,NA,76,Higher degree,98945,1668980777195,1668980678250,female,cafe-pie,"otherCategory2,competitor,sameCategory2",English,NA,10,10063,NA,62,cafe,5,main
