submission_id,age,itemName,category,answer,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,responseTime,settingName,trialNr,trial_type
80,49,touristInfo-childTheatre,competitor,No I'm sorry there isn't.  There is a circus on though.   Would you like the details?,NA,main,Graduated College,1022613,1667217900813,1667216878200,female,NA,91713,touristInfo,1,main
80,49,electronics-laptop,competitor,No I'm sorry.   We do have a MacBook Air if you would like to look at that.,NA,main,Graduated College,1022613,1667217900813,1667216878200,female,NA,91031,electronics,2,main
80,49,waterSport-motor,fullList,"No I'm sorry.   We have small sail boats, speedboats, pedal boats, water ski equipment mnd kayaks if you bare interested.",NA,main,Graduated College,1022613,1667217900813,1667216878200,female,NA,157419,waterSport,3,main
80,49,disney-action,fullList,"No sorry.  Superman isnt available today...but you can see Spiderman, Ariel, Princess Elsa, Batman and the Hulk.",NA,main,Graduated College,1022613,1667217900813,1667216878200,female,NA,99278,disney,4,main
80,49,zoo-xl,competitor,There isn't a tiger in this zoo...but we can go and see the lion !!,NA,main,Graduated College,1022613,1667217900813,1667216878200,female,NA,73905,zoo,5,main
80,49,carRental-fun,,motorcycle,NA,motorcycle,Graduated College,1022613,1667217900813,1667216878200,female,NA,33685,carRental,6,filler
80,49,gym-yoga,competitor,No we don't do yoga classes. ..we do offer pirates classes though.,NA,main,Graduated College,1022613,1667217900813,1667216878200,female,NA,39642,gymActivities,7,main
80,49,art-painting,,sculpture,NA,sculpture,Graduated College,1022613,1667217900813,1667216878200,female,NA,98031,art,8,filler
80,49,friendsActivities-boardGames,other,No I haven't got clue bit I've got lots of other games...have a look and see which ones you like,NA,main,Graduated College,1022613,1667217900813,1667216878200,female,NA,51138,friendsActivities,9,main
80,49,kidsActivities-crafts,fullList,"No there isn't.  We have got lot of other classes though....swimming , watercolour painting,  sewing, origami and acrobatics !",NA,main,Graduated College,1022613,1667217900813,1667216878200,female,NA,229081,kidsActivities,10,main
80,49,jobCenter-office,,teacher,NA,teacher,Graduated College,1022613,1667217900813,1667216878200,female,NA,14767,jobCenter,11,filler
83,42,petAdoption-hamster,taciturn,We do not have any hamsters at the moment.,NA,main,Higher degree,249186,1667218497844,1667218248658,male,English,31604,petAdoption,1,main
83,42,dutyFree-sweets,taciturn,"We don't sell cookies, sorry.",NA,main,Higher degree,249186,1667218497844,1667218248658,male,English,15927,dutyFree,2,main
83,42,carRental-moving,,motorcycle,NA,motorcycle,Higher degree,249186,1667218497844,1667218248658,male,English,15856,carRental,3,filler
83,42,furniture-outdoors,taciturn,"Sorry, we don't have a deck chair.",NA,main,Higher degree,249186,1667218497844,1667218248658,male,English,40897,furniture,4,main
83,42,electronics-console,taciturn,"We have no PlayStations in stock, sorry.",NA,main,Higher degree,249186,1667218497844,1667218248658,male,English,17022,electronics,5,main
83,42,movie-western,taciturn,We're not showing any Western's at the moment.,NA,main,Higher degree,249186,1667218497844,1667218248658,male,English,20146,movie,6,main
83,42,plants-flowers,taciturn,"We haven't, sorry.",NA,main,Higher degree,249186,1667218497844,1667218248658,male,English,17376,plants,7,main
83,42,touristInfo-clubbing,taciturn,There's no electronic music in town today.,NA,main,Higher degree,249186,1667218497844,1667218248658,male,English,22719,touristInfo,8,main
83,42,music-softrock,,classic,NA,classic,Higher degree,249186,1667218497844,1667218248658,male,English,6616,music,9,filler
83,42,airport-europe-UPDATED,,London,NA,London,Higher degree,249186,1667218497844,1667218248658,male,English,11344,airport,10,filler
83,42,bar-tea,taciturn,"We don't serve sweet tea, sorry.",NA,main,Higher degree,249186,1667218497844,1667218248658,male,English,15024,bar,11,main
90,40,furniture-indoors,other,"Unfortunately not, but we do have other items on display.",NA,main,Graduated College,454429,1667218707469,1667218253040,female,English,69455,furniture,1,main
90,40,music-hardrock,,classic,NA,classic,Graduated College,454429,1667218707469,1667218253040,female,English,17619,music,2,filler
90,40,disney-action,taciturn,Unfortunately Superman isn't available today.,NA,main,Graduated College,454429,1667218707469,1667218253040,female,English,30159,disney,3,main
90,40,carRental-fun,,motorcycle,NA,motorcycle,Graduated College,454429,1667218707469,1667218253040,female,English,17024,carRental,4,filler
90,40,electronics-laptop,competitor,"Unfortunately not, but we do have a MacBook Air.",NA,main,Graduated College,454429,1667218707469,1667218253040,female,English,75698,electronics,5,main
90,40,kidsActivities-crafts,other,"Unfortunately not, but we have other classes you may be interested in.",NA,main,Graduated College,454429,1667218707469,1667218253040,female,English,38318,kidsActivities,6,main
90,40,plants-green,other,"Unfortunately not, but I've got other flowers and plants if you want to take a look?",NA,main,Graduated College,454429,1667218707469,1667218253040,female,English,48092,plants,7,main
90,40,art-painting,,sculpture,NA,sculpture,Graduated College,454429,1667218707469,1667218253040,female,English,17776,art,8,filler
90,40,gym-yoga,competitor,"Unfortunately not, but we do have a plates class if that's of any interest?",NA,main,Graduated College,454429,1667218707469,1667218253040,female,English,35613,gymActivities,9,main
90,40,cafe-pie,competitor,"Unfortunately not, but we do have raspberry pie.",NA,main,Graduated College,454429,1667218707469,1667218253040,female,English,21690,cafe,10,main
90,40,movie-fantasy,other,"Unfortunately not, but there are other options available if you wanted to try something else.",NA,main,Graduated College,454429,1667218707469,1667218253040,female,English,39183,movie,11,main
88,33,dutyFree-sweets,competitor,We sell gingerbread if that's any good.,NA,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,41613,dutyFree,1,main
88,33,furniture-outdoors,taciturn,No sorry we don't have a deck chair,NA,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,17457,furniture,2,main
88,33,plants-flowers,competitor/other,"No sorry, but I have tulips!",NA,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,42053,plants,3,main
88,33,books-fantasy,taciturn,"No sorry we don't sell fantasy novels.
",NA,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,28144,books,4,main
88,33,jobCenter-engineer,,Teacher,NA,teacher,Graduated High-school,351454,1667218614550,1667218263096,female,English,20395,jobCenter,5,filler
88,33,gym-boxing,competitor,We offer kickboxing classes if that's any good?,NA,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,20699,gymActivities,6,main
88,33,waterSport-muscle,competitor,"No sorry we don't rent canoes, but I can offer you a kayak instead if that would work?",NA,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,40791,waterSport,7,main
