itemName,submission_id,answerType,response,centered_response
clothing-beach,4415,competitor,12,-38
clothing-beach,4415,sameCategory1,34,-16
clothing-beach,4415,sameCategory2,21,-29
clothing-beach,4415,otherCategory1,15,-35
clothing-beach,4415,otherCategory2,13,-37
electronics-laptop,4415,competitor,60,10
electronics-laptop,4415,sameCategory1,11,-39
electronics-laptop,4415,sameCategory2,18,-32
electronics-laptop,4415,otherCategory1,13,-37
electronics-laptop,4415,otherCategory2,13,-37
kidsActivities-crafts,4415,competitor,56,6
kidsActivities-crafts,4415,sameCategory1,61,11
kidsActivities-crafts,4415,sameCategory2,58,8
kidsActivities-crafts,4415,otherCategory1,22,-28
kidsActivities-crafts,4415,otherCategory2,22,-28
touristInfo-childTheatre,4415,competitor,65,15
touristInfo-childTheatre,4415,sameCategory1,43,-7
touristInfo-childTheatre,4415,sameCategory2,14,-36
touristInfo-childTheatre,4415,otherCategory1,25,-25
touristInfo-childTheatre,4415,otherCategory2,19,-31
waterSport-motor,4415,competitor,69,19
waterSport-motor,4415,sameCategory1,65,15
waterSport-motor,4415,sameCategory2,65,15
waterSport-motor,4415,otherCategory1,66,16
waterSport-motor,4415,otherCategory2,66,16
plants-green,4415,competitor,60,10
plants-green,4415,sameCategory1,63,13
plants-green,4415,sameCategory2,58,8
plants-green,4415,otherCategory1,43,-7
plants-green,4415,otherCategory2,63,13
cafe-pie,4415,competitor,74,24
cafe-pie,4415,sameCategory1,60,10
cafe-pie,4415,sameCategory2,30,-20
cafe-pie,4415,otherCategory1,0,-50
cafe-pie,4415,otherCategory2,0,-50
zoo-xl,4415,competitor,60,10
zoo-xl,4415,sameCategory1,62,12
zoo-xl,4415,sameCategory2,69,19
zoo-xl,4415,otherCategory1,61,11
zoo-xl,4415,otherCategory2,67,17
clothing-beach,4417,competitor,3,-47
clothing-beach,4417,sameCategory1,1,-49
clothing-beach,4417,sameCategory2,2,-48
clothing-beach,4417,otherCategory1,1,-49
clothing-beach,4417,otherCategory2,1,-49
kidsActivities-crafts,4417,competitor,2,-48
kidsActivities-crafts,4417,sameCategory1,1,-49
kidsActivities-crafts,4417,sameCategory2,3,-47
kidsActivities-crafts,4417,otherCategory1,2,-48
kidsActivities-crafts,4417,otherCategory2,2,-48
dutyFree-smokes,4417,competitor,36,-14
dutyFree-smokes,4417,sameCategory1,2,-48
dutyFree-smokes,4417,sameCategory2,2,-48
dutyFree-smokes,4417,otherCategory1,1,-49
dutyFree-smokes,4417,otherCategory2,1,-49
bar-whiteWine,4417,competitor,35,-15
bar-whiteWine,4417,sameCategory1,3,-47
bar-whiteWine,4417,sameCategory2,1,-49
bar-whiteWine,4417,otherCategory1,2,-48
bar-whiteWine,4417,otherCategory2,2,-48
waterSport-motor,4417,competitor,58,8
waterSport-motor,4417,sameCategory1,1,-49
waterSport-motor,4417,sameCategory2,1,-49
waterSport-motor,4417,otherCategory1,3,-47
waterSport-motor,4417,otherCategory2,2,-48
books-romance,4417,competitor,57,7
books-romance,4417,sameCategory1,39,-11
books-romance,4417,sameCategory2,1,-49
books-romance,4417,otherCategory1,1,-49
books-romance,4417,otherCategory2,2,-48
petAdoption-dogs,4417,competitor,2,-48
petAdoption-dogs,4417,sameCategory1,27,-23
petAdoption-dogs,4417,sameCategory2,1,-49
petAdoption-dogs,4417,otherCategory1,0,-50
petAdoption-dogs,4417,otherCategory2,1,-49
bookingAgency-lowClassAccommodation,4417,competitor,37,-13
bookingAgency-lowClassAccommodation,4417,sameCategory1,26,-24
bookingAgency-lowClassAccommodation,4417,sameCategory2,32,-18
bookingAgency-lowClassAccommodation,4417,otherCategory1,1,-49
bookingAgency-lowClassAccommodation,4417,otherCategory2,1,-49
kidsActivities-sports,4425,competitor,96,46
kidsActivities-sports,4425,sameCategory1,61,11
kidsActivities-sports,4425,sameCategory2,80,30
kidsActivities-sports,4425,otherCategory1,14,-36
kidsActivities-sports,4425,otherCategory2,11,-39
bookingAgency-highClassAccommodation,4425,competitor,90,40
bookingAgency-highClassAccommodation,4425,sameCategory1,79,29
bookingAgency-highClassAccommodation,4425,sameCategory2,86,36
bookingAgency-highClassAccommodation,4425,otherCategory1,0,-50
bookingAgency-highClassAccommodation,4425,otherCategory2,3,-47
waterSport-muscle,4425,competitor,61,11
waterSport-muscle,4425,sameCategory1,30,-20
waterSport-muscle,4425,sameCategory2,83,33
waterSport-muscle,4425,otherCategory1,33,-17
waterSport-muscle,4425,otherCategory2,58,8
touristInfo-clubbing,4425,competitor,99,49
touristInfo-clubbing,4425,sameCategory1,56,6
touristInfo-clubbing,4425,sameCategory2,61,11
touristInfo-clubbing,4425,otherCategory1,21,-29
touristInfo-clubbing,4425,otherCategory2,90,40
cafe-pizza,4425,competitor,57,7
cafe-pizza,4425,sameCategory1,5,-45
cafe-pizza,4425,sameCategory2,22,-28
cafe-pizza,4425,otherCategory1,55,5
cafe-pizza,4425,otherCategory2,53,3
zoo-reptiles,4425,competitor,83,33
zoo-reptiles,4425,sameCategory1,58,8
zoo-reptiles,4425,sameCategory2,60,10
zoo-reptiles,4425,otherCategory1,21,-29
zoo-reptiles,4425,otherCategory2,31,-19
gym-boxing,4425,competitor,80,30
gym-boxing,4425,sameCategory1,99,49
gym-boxing,4425,sameCategory2,94,44
gym-boxing,4425,otherCategory1,61,11
gym-boxing,4425,otherCategory2,4,-46
furniture-outdoors,4425,competitor,61,11
furniture-outdoors,4425,sameCategory1,43,-7
furniture-outdoors,4425,sameCategory2,92,42
furniture-outdoors,4425,otherCategory1,35,-15
furniture-outdoors,4425,otherCategory2,18,-32
kidsActivities-crafts,4454,competitor,82,32
kidsActivities-crafts,4454,sameCategory1,75,25
kidsActivities-crafts,4454,sameCategory2,56,6
kidsActivities-crafts,4454,otherCategory1,41,-9
kidsActivities-crafts,4454,otherCategory2,40,-10
furniture-indoors,4454,competitor,7,-43
furniture-indoors,4454,sameCategory1,5,-45
furniture-indoors,4454,sameCategory2,5,-45
furniture-indoors,4454,otherCategory1,3,-47
furniture-indoors,4454,otherCategory2,0,-50
dutyFree-smokes,4454,competitor,76,26
dutyFree-smokes,4454,sameCategory1,67,17
dutyFree-smokes,4454,sameCategory2,66,16
dutyFree-smokes,4454,otherCategory1,37,-13
dutyFree-smokes,4454,otherCategory2,35,-15
bookingAgency-lowClassAccommodation,4454,competitor,6,-44
bookingAgency-lowClassAccommodation,4454,sameCategory1,80,30
bookingAgency-lowClassAccommodation,4454,sameCategory2,68,18
bookingAgency-lowClassAccommodation,4454,otherCategory1,6,-44
bookingAgency-lowClassAccommodation,4454,otherCategory2,5,-45
clothing-beach,4454,competitor,63,13
clothing-beach,4454,sameCategory1,70,20
clothing-beach,4454,sameCategory2,41,-9
clothing-beach,4454,otherCategory1,33,-17
clothing-beach,4454,otherCategory2,27,-23
petAdoption-dogs,4454,competitor,66,16
petAdoption-dogs,4454,sameCategory1,72,22
petAdoption-dogs,4454,sameCategory2,61,11
petAdoption-dogs,4454,otherCategory1,38,-12
petAdoption-dogs,4454,otherCategory2,32,-18
bar-whiteWine,4454,competitor,65,15
bar-whiteWine,4454,sameCategory1,32,-18
bar-whiteWine,4454,sameCategory2,32,-18
bar-whiteWine,4454,otherCategory1,1,-49
bar-whiteWine,4454,otherCategory2,13,-37
waterSport-motor,4454,competitor,64,14
waterSport-motor,4454,sameCategory1,22,-28
waterSport-motor,4454,sameCategory2,74,24
waterSport-motor,4454,otherCategory1,34,-16
waterSport-motor,4454,otherCategory2,59,9
