prompt,competitor,sameCategory,fullList,other,taciturn,otherCategory,aboslute_diff
aware-ai/bart-squadv2,0.2912457912457913,0.14491582491582491,0.06754208754208754,-0.4921885521885522,-0.014882154882154885,0.003367003367003367,0.16902356902356902
bert-large-uncased-whole-word-masking-finetuned-squad,0.017912457912457935,0.09824915824915825,-0.22579124579124582,-0.058855218855218855,0.17845117845117844,-0.009966329966329967,0.09820426487093155
bigscience/T0_3B,0.4379124579124579,0.09158249158249158,-0.10579124579124578,-0.04552188552188552,-0.20154882154882156,0.003367003367003367,0.1476206509539843
chatGPT,0.2912457912457913,0.008249158249158256,-0.579124579124579,0.09781144781144782,0.17845117845117844,0.003367003367003367,0.19304152637485972
danyaljj/gpt2_question_answering_squad2,0.32457912457912463,0.05158249158249158,-0.17912457912457913,-0.2655218855218855,0.1717845117845118,-0.0632996632996633,0.1759820426487093
deepset/bert-base-cased-squad2,0.31124579124579127,0.11158249158249159,-0.13245791245791244,-0.2321885521885522,-0.0015488215488215495,-0.05663299663299663,0.14094276094276095
deepset/deberta-v3-base-squad2,0.17124579124579126,0.1515824915824916,0.02754208754208755,-0.19885521885521887,-0.15488215488215487,0.003367003367003367,0.11791245791245791
deepset/electra-base-squad2,0.2979124579124579,0.15824915824915825,-0.01245791245791246,-0.09218855218855218,-0.3348821548821549,-0.016632996632996635,0.15205387205387205
deepset/roberta-base-squad2,0.0912457912457913,0.11158249158249159,0.03420875420875421,-0.23885521885521885,0.011784511784511786,-0.0032996632996633002,0.08182940516273851
deepset/tinyroberta-squad2,0.18457912457912462,0.13824915824915826,-0.0057912457912457915,-0.30552188552188553,-0.008215488215488231,-0.0032996632996633002,0.10760942760942763
distilbert-base-cased-distilled-squad,0.15791245791245795,0.11158249158249159,-0.17245791245791248,-0.2655218855218855,0.1717845117845118,-0.0032996632996633002,0.14709315375982043
distilbert-base-uncased-distilled-squad,0.2979124579124579,0.1049158249158249,-0.29245791245791247,-0.2921885521885522,0.17845117845117844,0.003367003367003367,0.19488215488215488
gpt2,0.41791245791245796,0.13824915824915826,-0.06579124579124578,-0.012188552188552193,-0.3215488215488216,0.003367003367003367,0.15984287317620652
MaRiOrOsSi/t5-base-finetuned-question-answering,0.4045791245791246,0.08491582491582492,-0.2057912457912458,-0.02552188552188553,0.15178451178451177,0.003367003367003367,0.145993265993266
valhalla/t5-base-qa-qg-hl,0.2645791245791246,0.07158249158249158,-0.4324579124579125,-0.07218855218855219,0.17845117845117844,-0.009966329966329967,0.17153759820426487
yjernite/bart_eli5,0.45791245791245794,0.1515824915824916,0.06754208754208754,-0.04552188552188552,0.13178451178451178,0.003367003367003367,0.1429517396184063
