prompt,competitor,mostSimilar,sameCategory,fullList,other,taciturn,otherCategory,aboslute_diff
aware-ai/bart-squadv2,0.22115975422427037,-0.08655913978494623,0.24846390168970817,-0.08068356374807988,-0.31033026113671275,0.0033410138248847893,0.004608294930875576,0.13644941847706824
bert-large-uncased-whole-word-masking-finetuned-squad,0.18782642089093704,0.04677419354838709,0.07346390168970812,-0.2806835637480799,-0.11033026113671277,0.07834101382488479,0.004608294930875576,0.11171823568136932
bigscience/T0_3B,0.3294930875576037,0.0967741935483871,0.3317972350230415,-0.5671778166216431,-0.18762911171142543,0.009375496583505477,-0.01263308437946925,0.21926857506072508
chatGPT,0.13800372585547604,-0.009608785175017162,-0.09373467987057554,-0.14256299637219336,0.024953426806549647,0.07834101382488479,0.004608294930875576,0.0702589889765103
danyaljj/gpt2_question_answering_squad2,0.24328619100587956,0.01056729699666295,0.2197282695058001,-0.14476402351819484,-0.34280152550452886,0.035237565549022715,-0.021253774034641664,0.14537694944496155
deepset/bert-base-cased-squad2,0.3044930875576037,0.0717741935483871,0.2901305683563748,-0.26401689708141324,-0.22699692780337943,-0.06332565284178188,-0.1120583717357911,0.1903993855606759
deepset/deberta-v3-base-squad2,0.2461597542242704,-0.019892473118279574,0.16513056835637482,-0.0640168970814132,-0.1936635944700461,-0.12999231950844856,-0.003725038402457757,0.11751152073732721
deepset/electra-base-squad2,0.2544930875576037,0.005107526881720434,0.16513056835637482,-0.09735023041474654,-0.2019969278033794,-0.12999231950844856,0.004608294930875576,0.12266842220759272
deepset/roberta-base-squad2,0.17115975422427038,0.021774193548387097,0.17346390168970816,-0.1806835637480799,-0.16033026113671278,-0.02999231950844855,0.004608294930875576,0.10600175554092606
deepset/tinyroberta-squad2,0.2294930875576037,0.04677419354838709,0.2401305683563748,-0.18901689708141323,-0.26033026113671276,-0.046658986175115214,-0.020391705069124424,0.14754224270353303
distilbert-base-cased-distilled-squad,0.08782642089093703,0.06344086021505377,0.20679723502304148,-0.34735023041474655,-0.07699692780337944,0.07834101382488479,-0.01205837173579109,0.12468729427254774
distilbert-base-uncased-distilled-squad,0.17115975422427038,0.08010752688172043,0.19013056835637482,-0.43068356374807987,-0.08533026113671277,0.07834101382488479,-0.003725038402457757,0.14849681808207155
gpt2,0.3294930875576037,0.05329593267882188,0.3317972350230415,-0.45061109997996396,0.061771188138649555,-0.3303546383490283,0.004608294930875576,0.22313306809399777
MaRiOrOsSi/t5-base-finetuned-question-answering,0.2889525470170632,-0.05187445510026156,0.30477020799601445,-0.48586374392826004,-0.11190683771328935,0.06482750031137127,-0.008905218582637937,0.18815721580698538
valhalla/t5-base-qa-qg-hl,0.23705611276768773,0.054757386825698015,0.2393602602331255,-0.5773922472214692,-0.01992409867172676,0.06153429113580916,0.004608294930875576,0.17066181311234171
yjernite/bart_eli5,0.3294930875576037,0.0967741935483871,0.3317972350230415,0.027649769585253458,-0.804147465437788,0.013824884792626724,0.004608294930875576,0.22975641869651087
