answer,response_option,category,itemName,settingName,context_nr,global_category
"No, but I have a sleeping bag",sleepingbag,competitor,blanket-sleepover,blanket,context1,competitor_c1
"No, but I have a whiteboard marker",marker,competitor,postit-board,postit,context1,competitor_c1
"No, but we have trail mix packages",trailmix,competitor,candy-halloween,candy,context1,competitor_c1
"No, but I have pyjamas or shorts",pyjamas,sameCategory,sweatpants-sleepover,sweatpants,context1,competitor_c1
"No, but I have pyjamas or shorts",shorts,sameCategory,sweatpants-sleepover,sweatpants,context1,competitor_c2
"I can do one better, I have some wet wipes and paper napkins",napkins,sameCategory,handkerchief-sauce,handkerchief,context2,mostSimilar
"I can do one better, I have some wet wipes and paper napkins",wetwipes,sameCategory,handkerchief-sauce,handkerchief,context2,competitor_c2
"Nah sorry, I have a sleeping bag and pillow though?",sleepingbag,sameCategory,blanket-transportation,blanket,context2,competitor_c1
"Nah sorry, I have a sleeping bag and pillow though?",pillow,sameCategory,blanket-transportation,blanket,context2,mostSimilar
"Hi, I don't think so - I've got a sleeping bag though if that's of any use?",sleepingbag,competitor,blanket-sleepover,blanket,context1,competitor_c1
We've got some trail mix packets you can give them if you like?,trailmix,competitor,candy-halloween,candy,context1,competitor_c1
No but I have sticky bookmarks,bookmarks,sameCategory,postit-board,postit,context1,competitor_c2
I have paper napkins,napkins,mostSimilar,handkerchief-injury,handkerchief,context1,mostSimilar
No but I have a sunscreen,sunscreen,competitor,umbrella-summer,umbrella,context1,competitor_c1
No but I have a cake container or a ziplock bag,cakecontainer,sameCategory,box-muffins,box,context1,competitor_c1
"Yes, we have a chocolate bar.",chocolate,mostSimilar,candy-dessert,candy,context2,mostSimilar
No but I have a blanket and a hairdryer you can use,blanket,other,towel-clothes,towel,context2,otherCategory
No but I have a blanket and a hairdryer you can use,hairdryer,other,towel-clothes,towel,context2,competitor_c1
I have some pans you can use,pans,competitor,pot-jam,pot,context2,competitor_c2
"I don't have post-its, sorry, but I've got sticky bookmarks and a notebook if they'd be of any use?",bookmarks,sameCategory,postit-board,postit,context1,competitor_c2
"I don't have post-its, sorry, but I've got sticky bookmarks and a notebook if they'd be of any use?",notebook,sameCategory,postit-board,postit,context1,mostSimilar
Yes of course. I'll give you some spare clothes if you want and can put your wet ones in the dryer. I'll get you a hair dryer too,dryer,sameCategory,towel-hair,towel,context1,competitor_c2
Yes of course. I'll give you some spare clothes if you want and can put your wet ones in the dryer. I'll get you a hair dryer too,hairdryer,sameCategory,towel-hair,towel,context1,competitor_c1
I’m afraid I don’t but I have natural and artificial sweeteners if you would like those,sweetener,competitor,sugar-coffee,sugar,context1,competitor_c1
Im afraid I don’t but I have a sleeping bag if that’s any use,sleepingbag,competitor,blanket-sleepover,blanket,context1,competitor_c1
"No, but I have a hair dryer you could use.",hairdryer,competitor,towel-hair,towel,context1,competitor_c1
"No, but I have some PJs you can borrow",pyjamas,competitor,sweatpants-sleepover,sweatpants,context1,competitor_c1
"Yes, I also have a vacuum if you'd like that.",vacuum,competitor,broom-renovation,broom,context1,competitor_c1
No but I have some cans that would work!,cans,competitor,pot-garden,pot,context1,competitor_c1
I have some old cans and pans that might work?,cans,sameCategory,pot-garden,pot,context1,competitor_c1
I have some old cans and pans that might work?,pans,sameCategory,pot-garden,pot,context1,competitor_c2
"Sorry, no sugar. I have some sweeteners or syrup if that will do?",sweetener,sameCategory,sugar-coffee,sugar,context1,competitor_c1
"Sorry, no sugar. I have some sweeteners or syrup if that will do?",syrup,sameCategory,sugar-coffee,sugar,context1,competitor_c2
"No, but I have a sleeping bag",sleepingbag,competitor,blanket-sleepover,blanket,context1,competitor_c1
You can use the watering can,wateringcan,competitor,bottle-plants,bottle,context1,competitor_c1
"Yeah have a look in the basement, theres a hairdryer you can use too",hairdryer,competitor,towel-hair,towel,context1,competitor_c1
No but I have some ziplock bags you can use,ziplock,sameCategory,box-muffins,box,context1,competitor_c2
"no, sorry, I have a tent but thats not much good!",tent,otherCategory,umbrella-summer,umbrella,context1,otherCategory
I have a rain jacket you can use,rainjacket,competitor,umbrella-rain,umbrella,context2,competitor_c2
I have paper napkins or wet wipes?,napkins,sameCategory,handkerchief-sauce,handkerchief,context2,mostSimilar
I have paper napkins or wet wipes?,wetwipes,sameCategory,handkerchief-sauce,handkerchief,context2,competitor_c2
no i do not have a handerchief but i have some wet wipes and napkins if you need them for the child i also have a band aid too if needed,napkins,sameCategory,handkerchief-injury,handkerchief,context1,mostSimilar
no i do not have a handerchief but i have some wet wipes and napkins if you need them for the child i also have a band aid too if needed,wetwipes,sameCategory,handkerchief-injury,handkerchief,context1,competitor_c2
no i do not have a handerchief but i have some wet wipes and napkins if you need them for the child i also have a band aid too if needed,bandaids,sameCategory,handkerchief-injury,handkerchief,context1,competitor_c1
no i dont have a blanket but i have a sleeping bag and a pillow if you need them,sleepingbag,sameCategory,blanket-sleepover,blanket,context1,competitor_c1
no i dont have a blanket but i have a sleeping bag and a pillow if you need them,pillow,sameCategory,blanket-sleepover,blanket,context1,mostSimilar
no but i have some sunscreen you can use,sunscreen,competitor,umbrella-summer,umbrella,context1,competitor_c1
no but you can borrow my vacuum cleaner and brush i f you want,vacuum,sameCategory,broom-renovation,broom,context1,competitor_c1
no but you can borrow my vacuum cleaner and brush i f you want,handbrush,sameCategory,broom-renovation,broom,context1,mostSimilar
"No i don't have a box, I've got a cake container?",cakecontainer,competitor,box-muffins,box,context1,competitor_c1
"No, you can use the watering can?",wateringcan,competitor,bottle-plants,bottle,context1,competitor_c1
"I've got a hand brush you can use, or hoover?",handbrush,mostSimilar,broom-renovation,broom,context1,mostSimilar
no but i have a carton or a cake container,carton,sameCategory,box-muffins,box,context1,mostSimilar
no but i have a carton or a cake container,cakecontainer,sameCategory,box-muffins,box,context1,competitor_c1
no but i have some sweeteners,sweetener,competitor,sugar-coffee,sugar,context1,competitor_c1
no but i have a sleeping bag and a pillow,sleepingbag,sameCategory,blanket-sleepover,blanket,context1,competitor_c1
no but i have a sleeping bag and a pillow,pillow,sameCategory,blanket-sleepover,blanket,context1,mostSimilar
"We have sticky book marks, yes.",bookmarks,sameCategory,postit-board,postit,context1,competitor_c2
"No, but I have a sleeping bag.",sleepingbag,competitor,blanket-sleepover,blanket,context1,competitor_c1
No but I have some napkins and wet wipes. Would you like a band aid as well?,napkins,sameCategory,handkerchief-injury,handkerchief,context1,mostSimilar
No but I have some napkins and wet wipes. Would you like a band aid as well?,wetwipes,sameCategory,handkerchief-injury,handkerchief,context1,competitor_c2
No but I have some napkins and wet wipes. Would you like a band aid as well?,bandaids,sameCategory,handkerchief-injury,handkerchief,context1,competitor_c1
I don't have a towel I'm sorry but I have paper towels or you could use the dryer or hair dryer.,papertowels,sameCategory,towel-clothes,towel,context2,mostSimilar
I don't have a towel I'm sorry but I have paper towels or you could use the dryer or hair dryer.,dryer,sameCategory,towel-clothes,towel,context2,competitor_c2
I don't have a towel I'm sorry but I have paper towels or you could use the dryer or hair dryer.,hairdryer,sameCategory,towel-clothes,towel,context2,competitor_c1
No I'm sorry but I have some bubble wrap you could use to pack your mirror.,bubblewrap,competitor,blanket-transportation,blanket,context2,competitor_c2
