itemName,settingName,context_nr
blanket-sleepover,blanket,context1
blanket-transportation,blanket,context2
box-muffins,box,context1
box-bbq,box,context2
sugar-coffee,sugar,context1
sugar-baking,sugar,context2
handkerchief-injury,handkerchief,context1
handkerchief-sauce,handkerchief,context2
broom-renovation,broom,context1
broom-snow,broom,context2
sweatpants-sleepover,sweatpants,context1
sweatpants-spill,sweatpants,context2
umbrella-summer,umbrella,context1
umbrella-rain,umbrella,context2
postit-board,postit,context1
postit-reading,postit,context2
pot-garden,pot,context1
pot-jam,pot,context2
towel-hair,towel,context1
towel-clothes,towel,context2
candy-halloween,candy,context1
candy-dessert,candy,context2
bottle-plants,bottle,context1
bottle-water,bottle,context2
