itemName,inputs,predictions,probs,model_version
blanket-sleepover,"['\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:']","I'm sorry, I don't have a spare blanket. However, I do have a sleeping bag and an extra pillow that you can use.",-0.17385665443196552,gpt-4-0613
blanket-sleepover,"['\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:']","I'm sorry, I don't have a spare blanket, but I do have a warm sleeping bag and extra pillow you could borrow.",-0.5245736083929445,gpt-4-0613
blanket-sleepover,"['\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:']","I'm sorry, I don't have a blanket to spare at the moment. However, I do have a sleeping bag and a pillow you can borrow if that can be of help.",-0.47302574941194603,gpt-4-0613
blanket-sleepover,"['\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:']","I'm sorry, I don't have a spare blanket. However, I can lend you a sleeping bag which should keep your guests warm enough during the night.",-0.4687515084648906,gpt-4-0613
blanket-sleepover,"['\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:']","I'm sorry, I don't have a blanket available right now. However, I can lend you a sleeping bag and a pillow. I also have a carpet that the guests could sit on. Would these be helpful to you?",-0.7284232514856955,gpt-4-0613
blanket-transportation,"['\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:']","No, I don't have a spare blanket. But you can use some bubble wrap, a pillow, a sleeping bag, or a carpet to pack your mirror for extra protection during the move.",-0.5380390764052821,gpt-4-0613
blanket-transportation,"['\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:']","No, I don't have a spare blanket, but we could use some bubble wrap, a pillow, a sleeping bag, or a carpet to pack your mirror safely.",-0.3164609851087147,gpt-4-0613
blanket-transportation,"['\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:']","I'm afraid I don't have a spare blanket at the moment, but I do have some bubble wrap, a pillow, a sleeping bag, and a carpet. Any of these could provide some cushioning for your mirror during the move.",-0.3301957770094292,gpt-4-0613
blanket-transportation,"['\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:']","No, I don't have a blanket available, but I have some bubble wrap, a pillow, a sleeping bag, and a carpet you could use to pack and protect your mirror.",-0.374021598046027,gpt-4-0613
blanket-transportation,"['\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:']","No, I do not have a spare blanket, but we can use bubble wrap or a sleeping bag to wrap and pack the mirror safely. We also have a pillow and a carpet for extra cushioning during the move.",-0.8451356614839909,gpt-4-0613
