itemName,inputs,predictions,category,probs,model_version,response_option,global_category
blanket-sleepover,"['\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:']","I'm sorry, I don't have a spare blanket. However, I do have a sleeping bag and an extra pillow that you can use.",sameCategory,-0.173856654431966,gpt-4-0613,"sleepingbag, pillow","competitor_c1, mostSimilar"
blanket-sleepover,"['\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:']","I'm sorry, I don't have a spare blanket, but I do have a warm sleeping bag and extra pillow you could borrow.",sameCategory,-0.524573608392945,gpt-4-0613,"sleepingbag, pillow","competitor_c1, mostSimilar"
blanket-sleepover,"['\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:']","I'm sorry, I don't have a blanket to spare at the moment. However, I do have a sleeping bag and a pillow you can borrow if that can be of help.",sameCategory,-0.473025749411946,gpt-4-0613,"sleepingbag, pillow","competitor_c1, mostSimilar"
blanket-sleepover,"['\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:']","I'm sorry, I don't have a spare blanket. However, I can lend you a sleeping bag which should keep your guests warm enough during the night.",competitor,-0.468751508464891,gpt-4-0613,sleepingbag,competitor_c1
blanket-sleepover,"['\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:']","I'm sorry, I don't have a blanket available right now. However, I can lend you a sleeping bag and a pillow. I also have a carpet that the guests could sit on. Would these be helpful to you?",sameCategory,-0.728423251485696,gpt-4-0613,"sleepingbag, pillow, carpet","competitor_c1, mostSimilar, otherCategory"
blanket-transportation,"['\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:']","No, I don't have a spare blanket. But you can use some bubble wrap, a pillow, a sleeping bag, or a carpet to pack your mirror for extra protection during the move.",fullList,-0.538039076405282,gpt-4-0613,"sleepingbag, pillow, carpet, bubblewrap","competitor_c1, mostSimilar, otherCategory, competitor_c2"
blanket-transportation,"['\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:']","No, I don't have a spare blanket, but we could use some bubble wrap, a pillow, a sleeping bag, or a carpet to pack your mirror safely.",fullList,-0.316460985108715,gpt-4-0613,"sleepingbag, pillow, carpet, bubblewrap","competitor_c1, mostSimilar, otherCategory, competitor_c2"
blanket-transportation,"['\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:']","I'm afraid I don't have a spare blanket at the moment, but I do have some bubble wrap, a pillow, a sleeping bag, and a carpet. Any of these could provide some cushioning for your mirror during the move.",fullList,-0.330195777009429,gpt-4-0613,"sleepingbag, pillow, carpet, bubblewrap","competitor_c1, mostSimilar, otherCategory, competitor_c2"
blanket-transportation,"['\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:']","No, I don't have a blanket available, but I have some bubble wrap, a pillow, a sleeping bag, and a carpet you could use to pack and protect your mirror.",fullList,-0.374021598046027,gpt-4-0613,"sleepingbag, pillow, carpet, bubblewrap","competitor_c1, mostSimilar, otherCategory, competitor_c2"
blanket-transportation,"['\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:', '\n\nYour turn.\nYour roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:']","No, I do not have a spare blanket, but we can use bubble wrap or a sleeping bag to wrap and pack the mirror safely. We also have a pillow and a carpet for extra cushioning during the move.",fullList,-0.845135661483991,gpt-4-0613,"sleepingbag, pillow, carpet, bubblewrap","competitor_c1, mostSimilar, otherCategory, competitor_c2"
