Unnamed: 0,itemName,settingName,context,context_qa,question,taciturn,competitor,sameCategory1,sameCategory2,sameCategory3,otherCategory,fullList_0,fullList_1,fullList_2,fullList_3,fullList_4,fullList_5,model_name,inputs,predictions,category,probs,prompting_strategy
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",meta-llama/Llama-2-70b-chat-hf,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?","

You:  I'm sorry, but we don't have raspberry cake. However, we do have raspberry pie, would you like me to get you a slice?

Customer:  No, I don't want the pie. Do you have anything else with r",competitor,,zero-shot
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",meta-llama/Llama-2-70b-chat-hf,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?","Can you check if you do? I didn't see any slices of cake with raspberries in the display case, but maybe you have some in the back?). Be empathetic, friendly and polite.

  Sure, I understand. I'd be happy to check if",other,,zero-shot
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",meta-llama/Llama-2-70b-chat-hf,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?","
  * No
  * Yes, but not in the way you might expect
  * Yes

What would be the best answer and why?

Extra info: The café might change their menu but it's unlikely that they will have raspberry cake today.
  * The",other,,zero-shot
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",meta-llama/Llama-2-70b-chat-hf,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?"," You say:

A)  Yes, we have raspberry pie.  Would you like to try that?  B)  No, we don't have raspberry cake, but we have raspberry pie.  Would you like to try that?
C)  No",competitor,,zero-shot
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",meta-llama/Llama-2-70b-chat-hf,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?"," How would you answer? Provide the correct response as a server in a café.  Certainly! Our selection of cakes and pastries changes daily, but today we actually have raspberry pie, not cake. It is made fresh in house with sweet raspberries and a light",competitor,,zero-shot
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",meta-llama/Llama-2-70b-chat-hf,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?"," Your response:

I'm sorry, we don't have veggie pizza. If you're looking for a pizza with vegetables, we do have pepperoni pizza which includes peppers and onions. Or you might like our raspberry pie, which contains fresh r",other,,zero-shot
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",meta-llama/Llama-2-70b-chat-hf,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?","

You reply:  I apologize but we don't have a veggie pizza, but we do have a delicious cheese pizza that's made with fresh mozzarella and a crispy crust. Would you like to try that?",competitor,,zero-shot
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",meta-llama/Llama-2-70b-chat-hf,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?","You can: 1. Say ""yes"" . 2. Say ""no"" . 3. Say ""I'll check"" . 4. Say ""I'll check, but I think we're out"" . 5. 
What would you like to do?",other,,zero-shot
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",meta-llama/Llama-2-70b-chat-hf,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?","1. Do you have veggie pizza? The answer is no; we don’t have any veggie pizza today. However, we do have cheese pizza and pepperoni pizza that may be of interest to you. Would you like to try one of those?  2. I",sameCategory,,zero-shot
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",meta-llama/Llama-2-70b-chat-hf,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?"," You :   I'm sorry, we don't have veggie pizza today. Would you like me to list our current pizza selections?",taciturn,,zero-shot
