Unnamed: 0,itemName,settingName,context,context_qa,question,taciturn,competitor,sameCategory1,sameCategory2,sameCategory3,otherCategory,fullList_0,fullList_1,fullList_2,fullList_3,fullList_4,fullList_5,model_name,inputs,predictions,probs,prompting_strategy
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?","I'm sorry, we don't have raspberry cake. However, we do have raspberry pie today. Would you like to try a slice instead?",,cot
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?","I'm sorry, we don't have raspberry cake. However, we do have raspberry pie today. Would you like to try a slice instead?",,cot
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?","I'm sorry, we don't have raspberry cake. However, we do have raspberry pie today. Would you like to try a slice instead?",,cot
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?","I'm sorry, we don't have raspberry cake. However, we do have raspberry pie today. Would you like to try a slice of that instead?",,cot
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?","I'm sorry, we don't have raspberry cake. However, we do have raspberry pie today. Would you like to try a slice?",,cot
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?","I'm sorry, we don't have veggie pizza today. However, we do have other options that might interest you. Instead, we have cheese pizza that could be topped with vegetables upon request, or if you prefer something sweet, we have raspberry pie available.",,cot
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?","I'm sorry, we don't have veggie pizza today. However, we do have other options that might interest you. Instead, we have cheese pizza which is a classic choice, or if you're looking for something more savory, you might enjoy our pepperoni pizza. If you're in the mood for something sweet, we also have raspberry pie available.",,cot
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?","I'm sorry, we don't have veggie pizza today. However, we do have other options that might interest you. If you're looking for a vegetarian dish, you could try our cheese pizza. Unfortunately, we don't have any other vegetable-based pizzas at the moment. I hope this helps, and please let me know if you have any other questions or if there is anything else I can do for you.",,cot
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?","I'm sorry, we don't have veggie pizza today. However, we do have other options that might interest you. Instead of veggie pizza, you could try our cheese pizza, which comes with a tangy tomato sauce and melted mozzarella cheese. If you're looking for something a bit sweeter, our raspberry pie is a delicious option, with a buttery crust and fresh, juicy raspberries. I hope this helps! Is there anything else I can get for you today?",,cot
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?","I'm sorry, we don't have veggie pizza today. However, we do have other options that might interest you. Instead of veggie pizza, you could try our cheese pizza, which is made with fresh mozzarella and tangy tomato sauce. If you're looking for something more savory, our pepperoni pizza is a customer favorite, with plenty of spicy pepperoni and melted cheese. Or, if you prefer something sweet, we have a delicious raspberry pie, made with fresh raspberries and a flaky crust. Let me know if there's anything",,cot
