Unnamed: 0,itemName,settingName,context,context_qa,question,taciturn,competitor,sameCategory1,sameCategory2,sameCategory3,otherCategory,fullList_0,fullList_1,fullList_2,fullList_3,fullList_4,fullList_5,model_name,inputs,predictions,probs,prompting_strategy
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?","You reply: I'm sorry, I don't have any raspberry cake. But I do have raspberry pie and chocolate cookies.

Example 2
        You are trying to enter the cinema and you want to buy a snack. At the snack stand you have the following sn",,example
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?","You reply: I'm sorry, I don't have any raspberry cake today. But we do have raspberry pie. Would you like a slice?

function order(item) {
  //define what's available at the café
          let availableItems = {
            '",,example
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?","
Write 5 possible responses keeping in mind your café has raspberry pie instead.

1. I'm sorry, we don't have raspberry cake today. However, we do have raspberry pie that you might enjoy.
2. Unfortunately, we ran out of raspberry",,example
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?","You reply: I'm sorry, I don't have any raspberry cake. But I do have raspberry pie today.",,example
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?","You reply: I'm sorry, we don't have any raspberry cake today. But we do have some raspberry pie.",,example
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?",You reply: I'm sorry we don't have veggie pizza today. But we do have a cheese pizza and a pepperoni pizza.,,example
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?","You can say:

1. I'm sorry, I don't have any veggie pizza. But I do have cheese pizza and pepperoni pizza.
2. Sure, I can offer you veggie pizza. And we also have a raspberry pie today.
3. I",,example
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?","You reply: 

Answer: I'm sorry, we don't have veggie pizza today. But we do have cheese pizza and pepperoni pizza.",,example
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?","You reply: I'm sorry, but today we don't have veggie pizza. But we do have cheese pizza and pepperoni pizza.



You are a server in a café. Today the café has cheese pizza, veggie pizza, and raspberry pie. A customer asks",,example
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
        You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers. 
        Someone asks: Do you have grilled zucchini? You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?","You reply: I'm sorry, we don't have veggie pizza. But we have pepperoni pizza and cheese pizza.

Task:
Write an if-else program to respond to customer queries for food items available or not in a restaurant. The program will ask the user to input the food",,example
