Unnamed: 0,itemName,settingName,context,context_qa,question,taciturn,competitor,sameCategory1,sameCategory2,sameCategory3,otherCategory,fullList_0,fullList_1,fullList_2,fullList_3,fullList_4,fullList_5,model_name,inputs,predictions,probs,prompting_strategy
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
    You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers.
     Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?","Let's think step by step. This persons question suggests that they are interested in raspberry desserts. You have a raspberry pie, but unfortunately do not have a raspberry cake. The cheese pizza and chocolate cookies are least like raspberry cake. You say: I'm sorry,",,cot
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
    You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers.
     Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?","You think about it, and figure that the customer may like desserts, and might therefore also appreciate chocolate cookies. You say: I'm sorry, I don't have raspberry cake, but we do have chocolate cookies.

Your other turn.
A cook in a bar asks you: Do",,cot
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
    You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers.
     Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?","
Write down the answer you’d give to the customer.

I’m sorry, we don’t have raspberry cake today. However, we do have raspberry pie.",,cot
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
    You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers.
     Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?","You say, I'm sorry, I don't have any raspberry cake. But I do have some raspberry pie.",,cot
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, and cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, and raspberry pie.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
    You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers.
     Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake?","Think step by step. The customer asked for raspberry cake indicates that they might want a dessert and they like raspberries. Raspberry pie is is most similar to raspberry cake. You respond: I'm sorry, I don't have any raspberry cake. But I do",,cot
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
    You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers.
     Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?","
Let's think step by step. Only cheese pizza will satisfy the customer's desire. Pepperoni has a different topping. So you reply: Yes, we do have cheese pizza.",,cot
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
    You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers.
     Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?","


I'm sorry, I don't have any veggie pizza. But I do have some cheese pizza.",,cot
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
    You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers.
     Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?","Let's reason step by step. The customer is asking for veggie pizza which suggests that they most likely prefer to eat vegetarian food. From the available goods we offer, cheese pizza is a potential fit since it didn't contain meat. However, you notice that customer's facial expression seems to expect",,cot
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
    You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers.
     Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?","
Lets reason step by step. The customer asked for veggie pizza, which is definitely a vegetarian pizza. Unlike cheese and pepperoni pizza, veggie pizza has vegetables. Veggie pizza is closest to the pizza which have vegetables. Raspberry pie does not have vegetables so not relevant to ve",,cot
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, and raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, and cheese pizza.",mistralai/Mixtral-8x7B-Instruct-v0.1,"
    You are hosting a barbecue party. You are standing behind the barbecue. You have the following goods to offer: pork sausages, vegan burgers, grilled potatoes and beef burgers.
     Someone asks: Do you have grilled zucchini? Let's think step by step. You reason about what that person most likely wanted to have. That they asked for grilled zucchini suggests that they might want vegetarian food. From the items you have pork sausages and beef burgers are least likely to satisfy the persons desires. Vegan burgers and grilled potatoes come much closer. Grilled potatoes are most similar to grilled zucchini. You reply: I'm sorry, I don't have any grilled zucchini. But I do have some grilled potatoes.

Your turn.
You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza?","How do you answer?.

You look at the pizzas you have available: cheese pizza and pepperoni pizza have no vegetables on them. From the items you have, the raspberry pie is not a viable option since it is not a pizza. Since you are a good and understanding server, you realize",,cot
