,itemName,settingName,context,context_qa,question,taciturn,competitor,sameCategory1,sameCategory2,sameCategory3,otherCategory,fullList_0,fullList_1,fullList_2,fullList_3,fullList_4,fullList_5
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","No, but we have raspberry pie.","No, but we have raspberry pie and chocolate cookies.","No, but we have chocolate cookies.","No, but we have chocolate cookies and raspberry pie.","No, but we have cheese pizza.","No, but we have raspberry pie, chocolate cookies, and cheese pizza.","No, but we have raspberry pie, cheese pizza, and chocolate cookies.","No, but we have chocolate cookies, raspberry pie, and cheese pizza.","No, but we have chocolate cookies, cheese pizza, and raspberry pie.","No, but we have cheese pizza, raspberry pie, and chocolate cookies.","No, but we have cheese pizza, chocolate cookies, and raspberry pie."
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","No, but we have cheese pizza.","No, but we have cheese pizza and pepperoni pizza.","No, but we have pepperoni pizza.","No, but we have pepperoni pizza and cheese pizza.","No, but we have raspberry pie.","No, but we have cheese pizza, pepperoni pizza, and raspberry pie.","No, but we have cheese pizza, raspberry pie, and pepperoni pizza.","No, but we have pepperoni pizza, cheese pizza, and raspberry pie.","No, but we have pepperoni pizza, raspberry pie, and cheese pizza.","No, but we have raspberry pie, cheese pizza, and pepperoni pizza.","No, but we have raspberry pie, pepperoni pizza, and cheese pizza."
2,bar-whiteWine,bar,"You are a bartender in a hotel bar. The bar serves only  Chardonnay, craft beer, and iced coffee. Late at night a woman walks in. She looks gloomy. She says: Do you have Sauvignon Blanc? You reply:","You are a bartender in a hotel bar. The bar serves only  Chardonnay, craft beer, and iced coffee. Late at night a woman walks in. She looks gloomy. She says:",Do you have Sauvignon Blanc?,"I'm sorry, we don't have Sauvignon Blanc.","No, but we have Chardonnay.","No, but we have Chardonnay and craft beer.","No, but we have craft beer.","No, but we have craft beer and Chardonnay.","No, but we have iced coffee.","No, but we have Chardonnay, craft beer, and iced coffee.","No, but we have Chardonnay, iced coffee, and craft beer.","No, but we have craft beer, Chardonnay, and iced coffee.","No, but we have craft beer, iced coffee, and Chardonnay.","No, but we have iced coffee, Chardonnay, and craft beer.","No, but we have iced coffee, craft beer, and Chardonnay."
3,bar-tea,bar,"You are a bartender in a hotel bar. The bar serves only iced coffee, soda, and Chardonnay. A woman walks in. She says: Do you have iced tea? You reply:","You are a bartender in a hotel bar. The bar serves only iced coffee, soda, and Chardonnay. A woman walks in. She says:",Do you have iced tea?,"I'm sorry, we don't have iced tea.","No, but we have iced coffee.","No, but we have iced coffee and soda.","No, but we have soda.","No, but we have soda and iced coffee.","No, but we have Chardonnay.","No, but we have iced coffee, soda, and Chardonnay.","No, but we have iced coffee, Chardonnay, and soda.","No, but we have soda, iced coffee, and Chardonnay.","No, but we have soda, Chardonnay, and iced coffee.","No, but we have Chardonnay, iced coffee, and soda.","No, but we have Chardonnay, soda, and iced coffee."
4,touristInfo-childTheatre,touristInfo,"You are working in a tourist office in a medium-sized tourist town. Today the following events are happening:  a circus show, a trade fare, and a club event with a hip hop DJ. A young woman walks in and asks: Is there a theatre performance for children today? You reply:","You are working in a tourist office in a medium-sized tourist town. Today the following events are happening:  a circus show, a trade fare, and a club event with a hip hop DJ. A young woman walks in and asks:",Is there a theatre performance for children today?,"I'm sorry, we don't have a theatre performance for children.","No, but we have a circus show.","No, but we have a circus show and a trade fare.","No, but we have a trade fare.","No, but we have a trade fare and a circus show.","No, but we have a club event with a hip hop DJ.","No, but we have a circus show, a trade fare, and a club event with a hip hop DJ.","No, but we have a circus show, a club event with a hip hop DJ, and a trade fare.","No, but we have a trade fare, a circus show, and a club event with a hip hop DJ.","No, but we have a trade fare, a club event with a hip hop DJ, and a circus show.","No, but we have a club event with a hip hop DJ, a circus show, and a trade fare.","No, but we have a club event with a hip hop DJ, a trade fare, and a circus show."
5,touristInfo-clubbing,touristInfo,"You are working in a tourist office in a medium-sized tourist town. Today the following events are happening:  a club event with a hip hop DJ, live jazz music, and a circus show. A young woman walks in and asks: Is there a club event with electronic music today? You reply:","You are working in a tourist office in a medium-sized tourist town. Today the following events are happening:  a club event with a hip hop DJ, live jazz music, and a circus show. A young woman walks in and asks:",Is there a club event with electronic music today?,"I'm sorry, we don't have a club event with electronic music.","No, but we have a club event with a hip hop DJ.","No, but we have a club event with a hip hop DJ and live jazz music.","No, but we have live jazz music.","No, but we have live jazz music and a club event with a hip hop DJ.","No, but we have a circus show.","No, but we have a club event with a hip hop DJ, live jazz music, and a circus show.","No, but we have a club event with a hip hop DJ, a circus show, and live jazz music.","No, but we have live jazz music, a club event with a hip hop DJ, and a circus show.","No, but we have live jazz music, a circus show, and a club event with a hip hop DJ.","No, but we have a circus show, a club event with a hip hop DJ, and live jazz music.","No, but we have a circus show, live jazz music, and a club event with a hip hop DJ."
6,bookingAgency-lowClassAccommodation,bookingAgency,"You work in a travel booking agency in a medium-sized tourist town. The following types of accommodation are still available for tomorrow night: a room in a cheap bed-and-breakfast, a room in a budget hotel, and a suite in a four-star hotel. A young man walks in and asks: Is there a bed in the youth hostel available for tomorrow night? You reply:","You work in a travel booking agency in a medium-sized tourist town. The following types of accommodation are still available for tomorrow night: a room in a cheap bed-and-breakfast, a room in a budget hotel, and a suite in a four-star hotel. A young man walks in and asks:",Is there a bed in the youth hostel available for tomorrow night?,"I'm sorry, we don't have a bed in the youth hostel.","No, but we have a room in a cheap bed-and-breakfast.","No, but we have a room in a cheap bed-and-breakfast and a room in a budget hotel.","No, but we have a room in a budget hotel.","No, but we have a room in a budget hotel and a room in a cheap bed-and-breakfast.","No, but we have a suite in a four-star hotel.","No, but we have a room in a cheap bed-and-breakfast, a room in a budget hotel, and a suite in a four-star hotel.","No, but we have a room in a cheap bed-and-breakfast, a suite in a four-star hotel, and a room in a budget hotel.","No, but we have a room in a budget hotel, a room in a cheap bed-and-breakfast, and a suite in a four-star hotel.","No, but we have a room in a budget hotel, a suite in a four-star hotel, and a room in a cheap bed-and-breakfast.","No, but we have a suite in a four-star hotel, a room in a cheap bed-and-breakfast, and a room in a budget hotel.","No, but we have a suite in a four-star hotel, a room in a budget hotel, and a room in a cheap bed-and-breakfast."
7,bookingAgency-highClassAccommodation,bookingAgency,"You work in a travel booking agency in a medium-sized tourist town. The following types of accommodation are still available for tomorrow night:  a suite in a four-star hotel, an expensive apartment close to the city, and a room in a cheap bed-and-breakfast. An older man walks in and asks:  Is a single room in a five-star hotel available for tomorrow night? You reply:","You work in a travel booking agency in a medium-sized tourist town. The following types of accommodation are still available for tomorrow night:  a suite in a four-star hotel, an expensive apartment close to the city, and a room in a cheap bed-and-breakfast. An older man walks in and asks: ",Is a single room in a five-star hotel available for tomorrow night?,"I'm sorry, we don't have a single room in a five-star hotel.","No, but we have a suite in a four-star hotel.","No, but we have a suite in a four-star hotel and an expensive apartment close to the city.","No, but we have an expensive apartment close to the city.","No, but we have an expensive apartment close to the city and a suite in a four-star hotel.","No, but we have a room in a cheap bed-and-breakfast.","No, but we have a suite in a four-star hotel, an expensive apartment close to the city, and a room in a cheap bed-and-breakfast.","No, but we have a suite in a four-star hotel, a room in a cheap bed-and-breakfast, and an expensive apartment close to the city.","No, but we have an expensive apartment close to the city, a suite in a four-star hotel, and a room in a cheap bed-and-breakfast.","No, but we have an expensive apartment close to the city, a room in a cheap bed-and-breakfast, and a suite in a four-star hotel.","No, but we have a room in a cheap bed-and-breakfast, a suite in a four-star hotel, and an expensive apartment close to the city.","No, but we have a room in a cheap bed-and-breakfast, an expensive apartment close to the city, and a suite in a four-star hotel."
8,waterSport-motor,waterSport,"You work in a water sports rental agency in a popular tourist region with a large lake for different types of water sports. The agency offers  water ski equipment, rubber dinghies, and kayaks. A customer calls on the phone and asks: Do you rent jet skis? You reply:","You work in a water sports rental agency in a popular tourist region with a large lake for different types of water sports. The agency offers  water ski equipment, rubber dinghies, and kayaks. A customer calls on the phone and asks:",Do you rent jet skis?,"I'm sorry, we don't have jet skis.","No, but we have water ski equipment.","No, but we have water ski equipment and rubber dinghies.","No, but we have rubber dinghies.","No, but we have rubber dinghies and water ski equipment.","No, but we have kayaks.","No, but we have water ski equipment, rubber dinghies, and kayaks.","No, but we have water ski equipment, kayaks, and rubber dinghies.","No, but we have rubber dinghies, water ski equipment, and kayaks.","No, but we have rubber dinghies, kayaks, and water ski equipment.","No, but we have kayaks, water ski equipment, and rubber dinghies.","No, but we have kayaks, rubber dinghies, and water ski equipment."
9,waterSport-muscle,waterSport,"You work in a water sports rental agency in a popular tourist region with a large lake for different types of water sports. The agency offers  kayaks, pedal boats, and water ski equipment. A customer calls on the phone and asks: Do you rent canoes? You reply:","You work in a water sports rental agency in a popular tourist region with a large lake for different types of water sports. The agency offers  kayaks, pedal boats, and water ski equipment. A customer calls on the phone and asks:",Do you rent canoes?,"I'm sorry, we don't have canoes.","No, but we have kayaks.","No, but we have kayaks and pedal boats.","No, but we have pedal boats.","No, but we have pedal boats and kayaks.","No, but we have water ski equipment.","No, but we have kayaks, pedal boats, and water ski equipment.","No, but we have kayaks, water ski equipment, and pedal boats.","No, but we have pedal boats, kayaks, and water ski equipment.","No, but we have pedal boats, water ski equipment, and kayaks.","No, but we have water ski equipment, kayaks, and pedal boats.","No, but we have water ski equipment, pedal boats, and kayaks."
