itemName,settingName,vignette_start,vignette_continuation,question,priorElicitation_context,priorElicitation_question,taciturn,answer_template,itemQuestion,competitor,mostSimilar,sameCategory,otherCategory,competitor_context1,competitor_context2,correct_response
chair-repair,chair,You have a new neighbor who will be moving into the apartment on the ground floor of your house. You see your new neighbor cleaning his windows before moving in. When walking out of the building you see him trying to reach the top of the window that he is cleaning. In your apartment you have,"\n\nWhen your neighbor sees you in front of the house, they greet you and ask:",Do you have a chair?,Suppose someone wants,had,"I'm sorry, I don't have a chair.",I have *.,a chair, a ladder,a leather recliner,a stool,a broom, a ladder,a stool,main
chair-party,chair,"Your neighbor is hosting a dinner party with a lot of guests at their apartment on the ground floor. The house does not have an elevator. You are also invited. As more guests arrive, your neighbor runs out of seating options. In your apartment on the third floor of the house you have",\n\nYour neighbour asks:,Do you have a chair?,Suppose someone wants,had,"I'm sorry, I don't have a chair.",I have *.,a chair,a stool,a leather recliner,a ladder,a broom, a ladder,a stool,main
blanket-sleepover,blanket,Your friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time:,\n\nYour friend asks:,Do you have a blanket?,Suppose someone wants,had,"I'm sorry, I don’t have a blanket.",I have *.,a blanket,a sleeping bag,a pillow,some bubble wrap,a carpet,a sleeping bag,some bubble wrap,main
blanket-transportation,blanket,Your roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time:,\n\nShe asks:,Do you have a blanket?,Suppose someone wants,had,"I'm sorry, I don’t have a blanket.",I have *.,a blanket,some bubble wrap,a pillow,a sleeping bag,a carpet,a sleeping bag,some bubble wrap,main
box-muffins,box,"You and some friends got together to bake muffins and cookies. Your friends want to take home some of the pastries, but forgot to bring containers. In your pantry, you have",\n\nAs your friends want to head out they ask:,Do you have a box?,Suppose someone wants,had,"I'm sorry, I don’t have a box.",I have *.,a box,a cake container,a carton,a ziplock bag,a tote bag,a cake container,a ziplock bag,main
box-bbq,box,"You and some friends had a BBQ and there are quite a lot of leftovers. Your friends want to take home some of the food, but forgot to bring containers. In your pantry, you have",\n\nAs your friends want to head out they ask:,Do you have a box?,Suppose someone wants,had,"I'm sorry, I don’t have a box.",I have *.,a box,a ziplock bag,a carton,a cake container,a tote bag,a cake container,a ziplock bag,main
sugar-coffee,sugar,"You have been very busy over the last days and didn’t have time to get groceries. Therefore, you got take out for lunch and ran into a friend at the restaurant where you were getting food. You invited them to eat at your house. You just finished eating and you are making coffee now. In your pantry you have",\n\nYour friend asks:,Do you have sugar?,Suppose someone wants,had,"I'm sorry, I don't have sugar.",I have *.,sugar,sweetener tablets,honey,agave syrup,salt,sweetener tablets,agave syrup,main
sugar-baking,sugar,"It’s Christmas time. You and your family just finished baking a big batch of cookies. You made a large batch, so you ran out of most of the ingredients. Your neighbor is also baking and seems to have run out of some ingredients during the process. In your pantry you have",\n\nShe rings at your door and asks:,Do you have sugar?,Suppose someone wants,had,"I'm sorry, I don't have sugar.",I have *.,sugar,agave syrup,honey,sweetener tablets,salt,sweetener tablets,agave syrup,main
handkerchief-injury,handkerchief,"You are taking a walk in the park. As you walk by a playground, you see an elderly person comforting a child who just fell down and hurt their knee. In your backpack, you happen to have",\n\nThe elderly person walks towards you and asks:,Do you have a handkerchief?,Suppose someone wants,had,"I’m sorry, I don’t have a handkerchief.",I have *.,a handkerchief,some band aids,paper napkins,some wet wipes,a cell phone,some band aids,some wet wipes,main
handkerchief-sauce,handkerchief,"You are traveling by train. Your elderly seat neighbor just started eating a sandwich and spilled some sauce on their sweater. In your backpack, you happen to have",\n\n Your seat neighbor turns to you and asks:,Do you have a handkerchief?,Suppose someone wants,had,"I’m sorry, I don’t have a handkerchief.",I have *.,a handkerchief,some wet wipes,paper napkins,some band aids,a cell phone,some band aids,some wet wipes,main
broom-renovation,broom,"Your neighbors recently finished renovating their apartment. They are now cleaning up after renovation. You heard that they don’t have any household supplies yet since they plan to move in next week. In your apartment, you have",\n\nOne of your neighbors rings your bell and asks:,Do you have a broom?,Suppose someone wants,had,"I’m sorry, I don't have a broom.",I have *.,a broom,a vacuum cleaner,a hand brush,a shovel,a lamp,a vacuum cleaner,a shovel,main
broom-snow,broom,"You live in a suburban house and share the driveway to your house with your neighbors. You take turns taking care of the road. You just woke up, looked out of the window and noticed that it snowed over the night, which is not very common in your area. This week it’s your neighbors’ turn to take care of the driveway. In your house, you happen to have",\n\nYour neighbor rings at your door and asks:,Do you have a broom?,Suppose someone wants,had,"I’m sorry, I don't have a broom.",I have *.,a broom,a shovel,a hand brush,a vacuum cleaner,a lamp,a vacuum cleaner,a shovel,main
sweatpants-sleepover,sweatpants,"You have some friends over at your place. They evening got long and it is already way past midnight. Therefore, one guy who lives far away decided to stay over. In you closet you have ","\n\nOnce other guests left, he wants to change for the night and asks:",Do you have sweatpants?,Suppose someone wants,had,"I’m sorry, I don't have sweatpants.",I have *.,sweatpants,pyjamas,a pair of leggings,shorts,towels,pyjamas,shorts,main
sweatpants-spill,sweatpants,"It is a hot summer weekend. You have some friends over at your garden for a dinner party. One guest just spilled coffee on his pants. In your closet, you have",\n\nHe asks:,Do you have sweatpants?,Suppose someone wants,had,"I’m sorry, I don't have sweatpants.",I have *.,sweatpants,shorts,a pair of leggings,pyjamas,towels,pyjamas,shorts,main
umbrella-summer,umbrella,"Your house has a beautiful garden and a pool. During the summer you often have friends over in the garden. Today is a really hot day, and a friend wants to lie outside in the garden but doesn’t want to get sunburned. In your storage closet in the house, you have",\n\nThe friend asks:,Do you have an umbrella?,Suppose someone wants,had,"I’m sorry, I don't have an umbrella.",I have *.,an umbrella,sunscreen,a plastic bike cover,a rain jacket,a tent,sunscreen,a rain jacket,main
umbrella-rain,umbrella,"You just had coffee with some friends at your house. Now they want to take off but a heavy rain just started. In your storage closet in the house, you have",\n\nYour friend asks:,Do you have an umbrella?,Suppose someone wants,had,"I’m sorry, I don't have an umbrella.",I have *.,an umbrella,a rain jacket,a plastic bike cover,sunscreen,a tent,sunscreen,a rain jacket,main
postit-board,postit,"Your colleague is organizing a workshop at the office. They want to collect ideas for a new product with the team and gather everyone's thoughts on at the office whiteboard. In your office, you have",\n\nYour colleague asks:,Do you have post-its?,Suppose someone wants,had,"I'm sorry, I don’t have any post-its.",I have *.,post-its,whiteboard marker,a notebook,sticky bookmarks,an eraser,whiteboard marker,sticky bookmarks,main
