itemName,settingName,vignette_start,vignette_continuation,question,priorElicitation_context,priorElicitation_question,taciturn,answer_template,itemQuestion,competitor,sameCategory1,sameCategory2,otherCategory1,otherCategory2,correct_response
chair-repair,chair,You have a new neighbor who will be moving into the apartment on the ground floor of your house. You see your new neighbor cleaning his windows before moving in. When walking out of the building you see him trying to reach the top of the window that he is cleaning. In your apartment you have,"\n\nWhen your neighbor sees you in front of the house, they greet you and ask:",Do you have a chair?,Suppose someone wants,had,"I'm sorry, I don't have a chair.",I have *.,a chair, a ladder,a stool,a drum throne,a leather recliner,a broom,main
chair-party,chair,"Your neighbor is hosting a dinner party with a lot of guests at their apartment on the ground floor. The house does not have an elevator. You are also invited. As more guests arrive, your neighbor runs out of seating options. In your apartment on the third floor of the house you have",\n\nYour neighbour asks:,Do you have a chair?,Suppose someone wants,had,"I'm sorry, I don't have a chair.",I have *.,a chair,a drum throne,a stool,a leather recliner,a ladder,a broom,main
blanket-sleepover,blanket,Your friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time:,\n\nYour friend asks:,Do you have a blanket?,Suppose someone wants,had,"I'm sorry, I don’t have a blanket.",I have *.,a blanket,a sleeping bag,a pillow,a carpet,some bubble wrap,some rags,main
blanket-transportation,blanket,Your roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time:,\n\nShe asks:,Do you have a blanket?,Suppose someone wants,had,"I'm sorry, I don’t have a blanket.",I have *.,a blanket,some rags,a carpet,a pillow,some bubble wrap,a sleeping bag,main
box-muffins,box,"You and some friends got together to bake muffins and cookies. Your friends want to take home some of the pastries, but forgot to bring containers. In your pantry, you have",\n\nAs your friends want to head out they ask:,Do you have a box?,Suppose someone wants,had,"I'm sorry, I don’t have a box.",I have *.,a box,a cake container,a carton,a basket,a ziplock bag,a tote bag,main
box-bbq,box,"You and some friends had a BBQ and there are quite a lot of leftovers. Your friends want to take home some of the food, but forgot to bring containers. In your pantry, you have",\n\nAs your friends want to head out they ask:,Do you have a box?,Suppose someone wants,had,"I'm sorry, I don’t have a box.",I have *.,a box,a ziplock bag,a carton,a basket,a cake container,a tote bag,main
sugar-coffee,sugar,"You have been very busy over the last days and didn’t have time to get groceries. Therefore, you got take out for lunch and ran into a friend at the restaurant where you were getting food. You invited them to eat at your house. You just finished eating and you are making coffee now. In your pantry you have",\n\nYour friend asks:,Do you have sugar?,Suppose someone wants,had,"I'm sorry, I don't have sugar.",I have *.,sugar,sweetener tablets,agave sirup,honey,candy bars,salt,main
sugar-baking,sugar,"It’s Christmas time. You and your family just finished baking a big batch of cookies. You made a large batch, so you ran out of most of the ingredients. Your neighbor is also baking and seems to have run out of some ingredients during the process. In your pantry you have",\n\nShe rings at your door and asks:,Do you have sugar?,Suppose someone wants,had,"I'm sorry, I don't have sugar.",I have *.,sugar,agave sirup,honey,sweetener tablets,candy bars,salt,main
handkerchief-injury,handkerchief,"You are taking a walk in the park. As you walk by a playground, you see an elderly person comforting a child who just fell down and hurt their knee. In your backpack, you happen to have",\n\nThe elderly person walks towards you and asks:,Do you have a handkerchief?,Suppose someone wants,had,"I’m sorry, I don’t have a handkerchief.",I have *.,a handkerchief,some band aids,paper napkins,some wet wipes,hand sanitiser,a cell phone,main
handkerchief-sauce,handkerchief,"You are traveling by train. Your elderly seat neighbor just started eating a sandwich and spilled some sauce on their sweater. In your backpack, you happen to have",\n\n Your seat neighbor turns to you and asks:,Do you have a handkerchief?,Suppose someone wants,had,"I’m sorry, I don’t have a handkerchief.",I have *.,a handkerchief,some wet wipes,paper napkins,some band aids,hand sanitiser,a cell phone,main
