,itemName,settingName,context,taciturn,competitor,sameCategory,otherCategory,fullList
0,cafe-pie,cafe,"You are a server in a café. Today the café hasraspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, chocolate cookies."
1,cafe-pizza,cafe,"You are a server in a café. Today the café has cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, cheese pizza."
2,bar-whiteWine,bar,"You are a bartender in a hotel bar. The bar serves only Chardonnay, craft beer, and iced coffee. Late at night a woman walks in. She looks gloomy. She says: Do you have Sauvignon Blanc? You reply:","I'm sorry, we don't have Sauvignon Blanc.","I'm sorry, we don't have Sauvignon Blanc. We have Chardonnay.","I'm sorry, we don't have Sauvignon Blanc. We have Chardonnay and craft beer.","I'm sorry, we don't have Sauvignon Blanc. We have iced coffee.","I'm sorry, we don't have Sauvignon Blanc. We have Chardonnay, craft beer, iced coffee."
3,bar-tea,bar,"You are a bartender in a hotel bar. The bar serves onlyiced coffee, soda, and Chardonnay. A woman walks in. She says: Do you have iced tea? You reply:","I'm sorry, we don't have iced tea.","I'm sorry, we don't have iced tea. We have iced coffee.","I'm sorry, we don't have iced tea. We have iced coffee and soda.","I'm sorry, we don't have iced tea. We have Chardonnay.","I'm sorry, we don't have iced tea. We have iced coffee, Chardonnay, soda."
4,touristInfo-childTheatre,touristInfo,"You are working in a tourist office in a medium-sized tourist town. Today the following events are happening: a circus show, a trade fare, and a club event with a hip hop DJ. A young woman walks in and asks: Is there a theatre performance for children today? You reply:","I'm sorry, we don't have a theatre performance for children.","I'm sorry, we don't have a theatre performance for children. We have a circus show.","I'm sorry, we don't have a theatre performance for children. We have a circus show and a trade fare.","I'm sorry, we don't have a theatre performance for children. We have a club event with a hip hop DJ.","I'm sorry, we don't have a theatre performance for children. We have a club event with a hip hop DJ, a circus show, a trade fare."
5,touristInfo-clubbing,touristInfo,"You are working in a tourist office in a medium-sized tourist town. Today the following events are happening: a club event with a hip hop DJ, live jazz music, and a circus show. A young woman walks in and asks: Is there a club event with electronic music today? You reply:","I'm sorry, we don't have a club event with electronic music.","I'm sorry, we don't have a club event with electronic music. We have a club event with a hip hop DJ.","I'm sorry, we don't have a club event with electronic music. We have a club event with a hip hop DJ and live jazz music.","I'm sorry, we don't have a club event with electronic music. We have a circus show.","I'm sorry, we don't have a club event with electronic music. We have a club event with a hip hop DJ, live jazz music, a circus show."
6,bookingAgency-lowClassAccommodation,bookingAgency,"You work in a travel booking agency in a medium-sized tourist town. The following types of accommodation are still available for tomorrow night:a room in a cheap bed-and-breakfast, a room in a budget hotel, and a suite in a four-star hotel. A young man walks in and asks: Is there a bed in the youth hostel available for tomorrow night? You reply:","I'm sorry, we don't have a bed in the youth hostel.","I'm sorry, we don't have a bed in the youth hostel. We have a room in a cheap bed-and-breakfast.","I'm sorry, we don't have a bed in the youth hostel. We have a room in a cheap bed-and-breakfast and a room in a budget hotel.","I'm sorry, we don't have a bed in the youth hostel. We have a suite in a four-star hotel.","I'm sorry, we don't have a bed in the youth hostel. We have a room in a budget hotel, a room in a cheap bed-and-breakfast, a suite in a four-star hotel."
7,bookingAgency-highClassAccommodation,bookingAgency,"You work in a travel booking agency in a medium-sized tourist town. The following types of accommodation are still available for tomorrow night: a suite in a four-star hotel, an expensive apartment close to the city, and a room in a cheap bed-and-breakfast. An older man walks in and asks:  Is a single room in a five-star hotel available for tomorrow night? You reply:","I'm sorry, we don't have a single room in a five-star hotel.","I'm sorry, we don't have a single room in a five-star hotel. We have a suite in a four-star hotel.","I'm sorry, we don't have a single room in a five-star hotel. We have a suite in a four-star hotel and an expensive apartment close to the city.","I'm sorry, we don't have a single room in a five-star hotel. We have a room in a cheap bed-and-breakfast.","I'm sorry, we don't have a single room in a five-star hotel. We have a room in a cheap bed-and-breakfast, a suite in a four-star hotel, an expensive apartment close to the city."
8,waterSport-motor,waterSport,"You work in a water sports rental agency in a popular tourist region with a large lake for different types of water sports. The agency offers water ski equipment, rubber dinghies, and kayaks. A customer calls on the phone and asks: Do you rent jet skis? You reply:","I'm sorry, we don't have jet skis.","I'm sorry, we don't have jet skis. We have water ski equipment.","I'm sorry, we don't have jet skis. We have water ski equipment and rubber dinghies.","I'm sorry, we don't have jet skis. We have kayaks.","I'm sorry, we don't have jet skis. We have water ski equipment, rubber dinghies, kayaks."
9,waterSport-muscle,waterSport,"You work in a water sports rental agency in a popular tourist region with a large lake for different types of water sports. The agency offers kayaks, pedal boats, and water ski equipment. A customer calls on the phone and asks: Do you rent canoes? You reply:","I'm sorry, we don't have canoes.","I'm sorry, we don't have canoes. We have kayaks.","I'm sorry, we don't have canoes. We have kayaks and pedal boats.","I'm sorry, we don't have canoes. We have water ski equipment.","I'm sorry, we don't have canoes. We have kayaks, water ski equipment, pedal boats."
