,itemName,settingName,context,context_qa,question,taciturn,competitor,sameCategory1,sameCategory2,sameCategory3,otherCategory,fullList_0,fullList_1,fullList_2,fullList_3,fullList_4,fullList_5
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks:  Do you have raspberry cake? You reply:","You are a server in a café. Today the café has raspberry pie, chocolate cookies, and cheese pizza. A customer asks: ",Do you have raspberry cake?,"I'm sorry, we don't have raspberry cake.","I'm sorry, we don't have raspberry cake. We have raspberry pie.","I'm sorry, we don't have raspberry cake. We have raspberry pie and chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies and raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, chocolate cookies, cheese pizza.","I'm sorry, we don't have raspberry cake. We have raspberry pie, cheese pizza, chocolate cookies.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, raspberry pie, cheese pizza.","I'm sorry, we don't have raspberry cake. We have chocolate cookies, cheese pizza, raspberry pie.","I'm sorry, we don't have raspberry cake. We have cheese pizza, raspberry pie, chocolate cookies.","I'm sorry, we don't have raspberry cake. We have cheese pizza, chocolate cookies, raspberry pie."
1,cafe-pizza,cafe,"You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks:  Do you have veggie pizza? You reply:","You are a server in a café. Today the café has  cheese pizza, pepperoni pizza, and raspberry pie. A customer asks: ",Do you have veggie pizza?,"I'm sorry, we don't have veggie pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza.","I'm sorry, we don't have veggie pizza. We have cheese pizza and pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza and cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, pepperoni pizza, raspberry pie.","I'm sorry, we don't have veggie pizza. We have cheese pizza, raspberry pie, pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, cheese pizza, raspberry pie.","I'm sorry, we don't have veggie pizza. We have pepperoni pizza, raspberry pie, cheese pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, cheese pizza, pepperoni pizza.","I'm sorry, we don't have veggie pizza. We have raspberry pie, pepperoni pizza, cheese pizza."
2,bar-whiteWine,bar,"You are a bartender in a hotel bar. The bar serves only  Chardonnay, craft beer, and iced coffee. Late at night a woman walks in. She looks gloomy. She says: Do you have Sauvignon Blanc? You reply:","You are a bartender in a hotel bar. The bar serves only  Chardonnay, craft beer, and iced coffee. Late at night a woman walks in. She looks gloomy. She says:",Do you have Sauvignon Blanc?,"I'm sorry, we don't have Sauvignon Blanc.","I'm sorry, we don't have Sauvignon Blanc. We have Chardonnay.","I'm sorry, we don't have Sauvignon Blanc. We have Chardonnay and craft beer.","I'm sorry, we don't have Sauvignon Blanc. We have craft beer.","I'm sorry, we don't have Sauvignon Blanc. We have craft beer and Chardonnay.","I'm sorry, we don't have Sauvignon Blanc. We have iced coffee.","I'm sorry, we don't have Sauvignon Blanc. We have Chardonnay, craft beer, iced coffee.","I'm sorry, we don't have Sauvignon Blanc. We have Chardonnay, iced coffee, craft beer.","I'm sorry, we don't have Sauvignon Blanc. We have craft beer, Chardonnay, iced coffee.","I'm sorry, we don't have Sauvignon Blanc. We have craft beer, iced coffee, Chardonnay.","I'm sorry, we don't have Sauvignon Blanc. We have iced coffee, Chardonnay, craft beer.","I'm sorry, we don't have Sauvignon Blanc. We have iced coffee, craft beer, Chardonnay."
3,bar-tea,bar,"You are a bartender in a hotel bar. The bar serves only iced coffee, soda, and Chardonnay. A woman walks in. She says: Do you have iced tea? You reply:","You are a bartender in a hotel bar. The bar serves only iced coffee, soda, and Chardonnay. A woman walks in. She says:",Do you have iced tea?,"I'm sorry, we don't have iced tea.","I'm sorry, we don't have iced tea. We have iced coffee.","I'm sorry, we don't have iced tea. We have iced coffee and soda.","I'm sorry, we don't have iced tea. We have soda.","I'm sorry, we don't have iced tea. We have soda and iced coffee.","I'm sorry, we don't have iced tea. We have Chardonnay.","I'm sorry, we don't have iced tea. We have iced coffee, soda, Chardonnay.","I'm sorry, we don't have iced tea. We have iced coffee, Chardonnay, soda.","I'm sorry, we don't have iced tea. We have soda, iced coffee, Chardonnay.","I'm sorry, we don't have iced tea. We have soda, Chardonnay, iced coffee.","I'm sorry, we don't have iced tea. We have Chardonnay, iced coffee, soda.","I'm sorry, we don't have iced tea. We have Chardonnay, soda, iced coffee."
4,touristInfo-childTheatre,touristInfo,"You are working in a tourist office in a medium-sized tourist town. Today the following events are happening:  a circus show, a trade fare, and a club event with a hip hop DJ. A young woman walks in and asks: Is there a theatre performance for children today? You reply:","You are working in a tourist office in a medium-sized tourist town. Today the following events are happening:  a circus show, a trade fare, and a club event with a hip hop DJ. A young woman walks in and asks:",Is there a theatre performance for children today?,"I'm sorry, we don't have a theatre performance for children.","I'm sorry, we don't have a theatre performance for children. We have a circus show.","I'm sorry, we don't have a theatre performance for children. We have a circus show and a trade fare.","I'm sorry, we don't have a theatre performance for children. We have a trade fare.","I'm sorry, we don't have a theatre performance for children. We have a trade fare and a circus show.","I'm sorry, we don't have a theatre performance for children. We have a club event with a hip hop DJ.","I'm sorry, we don't have a theatre performance for children. We have a circus show, a trade fare, a club event with a hip hop DJ.","I'm sorry, we don't have a theatre performance for children. We have a circus show, a club event with a hip hop DJ, a trade fare.","I'm sorry, we don't have a theatre performance for children. We have a trade fare, a circus show, a club event with a hip hop DJ.","I'm sorry, we don't have a theatre performance for children. We have a trade fare, a club event with a hip hop DJ, a circus show.","I'm sorry, we don't have a theatre performance for children. We have a club event with a hip hop DJ, a circus show, a trade fare.","I'm sorry, we don't have a theatre performance for children. We have a club event with a hip hop DJ, a trade fare, a circus show."
5,touristInfo-clubbing,touristInfo,"You are working in a tourist office in a medium-sized tourist town. Today the following events are happening:  a club event with a hip hop DJ, live jazz music, and a circus show. A young woman walks in and asks: Is there a club event with electronic music today? You reply:","You are working in a tourist office in a medium-sized tourist town. Today the following events are happening:  a club event with a hip hop DJ, live jazz music, and a circus show. A young woman walks in and asks:",Is there a club event with electronic music today?,"I'm sorry, we don't have a club event with electronic music.","I'm sorry, we don't have a club event with electronic music. We have a club event with a hip hop DJ.","I'm sorry, we don't have a club event with electronic music. We have a club event with a hip hop DJ and live jazz music.","I'm sorry, we don't have a club event with electronic music. We have live jazz music.","I'm sorry, we don't have a club event with electronic music. We have live jazz music and a club event with a hip hop DJ.","I'm sorry, we don't have a club event with electronic music. We have a circus show.","I'm sorry, we don't have a club event with electronic music. We have a club event with a hip hop DJ, live jazz music, a circus show.","I'm sorry, we don't have a club event with electronic music. We have a club event with a hip hop DJ, a circus show, live jazz music.","I'm sorry, we don't have a club event with electronic music. We have live jazz music, a club event with a hip hop DJ, a circus show.","I'm sorry, we don't have a club event with electronic music. We have live jazz music, a circus show, a club event with a hip hop DJ.","I'm sorry, we don't have a club event with electronic music. We have a circus show, a club event with a hip hop DJ, live jazz music.","I'm sorry, we don't have a club event with electronic music. We have a circus show, live jazz music, a club event with a hip hop DJ."
6,bookingAgency-lowClassAccommodation,bookingAgency,"You work in a travel booking agency in a medium-sized tourist town. The following types of accommodation are still available for tomorrow night: a room in a cheap bed-and-breakfast, a room in a budget hotel, and a suite in a four-star hotel. A young man walks in and asks: Is there a bed in the youth hostel available for tomorrow night? You reply:","You work in a travel booking agency in a medium-sized tourist town. The following types of accommodation are still available for tomorrow night: a room in a cheap bed-and-breakfast, a room in a budget hotel, and a suite in a four-star hotel. A young man walks in and asks:",Is there a bed in the youth hostel available for tomorrow night?,"I'm sorry, we don't have a bed in the youth hostel.","I'm sorry, we don't have a bed in the youth hostel. We have a room in a cheap bed-and-breakfast.","I'm sorry, we don't have a bed in the youth hostel. We have a room in a cheap bed-and-breakfast and a room in a budget hotel.","I'm sorry, we don't have a bed in the youth hostel. We have a room in a budget hotel.","I'm sorry, we don't have a bed in the youth hostel. We have a room in a budget hotel and a room in a cheap bed-and-breakfast.","I'm sorry, we don't have a bed in the youth hostel. We have a suite in a four-star hotel.","I'm sorry, we don't have a bed in the youth hostel. We have a room in a cheap bed-and-breakfast, a room in a budget hotel, a suite in a four-star hotel.","I'm sorry, we don't have a bed in the youth hostel. We have a room in a cheap bed-and-breakfast, a suite in a four-star hotel, a room in a budget hotel.","I'm sorry, we don't have a bed in the youth hostel. We have a room in a budget hotel, a room in a cheap bed-and-breakfast, a suite in a four-star hotel.","I'm sorry, we don't have a bed in the youth hostel. We have a room in a budget hotel, a suite in a four-star hotel, a room in a cheap bed-and-breakfast.","I'm sorry, we don't have a bed in the youth hostel. We have a suite in a four-star hotel, a room in a cheap bed-and-breakfast, a room in a budget hotel.","I'm sorry, we don't have a bed in the youth hostel. We have a suite in a four-star hotel, a room in a budget hotel, a room in a cheap bed-and-breakfast."
7,bookingAgency-highClassAccommodation,bookingAgency,"You work in a travel booking agency in a medium-sized tourist town. The following types of accommodation are still available for tomorrow night:  a suite in a four-star hotel, an expensive apartment close to the city, and a room in a cheap bed-and-breakfast. An older man walks in and asks:  Is a single room in a five-star hotel available for tomorrow night? You reply:","You work in a travel booking agency in a medium-sized tourist town. The following types of accommodation are still available for tomorrow night:  a suite in a four-star hotel, an expensive apartment close to the city, and a room in a cheap bed-and-breakfast. An older man walks in and asks: ",Is a single room in a five-star hotel available for tomorrow night?,"I'm sorry, we don't have a single room in a five-star hotel.","I'm sorry, we don't have a single room in a five-star hotel. We have a suite in a four-star hotel.","I'm sorry, we don't have a single room in a five-star hotel. We have a suite in a four-star hotel and an expensive apartment close to the city.","I'm sorry, we don't have a single room in a five-star hotel. We have an expensive apartment close to the city.","I'm sorry, we don't have a single room in a five-star hotel. We have an expensive apartment close to the city and a suite in a four-star hotel.","I'm sorry, we don't have a single room in a five-star hotel. We have a room in a cheap bed-and-breakfast.","I'm sorry, we don't have a single room in a five-star hotel. We have a suite in a four-star hotel, an expensive apartment close to the city, a room in a cheap bed-and-breakfast.","I'm sorry, we don't have a single room in a five-star hotel. We have a suite in a four-star hotel, a room in a cheap bed-and-breakfast, an expensive apartment close to the city.","I'm sorry, we don't have a single room in a five-star hotel. We have an expensive apartment close to the city, a suite in a four-star hotel, a room in a cheap bed-and-breakfast.","I'm sorry, we don't have a single room in a five-star hotel. We have an expensive apartment close to the city, a room in a cheap bed-and-breakfast, a suite in a four-star hotel.","I'm sorry, we don't have a single room in a five-star hotel. We have a room in a cheap bed-and-breakfast, a suite in a four-star hotel, an expensive apartment close to the city.","I'm sorry, we don't have a single room in a five-star hotel. We have a room in a cheap bed-and-breakfast, an expensive apartment close to the city, a suite in a four-star hotel."
8,waterSport-motor,waterSport,"You work in a water sports rental agency in a popular tourist region with a large lake for different types of water sports. The agency offers  water ski equipment, rubber dinghies, and kayaks. A customer calls on the phone and asks: Do you rent jet skis? You reply:","You work in a water sports rental agency in a popular tourist region with a large lake for different types of water sports. The agency offers  water ski equipment, rubber dinghies, and kayaks. A customer calls on the phone and asks:",Do you rent jet skis?,"I'm sorry, we don't have jet skis.","I'm sorry, we don't have jet skis. We have water ski equipment.","I'm sorry, we don't have jet skis. We have water ski equipment and rubber dinghies.","I'm sorry, we don't have jet skis. We have rubber dinghies.","I'm sorry, we don't have jet skis. We have rubber dinghies and water ski equipment.","I'm sorry, we don't have jet skis. We have kayaks.","I'm sorry, we don't have jet skis. We have water ski equipment, rubber dinghies, kayaks.","I'm sorry, we don't have jet skis. We have water ski equipment, kayaks, rubber dinghies.","I'm sorry, we don't have jet skis. We have rubber dinghies, water ski equipment, kayaks.","I'm sorry, we don't have jet skis. We have rubber dinghies, kayaks, water ski equipment.","I'm sorry, we don't have jet skis. We have kayaks, water ski equipment, rubber dinghies.","I'm sorry, we don't have jet skis. We have kayaks, rubber dinghies, water ski equipment."
9,waterSport-muscle,waterSport,"You work in a water sports rental agency in a popular tourist region with a large lake for different types of water sports. The agency offers  kayaks, pedal boats, and water ski equipment. A customer calls on the phone and asks: Do you rent canoes? You reply:","You work in a water sports rental agency in a popular tourist region with a large lake for different types of water sports. The agency offers  kayaks, pedal boats, and water ski equipment. A customer calls on the phone and asks:",Do you rent canoes?,"I'm sorry, we don't have canoes.","I'm sorry, we don't have canoes. We have kayaks.","I'm sorry, we don't have canoes. We have kayaks and pedal boats.","I'm sorry, we don't have canoes. We have pedal boats.","I'm sorry, we don't have canoes. We have pedal boats and kayaks.","I'm sorry, we don't have canoes. We have water ski equipment.","I'm sorry, we don't have canoes. We have kayaks, pedal boats, water ski equipment.","I'm sorry, we don't have canoes. We have kayaks, water ski equipment, pedal boats.","I'm sorry, we don't have canoes. We have pedal boats, kayaks, water ski equipment.","I'm sorry, we don't have canoes. We have pedal boats, water ski equipment, kayaks.","I'm sorry, we don't have canoes. We have water ski equipment, kayaks, pedal boats.","I'm sorry, we don't have canoes. We have water ski equipment, pedal boats, kayaks."
