itemName;settingName;vignette_start;vignette_continuation;question;priorElicitation_context;priorElicitation_question;taciturn;answer_template;itemQuestion;competitor;sameCategory1;sameCategory2;otherCategory1;otherCategory2;correct_response
cafe-pie;cafe;You are a server in a café. Today the café has;\n\nA customer asks: ;Do you have raspberry cake?;Suppose someone wants;got;I'm sorry, we don't have raspberry cake today.;We have *.;raspberry cake;raspberry pie;lemon cake;chocolate cookies;pasta al forno;cheese pizza;main
cafe-pizza;cafe;You are a server in a café. Today the café has ;\n\nA customer asks: ;Do you have veggie pizza?;Suppose you learn someone wants to have;had;I'm sorry, we don't have veggie pizza today.;We have *.;veggie pizza;cheese pizza;pepperoni pizza;lasagna;raspberry pie;chocolate cookies;main
bar-whiteWine;bar;You are a bartender in a hotel bar. The bar serves only ;\n\nLate at night a woman walks in. She looks gloomy. She says:;Do you have Sauvignon Blanc?;Suppose you learn someone wants to have;had;I'm sorry, we don't have Sauvignon Blanc today.;We have *.;sauvignon blanc;Chardonnay;whiskey;craft beer;homemade lemonade;coffee;main
bar-tea;bar;You are a bartender in a hotel bar. The bar serves only;\n\nA woman walks in. She says:;Do you have sweet tea?;Suppose you learn someone wants to have;had;I'm sorry, we don't have sweet tea today.;We have *.;sweet tea;homemade lemonade;iced coffee;soda;craft beer;Chardonnay;main
movie-fantasy;movie;You work at the ticket counter of a small movie theatre. You are currently playing ;\n\nA customer asks:;Are you playing a fantasy movie today?;Suppose you learn someone wants to watch;watched;I'm sorry, we aren’t playing a fantasy movie today.;We have *.;a fantasy movie;an animated film;a comedy;a musical;a horror movie;an adventure movie;main
movie-western;movie;You work at the ticket counter of a small movie theatre. You are currently playing ;\n\nA customer asks:;Are you playing a Western movie today?;Suppose you learn someone wants to watch;watched;I'm sorry, we aren’t playing a Western movie today.;We have *.;a Western movie;an adventure movie;a science fiction movie;a film noir;a cartoon;an animated film;main
touristInfo-childTheatre;touristInfo;You are working in a tourist office in a medium-sized tourist town. Today the following events are happening: ;\n\nA young woman walks in and asks:;Is there a theatre performance for children today?;Suppose you learn wants to go to;went to;I'm sorry, there is no theatre performance for children today.;There is *.;a theatre performance for children;a circus show;a flea market;a trade fare;a rock concert;a club event with a hip hop DJ;main
touristInfo-clubbing;touristInfo;You are working in a tourist office in a medium-sized tourist town. Today the following events are happening: ;\n\nA young woman walks in and asks:;Is there a club event with electronic music today?;Suppose you learn wants to go to;went to;I'm sorry, there is no club event with electronic music today.;There is *.;a club event with electronic music;a club event with a hip hop DJ;a rock concert;live jazz music;a circus show;a street dance performance;main
bookingAgency-lowClassAccommodation;bookingAgency;You work in a travel booking agency in a medium-sized tourist town. The following types of accommodation are still available for tomorrow night:;\n\nA young man walks in and asks:;Is there a bed in the youth hostel available for tomorrow night?;Suppose you learn a tourist calling a booking agency wants to book;want to book;I'm sorry, there are no more beds available in the youth hostel available for tomorrow night.;There is *.;a bed in the youth hostel;a couch surfing place;a room in a budget hotel;a room in a cheap bed-and-breakfast;a suite in a four-star hotel;an expensive lodge close to the city;main
bookingAgency-highClassAccommodation;bookingAgency;You work in a travel booking agency in a medium-sized tourist town. The following types of accommodation are still available for tomorrow night: ;\n\nAn older man walks in and asks: ;Is a single room in a five-star hotel available for tomorrow night?;Suppose you learn a tourist calling a booking agency wants to book;want to book;I'm sorry, there is no single room in a five-star hotel available for tomorrow night.;There is *.;a single room in a five-star hotel;a suite in a four-star hotel;a penthouse apartment;an expensive lodge close to the city;a place for couch surfing;a room in a cheap bed-and-breakfast;main
waterSport-motor;waterSport;You work in a water sports rental agency in a popular tourist region with a large lake for different types of water sports. The agency offers ;\n\nA customer calls on the phone and asks:;Do you rent jet skis?;Suppose you learn a customer at a water sports rental agency of a popular resort with a large lake wants to rent;want to rent;I'm sorry, we don’t rent jet skis.;We rent *.;jet skis;water ski equipment;small sailboats;speedboats;pedal boats;kayaks;main
waterSport-muscle;waterSport;You work in a water sports rental agency in a popular tourist region with a large lake for different types of water sports. The agency offers ;\n\nA customer calls on the phone and asks:;Do you rent canoes?;Suppose you learn a customer at a water sports rental agency of a popular resort with a large lake wants to rent;want to rent;I'm sorry, we don’t rent canoes.;We rent *.;canoes;kayaks;pedal boats;rowing boats;speedboats;water ski equipment;main
dutyFree-smokes;dutyFree;You are a flight attendant on an old-fashioned international flight. You are selling duty-free items to passengers. You currently have the following items on offer:;\n\nAs you walk by, a passenger asks:;Do you sell cigars?;Suppose you learn a passenger on an old-fashioned international flight would like to purchase;like to purchase;I'm sorry, we don’t sell cigars.;We sell *.;cigars;cigarettes;gin;whiskey;Swiss chocolate;gingerbread;main
dutyFree-sweets;dutyFree;You are a flight attendant on an old-fashioned international flight. You are selling duty free items to passengers. You currently have the following items on offer: ;\n\nAs you walk by, a passenger asks:;Do you sell cookies?;Suppose you learn a passenger on an old-fashioned international flight would like to purchase;like to purchase;I'm sorry, we don’t sell cookies.;We sell *.;cookies;gingerbread;waffles;Swiss chocolate;cigarettes;whiskey;main
clothing-beach;clothing;You work at a small designer clothing store. You currently have the following items in stock: ;\n\nA customer comes in and asks:;Do you have any Hawaiian shirts?;Suppose you learn a customer at a small designer shop is looking for;be looking for;I'm sorry, we don’t have any Hawaiian shirts.;We have *.;Hawaiian shirts;t-shirts;shorts;tank tops;sweatshirts;hoodies;main
clothing-winter;clothing;You work at a small designer clothing store. You currently have the following items in stock: ;\n\nA customer comes in and asks:;Do you have any wool sweaters?;Suppose you learn a customer at a small designer shop is looking for;be looking for;I'm sorry, we don’t have any wool sweaters.;We have *.;wool sweaters;sweatshirts;hoodies;winter coats;t-shirts;shorts;main
petAdoption-dogs;petAdoption;You work at an adoption center for rescued animals. You currently have the following animals at the center:;\n\nA family comes in and asks:;Do you have any Dalmatians?;Suppose you learn a family visiting a pet shelter is interested in adopting;be interested in adopting;I'm sorry, we don’t have any Dalmatians.;We have *.;Dalmatians;chocolate labs;golden retrievers;terriers;Siamese cats;gerbils;main
petAdoption-hamster;petAdoption;You work at an adoption center for rescued animals. You currently have the following animals at the center:;\n\nA family comes in and asks:;Do you have any hamsters?;Suppose someone wants to have;had;I'm sorry, we don’t have any hamsters.;We have *.;hamsters;gerbils;mice;ferrets;chocolate labs;Great Danes;main
furniture-indoors;furniture;You work at a vintage furniture store. You currently have on display ;\n\nA family walks in and asks:;Do you have an armchair?;Suppose you learn a family walked into a vintage furniture store and is looking for;look for;I’m sorry, we don’t have an armchair in stock.;We have *.;an armchair;a sofa;a bean bag chair;a rocking chair;a wooden bench;a porch swing;main
furniture-outdoors;furniture;You work at a vintage furniture store. You currently have on display ;\n\nA family walks in and asks:;Do you have a deck chair?;Suppose someone wants;got;I’m sorry, we don’t have a deck chair in stock.;We have *.;a deck chair;a porch swing;a wicker-back cane chair;a wooden bench;a sofa;a leather recliner;main
books-romance;books;You work at a bookshop in a small town. You currently have;\n\nA student walks in and asks:;Do you have a book of love poems?;Suppose you learn a person at a book store is looking for;be interested in;I’m sorry, we don’t have love poems.;We sell *.;love poems;books of French love letters;romance novels;historical dramas;thrillers;science fiction novels;main
books-fantasy;books;You work at a bookshop in a small town. You currently have;\n\nA student walks in and asks:;Do you sell fantasy novels?;Suppose you learn a person at a book store is looking for;be interested in;I’m sorry, we don’t sell fantasy novels.;We sell *.;fantasy novels;science fiction novels;adventure novels;mysteries;books of French love letters;romance novels;main
electronics-laptop;electronics;You work at a second hand electronics store. You currently have;\n\nA young man walks in and asks:;Do you have a MacBook Pro?;Suppose someone wants;got;I’m sorry, we don’t have a MacBook Pro.;We have *.;a MacBook Pro;a MacBook Air;a desktop computer;a Dell laptop;a TV;an Xbox;main
electronics-console;electronics;You work at a second hand electronics store. There are currently;\n\nA young man walks in and asks:;Do you have a PlayStation?;Suppose you learn a customer walks into a second hand electronics store and is looking for;be looking for;I’m sorry, we don’t have a PlayStation.;We have *.;a PlayStation;an Xbox;a Wii;a Nintendo Switch;a desktop computer;a MacBook Air;main
gym-yoga;gymActivities;You work at the reception desk of a gym. The gym currently offers;\n\nA woman walks in and asks:;Do you offer yoga classes?;Suppose you learn a customer at a gym would like to participate in;like to participate in;I’m sorry, we don’t have yoga.;We have *.;yoga classes;a pilates class;an aerobics class;zumba classes;kickboxing;karate classes;main
gym-boxing;gymActivities;You work at the reception desk of a gym. The gym currently offers;\n\nA young guy walks in and asks:;Do you offer boxing classes?;Suppose you learn a customer at a gym would like to participate in;like to participate in;I’m sorry, we don’t have boxing.;We have *.;boxing classes;kickboxing classes;judo;karate classes;aerobics;pilates;main
kidsActivities-crafts;kidsActivities;You are a teacher at a summer camp. Today a new group of children arrived. They need to sign up for different activities. The camp offers ;\n\nA kid walks up to you and asks:;Is there a pottery class?;Suppose you learn a kid who just arrived at a summer camp wants to sign up for;like to sign up for;I'm sorry, there is no pottery class.;There is *.;a pottery class;a watercolor painting class;a sewing class;an origami class;a swimming class;an acrobatics class;main
kidsActivities-sports;kidsActivities;You are a teacher at a summer camp. Today a new group of children arrived. They need to sign up for different activities. The camp offers ;\n\nA kid walks up to you and asks:;Is there a cheerleading class?;Suppose you learn a kid who just arrived at a summer camp wants to sign up for;like to sign up for;I'm sorry, there is no cheerleading class.;There is *.;a cheerleading class;an acrobatics class;a karate class;a dancing class;a watercolor painting class;a pottery class;main
friendsActivities-boardGames;friendsActivities;You are hosting a casual Saturday night get together with your friends at your house. For activities, you prepared;\n\nYour friends arrive and ask you:;Do you have the game Clue?;Suppose you learn that some friends who will come over to your house want to spend the evening with;want to spend the evening with;I'm sorry, I don't have the game Clue.;I have *.;the game Clue;Monopoly;Twister;a poker set;PlayStation games;some movies;main
friendsActivities-videoEntertainment;friendsActivities;You are hosting a casual Saturday night get together with your friends at your house. For activities, you prepared;\n\nYour friends arrive and ask you:;Do you have Xbox games?;Suppose you learn that some friends who will come over to your house want to spend the evening with;want to spend the evening with;I'm sorry, I don't have Xbox games.;I have *.;Xbox games;PlayStation games;Wii games;some movies;a poker set;Monopoly;main
disney-action;disney;You work at the entrance gate for a theme park. Today visitors can see;\n\nA group of kids walks in and asks:;Can we see Superman?;Suppose you learn that kids visiting a theme park want to see;want to see;I’m sorry, Superman is not here today.;* is here.;Superman;Spiderman;Hulk;Batman;Ariel;Princess Elsa;main
disney-princess;disney;You work at the entrance gate for a theme park. Today visitors can see;\n\nA group of kids walks in and asks:;Can we see Moana?;Suppose you learn that kids visiting a theme park want to see;want to see;I’m sorry, Moana is not here today.;* is here.;Moana;Princess Elsa;Ariel;Cinderella;Spiderman;Batman;main
