itemName,settingName,vignette,taciturn,competitor,sameCategory,otherCategory,fullList,itemQuestion,itemCompetitor,itemSameCat1,itemSameCat2,itemOtherCat1,itemOtherCat2,weakItem?
cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, pasta al forno, lemon cake, chocolate cookies and cheese sandwich.\n\nA customer asks: ""Do you have raspberry cake?""\n\nYou reply:","""I'm sorry, we don't have raspberry cake today.","""I'm sorry, we don't have raspberry cake today. We have raspberry pie.""","""I'm sorry, we don't have raspberry cake today. We have raspberry pie, lemon cake, and chocolate cookies.""","""I'm sorry, we don't have raspberry cake today. We have pasta al forno and cheese sandwich.""","""I'm sorry, we don't have raspberry cake today. We have raspberry pie, pasta al forno, lemon cake, chocolate cookies, and cheese sandwich.""",raspberry cake,raspberry pie,lemon cake,chocolate cookies,pasta al forno,cheese sandwich,0
cafe-pasta-UPDATED,cafe,"You are a server in a café. Today the café has lasagna, pizza fungi, raspberry pie, chocolate cookies and pepperoni pizza.\n\nA customer asks: ""Do you have pizza margarita?”\n\nYou reply:","""I'm sorry, we don't have pizza margarita today.""","""I'm sorry, we don't have pizza margarita today. We have pepperoni pizza.”","""I'm sorry, we don't have pizza margarita. We have lasagna, pizza fungi, and pepperoni pizza.”","""I'm sorry, we don't have pizza margarita today. We have raspberry pie and chocolate cookies.""","""I'm sorry, we don't have pizza margarita today. We have pizza fungi, pepperoni pizza, raspberry pie, chocolate cookies, and lasagna.”",pizza margarita,pepperoni pizza,pizza fungi,lasagna,raspberry pie,chocolate cookies,0
bar-whiteWine,bar,"You are a bar tender in a hotel bar. The bar serves only whiskey, craft beer, Chardonnay, homemade lemonade and coffee today.\n\nLate at night a woman walks in. She looks gloomy. She says: ""Do you have Sauvignon Blanc?”\n\nYou reply:","""I'm sorry, we don't have Sauvignon Blanc today.""","""I'm sorry, we don't have Sauvignon Blanc today. We have Chardonnay.”","""I'm sorry, we don't have Sauvignon Blanc today. We have whiskey, craft beer, and Chardonnay.”","""I'm sorry, we don't have Sauvignon Blanc today. We have homemade lemonade and coffee.""","""I'm sorry, we don't have Sauvignon Blanc today. We have whiskey, craft beer, Chardonnay, homemade lemonade, and coffee.""",sauvignon blanc,chardonnay,whiskey,craft beer,homemade lemonade,coffee,0
bar-coffee,bar,"You are a bar tender in a hotel bar. The bar serves only iced coffee, craft beer, Chardonnay, homemade lemonade and soda today.\n\nIn the afternoon a woman walks in. She says: ""Do you have iced tea?""\n\nYou reply:","""I'm sorry, we don't have iced tea today.""","""I'm sorry, we don't have iced tea today. We have homemade lemonade.”","""I'm sorry, we don't have iced tea today. We have iced coffee, homemade lemonade, and soda.""","""I'm sorry, we don't have iced tea today. We have craft beer and Chardonnay.”","""I'm sorry, we don't have tea today. We have iced coffee, craft beer, Chardonnay, homemade lemonade, and soda.""",iced tea,homemade lemonade,iced coffee,soda,craft beer,chardonnay,0
airport-europe,airport,"You are a customer service agent helping to book flights. Today there is a morning flight to Berlin, an afternoon flight to Madrid, an evening flight to Paris, and several flights to the US.\n\nA customer asks: ""Do you have a morning flight to Madrid?""\n\nYou reply:","""I'm sorry, we don't have a morning flight to Madrid today.""","""I'm sorry, we don't have a morning flight to Madrid today. We have one in the afternoon.""","""I'm sorry, we don't have a morning flight to Madrid today. We have a morning flight to Berlin, an afternoon flight to Madrid, and an evening flight to Paris.""","""I'm sorry, we don't have a morning flight to Madrid today. We have several flights to the US.""","""I'm sorry, we don't have a morning flight to Madrid today. We have a morning flight to Berlin, an afternoon flight to Madrid, an evening flight to Paris, and several flights to the US.”",madrid morning,madrid afternoon,berlin morning,paris evening,united states 1,united states 2,1
airport-usa,airport,"You are a customer service agent helping to book flights. Today there is an afternoon flight to San Francisco, a morning flight to Boston, an evening flight to Los Angeles, and several flights to Europe.\n\nA customer asks: ""Do you have an afternoon flight to Boston?""\n\nYou reply:","""I'm sorry, we don't have an afternoon flight to Boston today.""","""I'm sorry, we don't have an afternoon flight to Boston today. We have one in the morning.”","""I'm sorry, we don't have an afternoon flight to Boston today. We have an afternoon flight to San Francisco, a morning flight to Boston, and an evening flight to Los Angeles.""","""I'm sorry, we don't have an afternoon flight to Boston today. We have several flights to Europe.""","""I'm sorry, we don't have an afternoon flight to Boston today. We have an afternoon flight to San Francisco, a morning flight to Boston, an evening flight to Los Angeles, and several flights to Europe.""",boston afternoon,boston morning,san francisco afternoon,los angeles evening,europe 1,europe 2,1
airport-europe-UPDATED,airport,"You are a customer service agent helping to book flights. Today there is a morning flight to Barcelona with connections to other airports, an afternoon flight to Madrid, an evening flight to Paris, a flight to New York and a flight to Toronto.\n\nA customer asks: ""Do you have a morning flight to Madrid?""\n\nYou reply:","""I'm sorry, we don't have a morning flight to Madrid today.""","""I'm sorry, we don't have a morning flight to Madrid today. We have one in the morning to Barcelona with connection to Madrid.""","""I'm sorry, we don't have a morning flight to Madrid today. We have one in the morning to Barcelona with connection to Madrid, an afternoon flight to Madrid, and an evening flight to Paris.""","""I'm sorry, we don't have a morning flight to Madrid today. We have flights to new York and to Toronto.""","""I'm sorry, we don't have a morning flight to Madrid today. We have a morning flight to Barcelona with connection to Madrid, an afternoon flight to Madrid, an evening flight to Paris, and flights to New York and Toronto.”",madrid morning,barcelona morning,madrid afternoon,paris evening,new york,toronto,1
movie-cartoon,movie,"You work at the ticket counter of a small movie theatre. The films on show today are a horror movie, a musical, an animation film, a comedy, and n adventure movie. \n\nA customer asks: ""Do you show a cartoon today?""\n\nYou reply:","""I'm sorry, we don't show a cartoon today.""","""I'm sorry, we don't show a cartoon today. We show an animation film.""","""I'm sorry, we don't show a cartoon today. We show a musical, an animation film, and a comedy.""","""I'm sorry, we don't show a cartoon today. We show a horror movie and an adventure movie.”","""I'm sorry, we don't show a cartoon today. We show a horror movie, a musical, an animation film, a comedy, and an adventure movie.”",cartoon,animation film,comedy,musical,horror movie,adventure,0
movie-fantasy-UPDATED,movie,"You work at the ticket counter of a small movie theatre. The films on show today are a film noir, a science fiction movie, an animation film, an adventure movie, and a cartoon. \n\nA customer asks: ""Do you show a Western movie today?""\n\nYou reply:","""I'm sorry, we don't show a Western movie today.""","""I'm sorry, we don't show a Western movie today. But we show an adventure movie.""","""I'm sorry, we don't show a Western movie today. But we show a film noir, a science fiction movie, and an adventure movie.""","""I'm sorry, we don't show a Western movie today. But we show an animation film and a cartoon.""","""I'm sorry, we don't show a Western movie today. But we show a film noir, a science fiction movie, an animation film, an adventure movie, and a cartoon.”",western,adventure,science fiction,film noir,cartoon,animation film,0
music-hardrock,music,"You are driving in a car with your neighbor. The car only has an old CD player. You have the following styles of music: heavy metal, cool jazz, classic rock, power metal, and bluegrass.\n\nYour neighbor asks: ""Do you have any hard rock?""\n\nYou reply:","""I'm sorry, I don't have any hard rock.""","""I'm sorry, I don't have any hard rock, but I have some classic rock.""","""I'm sorry, I don't have any hard rock, but I have some heavy metal, classic rock, and power metal.""","""I'm sorry, I don't have any hard rock, but I have some cool jazz and bluegrass.""","""I'm sorry, I don't have any hard rock, but I have some heavy metal, cool jazz, classic rock, power metal, and bluegrass.""",hard rock,classic rock,heavy metal,power metal,cool jazz,bluegrass,1
