itemName,settingName,vignette,question,taciturn,competitor,sameCategory,otherCategory,fullList,itemQuestion,itemCompetitor,itemSameCat1,itemSameCat2,itemOtherCat1,itemOtherCat2,weakItem?
cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, pasta al forno, lemon cake, chocolate cookies and cheese sandwich.\n\nA customer asks:","""Do you have raspberry cake?""","""I'm sorry, we don't have raspberry cake today.","""I'm sorry, we don't have raspberry cake today. We have raspberry pie.""","""I'm sorry, we don't have raspberry cake today. We have raspberry pie, lemon cake, and chocolate cookies.""","""I'm sorry, we don't have raspberry cake today. We have pasta al forno and cheese sandwich.""","""I'm sorry, we don't have raspberry cake today. We have raspberry pie, pasta al forno, lemon cake, chocolate cookies, and cheese sandwich.""",raspberry cake,raspberry pie,lemon cake,chocolate cookies,pasta al forno,cheese sandwich,0
cafe-pasta,cafe,"You are a server in a café. Today the café has lasagna, pizza fungi, raspberry pie, chocolate cookies and pepperoni pizza.\n\nA customer asks:","""Do you have pizza Margherita?”","""I'm sorry, we don't have pizza Margherita today.""","""I'm sorry, we don't have pizza Margherita today. We have pepperoni pizza.”","""I'm sorry, we don't have pizza Margherita. We have lasagna, pizza fungi, and pepperoni pizza.”","""I'm sorry, we don't have pizza Margherita today. We have raspberry pie and chocolate cookies.""","""I'm sorry, we don't have pizza Margherita today. We have pizza fungi, pepperoni pizza, raspberry pie, chocolate cookies, and lasagna.”",pizza Margherita,pepperoni pizza,pizza fungi,lasagna,raspberry pie,chocolate cookies,0
bar-whiteWine,bar,"You are a bar tender in a hotel bar. The bar serves only whiskey, craft beer, Chardonnay, homemade lemonade and coffee today.\n\nLate at night a woman walks in. She looks gloomy. She says:","""Do you have Sauvignon Blanc?”","""I'm sorry, we don't have Sauvignon Blanc today.""","""I'm sorry, we don't have Sauvignon Blanc today. We have Chardonnay.”","""I'm sorry, we don't have Sauvignon Blanc today. We have whiskey, craft beer, and Chardonnay.”","""I'm sorry, we don't have Sauvignon Blanc today. We have homemade lemonade and coffee.""","""I'm sorry, we don't have Sauvignon Blanc today. We have whiskey, craft beer, Chardonnay, homemade lemonade, and coffee.""",sauvignon blanc,chardonnay,whiskey,craft beer,homemade lemonade,coffee,0
bar-coffee,bar,"You are a bar tender in a hotel bar. The bar serves only iced coffee, craft beer, Chardonnay, homemade lemonade and soda today.\n\nIn the afternoon a woman walks in. She says:","""Do you have iced tea?""","""I'm sorry, we don't have iced tea today.""","""I'm sorry, we don't have iced tea today. We have homemade lemonade.”","""I'm sorry, we don't have iced tea today. We have iced coffee, homemade lemonade, and soda.""","""I'm sorry, we don't have iced tea today. We have craft beer and Chardonnay.”","""I'm sorry, we don't have tea today. We have iced coffee, craft beer, Chardonnay, homemade lemonade, and soda.""",iced tea,homemade lemonade,iced coffee,soda,craft beer,chardonnay,0
movie-cartoon,movie,"You work at the ticket counter of a small movie theatre. The films on show today are a horror movie, a musical, an animation film, a comedy, and n adventure movie. \n\nA customer asks:","""Do you show a cartoon today?""","""I'm sorry, we don't show a cartoon today.""","""I'm sorry, we don't show a cartoon today. We show an animation film.""","""I'm sorry, we don't show a cartoon today. We show a musical, an animation film, and a comedy.""","""I'm sorry, we don't show a cartoon today. We show a horror movie and an adventure movie.”","""I'm sorry, we don't show a cartoon today. We show a horror movie, a musical, an animation film, a comedy, and an adventure movie.”",cartoon,animation film,comedy,musical,horror movie,adventure,0
movie-fantasy,movie,"You work at the ticket counter of a small movie theatre. The films on show today are a film noir, a science fiction movie, an animation film, an adventure movie, and a cartoon. \n\nA customer asks:","""Do you show a Western movie today?""","""I'm sorry, we don't show a Western movie today.""","""I'm sorry, we don't show a Western movie today. But we show an adventure movie.""","""I'm sorry, we don't show a Western movie today. But we show a film noir, a science fiction movie, and an adventure movie.""","""I'm sorry, we don't show a Western movie today. But we show an animation film and a cartoon.""","""I'm sorry, we don't show a Western movie today. But we show a film noir, a science fiction movie, an animation film, an adventure movie, and a cartoon.”",western,adventure,science fiction,film noir,cartoon,animation film,0
touristInfo-childTheatre,touristInfo,"You are working in a tourist office in a medium sized tourist town. Today there are the following events in town: a club event with a hip hop DJ, a trade fare, a circus show, a flea market, and a rock concert.\n\nA young woman walks in and asks:","""Is there a theatre performance for children today?""","""I'm sorry, there is no theatre performance for children today.""","""I'm sorry, there is no theatre performance for children today. There is a circus show.""","""I'm sorry, there is no theatre performance for children today. There is a trade fare, a circus show, and a flea market.""","""I'm sorry, there is no theatre performance for children today. There is a club event with a hip hop DJ, and a rock concert.""","""I'm sorry, there is no theatre performance for children today. There is a club event with a hip hop DJ, a trade fare, a clown show, a flea market, and a rock concert.""",theatre performance for children,circus show,flea market,trade fare,rock concert,a club event with a hip hop DJ,0
touristInfo-clubbing,touristInfo,"You are working in a tourist office in a medium sized tourist town. Today there are the following events in town: a rock concert, a club event with a hip hop DJ, live jazz music, a circus show, and a street dance performance.\n\nA young woman walks in and asks:","""Is there a club event with electronic music today?""","""I'm sorry, there is no club event with electronic music today.""","""I'm sorry, there is no club event with electronic music today. There is a club event with a hip hop DJ.""","""I'm sorry, there is no club event with electronic music today. There is a rock concert, club event with a hip hop DJ, and live jazz music.""","""I'm sorry, there is no club event with electronic music today. There is a circus show, and a street dance performance.""","""I'm sorry, there is no club event with electronic music today. There is a rock concert, a club event with a hip hop DJ, live jazz music, a circus show, and a street dance performance.""",club event with electronic music,club event with a hip hop DJ,rock concert,live jazz music,a circus show,street dance performance,0
bookingAgency-lowClassAccommodation,bookingAgency,"You are working in a booking agency in a medium sized tourist town. The following types of accommodation are still available for tomorrow night: a room in a budget hotel, a suite in a four-star hotel, a room in a cheap bed-and-breakfast, a couch surfing place, and an expensive lodge close to the city.\n\nA young man walks in and asks:","""Is a bed in the youth hostel available for tomorrow night?""","""I'm sorry, there are no more beds available in the youth hostel available for tomorrow night.""","""I'm sorry, there are no more beds available in the youth hostel for tomorrow night. There is a place for couch surfing.""","""I'm sorry, there are no more beds available in the youth hostel for tomorrow night. There is a room in a budget hotel, a room in a cheap bed-and-breakfast, and a couch surfing place.”","""I'm sorry, there are no more beds available in the youth hostel for tomorrow night. There is a suite in a four-star hotel, and an expensive lodge close to the city.""","""I'm sorry, there are no more beds available in the youth hostel for tomorrow night. There is a room in a budget hotel, a suite in a four-star hotel, a room in a cheap bed-and-breakfast, a couch surfing place, and an expensive lodge close to the city.""",youth hostel,couch surfing,budget hotel,bed-and-breakfast,suite in a four-star hotel,expensive lodge,0
bookingAgency-highClassAccommodation,bookingAgency,"You are working in a booking agency in a medium sized tourist town. The following types of accommodation are still available for tomorrow night: an expensive lodge close to the city, a penthouse apartment, a room in a cheap bed-and-breakfast, a suite in a four-star hotel, and a place for couch surfing.\n\nA young man walks in and asks:","""Is a single room in a five star hotel available for tomorrow night?""","""I'm sorry, there is no more single room in a five star hotel available for tomorrow night.""","""I'm sorry, there is no more single room in a five star hotel available for tomorrow night. There is a suite in a four-star hotel available.”","""I'm sorry, there is no more single room in a five star hotel available for tomorrow night. There is an expensive lodge close to the city, a penthouse apartment, and a suite in a four-star hotel available.”","""I'm sorry, there is no more single room in a five star hotel available for tomorrow night. There is a room in a cheap bed-and-breakfast and a place for couch surfing available.”","""I'm sorry, there is no more single room in a five star hotel available for tomorrow night. There is an expensive lodge close to the city, a penthouse apartment, a room in a cheap bed-and-breakfast, a suite in a four-star hotel, and a place for couch surfing.”",single room in a five star hotel,suite in a four-star hotel,penthouse,expensive lodge,couch surfing,bed-and-breakfast,0
