,itemName,settingName,vignette,variable,value
0,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, pasta al forno, lemon cake, chocolate cookies and cheese sandwich.\n\nA customer asks: ""Do you have raspberry cake?""\n\nYou reply:",taciturn,"""I'm sorry, we don't have raspberry cake today."
1,cafe-pasta,cafe,"You are a server in a café. Today the café has pasta al forno, pizza, lemon cake, chocolate cookies and lasagne.\n\nA customer asks: ""Do you have pasta arrabiata?""\n\nYou reply:",taciturn,"""I'm sorry, we don't have pasta arrabiata today."""
2,bar-whiteWine,bar,"You are a bar tender in a hotel bar. The bar serves only whiskey, beer, red wine, soft drinks and coffee today.\n\nLate at night a woman walks in. She looks gloomy. She says: ""Do you have white wine?""\n\nYou reply:",taciturn,"""I'm sorry, we don't have white wine today."""
3,bar-coffee,bar,"You are a bar tender in a hotel bar. The bar serves only coffee, beer, red wine, soft drinks and soda today.\n\nLate at night a woman walks in. She looks gloomy. She says: ""Do you have tea?""\n\nYou reply:",taciturn,"""I'm sorry, we don't have tea today."""
4,airport-europe,airport,"You are a customer service agent helping book flights. Today there is a morning flight to Berlin, an afternoon flight to Madrid, an evening flight to Paris, and several flights to the US.\n\nA customer asks: ""Do you have a morning flight to Madrid?""\n\nYou reply:",taciturn,"""I'm sorry, we don't have a morning flight to Madrid today."""
5,airport-usa,airport,"You are a customer service agent helping book flights. Today there is an afternoon flight to San Francisco, a morning flight to Boston, an evening flight to Los Angeles, and several flights to Europe.\n\nA customer asks: ""Do you have an afternoon flight to Boston?""\n\nYou reply:",taciturn,"""I'm sorry, we don't have an afternoon flight to Boston today."""
6,movie-cartoon,movie,"You work at the ticket counter of a small movie theatre. The films on show today are a horror movie, a musical, an animation film, a comedy, and a thriller. \n\nA customer asks: ""Do you show a cartoon today?""\n\nYou reply:",taciturn,"""I'm sorry, we don't show a cartoon today."""
7,movie-fantasy,movie,"You work at the ticket counter of a small movie theatre. The films on show today are a film noir, a science fiction movie, an animation film, an adventure movie, and a cartoon. \n\nA customer asks: ""Do you show a fantasy movie today?""\n\nYou reply:",taciturn,"""I'm sorry, we don't show a fantasy movie today."""
8,music-hardrock,music,"You are driving in a car with your neighbor. The car only has an old CD player. You have the following styles of music: heavy metal, bebop, classic rock, power metal, and dixieland.\n\nYour neighbor asks: ""Do you have any hard rock?""\n\nYou reply:",taciturn,"""I'm sorry, I don't have any hard rock."""
9,music-bebop,music,"You are driving in a car with your neighbor. The car only has an old CD player. You have the following styles of music: cool jazz, death metal, hard bop, soul jazz, and doom metal.\n\nYour neighbor asks: ""Do you have any bebop?""\n\nYou reply:",taciturn,"""I'm sorry, I don't have any bebop."""
10,cafe-pie,cafe,"You are a server in a café. Today the café has raspberry pie, pasta al forno, lemon cake, chocolate cookies and cheese sandwich.\n\nA customer asks: ""Do you have raspberry cake?""\n\nYou reply:",competitor,"""I'm sorry, we don't have raspberry cake today. We have raspberry pie."""
11,cafe-pasta,cafe,"You are a server in a café. Today the café has pasta al forno, pizza, lemon cake, chocolate cookies and lasagne.\n\nA customer asks: ""Do you have pasta arrabiata?""\n\nYou reply:",competitor,"""I'm sorry, we don't have pasta arrabiata today. We have pasta al forno."""
12,bar-whiteWine,bar,"You are a bar tender in a hotel bar. The bar serves only whiskey, beer, red wine, soft drinks and coffee today.\n\nLate at night a woman walks in. She looks gloomy. She says: ""Do you have white wine?""\n\nYou reply:",competitor,"""I'm sorry, we don't have white wine today."""
13,bar-coffee,bar,"You are a bar tender in a hotel bar. The bar serves only coffee, beer, red wine, soft drinks and soda today.\n\nLate at night a woman walks in. She looks gloomy. She says: ""Do you have tea?""\n\nYou reply:",competitor,"""I'm sorry, we don't have tea today. We have coffee."""
14,airport-europe,airport,"You are a customer service agent helping book flights. Today there is a morning flight to Berlin, an afternoon flight to Madrid, an evening flight to Paris, and several flights to the US.\n\nA customer asks: ""Do you have a morning flight to Madrid?""\n\nYou reply:",competitor,"""I'm sorry, we don't have a morning flight to Madrid today, but we have one in the afternoon."""
15,airport-usa,airport,"You are a customer service agent helping book flights. Today there is an afternoon flight to San Francisco, a morning flight to Boston, an evening flight to Los Angeles, and several flights to Europe.\n\nA customer asks: ""Do you have an afternoon flight to Boston?""\n\nYou reply:",competitor,"""I'm sorry, we don't have an afternoon flight to Boston today, but we have a morning flight to Boston."""
16,movie-cartoon,movie,"You work at the ticket counter of a small movie theatre. The films on show today are a horror movie, a musical, an animation film, a comedy, and a thriller. \n\nA customer asks: ""Do you show a cartoon today?""\n\nYou reply:",competitor,"""I'm sorry, we don't show a cartoon today, but there is an animation film."""
17,movie-fantasy,movie,"You work at the ticket counter of a small movie theatre. The films on show today are a film noir, a science fiction movie, an animation film, an adventure movie, and a cartoon. \n\nA customer asks: ""Do you show a fantasy movie today?""\n\nYou reply:",competitor,"""I'm sorry, we don't show a fantasy movie today, but there is a science fiction movie."""
18,music-hardrock,music,"You are driving in a car with your neighbor. The car only has an old CD player. You have the following styles of music: heavy metal, bebop, classic rock, power metal, and dixieland.\n\nYour neighbor asks: ""Do you have any hard rock?""\n\nYou reply:",competitor,"""I'm sorry, I don't have any hard rock, but I have some classic rock."""
